損得|そんとく|Advantage and disadvantage
私有|しゆう|Private ownership
雷鳴|らいめい|Thunderclap / Thunder
照準|しょうじゅん|sight (e.g. of a gun), aim, alignment
作風|さくふう|Style / Manner (of paintings etc)
子供と大人を同列には扱えない|こどもと おとなを どうれつには あつかえない|Children and adults cannot be treated the same way
ほらを吹く|ほらを ふく|To talk big / brag (not 自慢)
恐竜|きょうりゅう|Dinosaur
ぼやく|ぼやく|Another word for &quot;to grumble / to complain&quot;
痙攣 (する）|けいれんする|Cramp / Spasm / Twitch / Convulsion
羽ばたく|はばたく|To flap (wings)
坑道|こうどう|Tunnel / (mine) level
気を許す|きを ゆるす|To let ones guard down
意味不|いみ ふ|ambiguous, cryptic, nonsensical, incomprehensible, perplexing
煎じる|せんじる|to boil, to decoct, to infuse
真実|しんじつ|Reality
再開する|さいかいする|To restart / resume
階級|かいきゅう|Class / Rank / Grade
あの民宿なら、素泊まり５千円だよ。|あの みんしゅくなら すどまり せん えんだよ|That inn is 5,000 yen a night, meals excluded
自分の家は狭いながらも落ち着く。|じぶんの いえは せまいながらも ちおちつく|I find my home comfortable although it is small (狭いけれど)
着任|ちゃくにん|To take up a new post
伴奏|ばんそう|Musical accompaniment
一か八かやってみよう|かいちかばちかやってみよう|I'll give it a try, sink or swim
挙げ句の果て|げのあげくのはて|finally; in the end; on top of all that
担当する|たんとうする|To take charge of (not 受け持つ)
絶えず|たえず|Constantly / Always (iknow)
評価基準|ひょうかきじゅん|Valuation Basis / Appraisal standard
優勢|ゆうせい|Dominant / Superior / Prevailing
耳垢を取って欲しい。|じこうを とって ほしい|I want the wax cleaned from my ears
要害|ようがい|Stronghold / Strategic position
彼の心からの謝意はその一言の中に凝縮されていた|かれの こころからの しゃいはその ひとことの なかに ぎょうしゅくされていた|His heartfelt gratitude was condensed in that one expression
指図|さしず|Direction / Instruction
収集家|しゅうしゅうか|collector
復号化 する|ふくごうかする|To decrypt
一縷の望み|のいちるののぞみ|Gleam (ray) of hope
彼が強そうにしているのは見せ掛けです|かれが つよそうにしているのは せみせかけです|He looks tought but it is all a front (見せ掛け is outward appearance)
迷走|めいそう|Straying / Wandering off course
類似品|るいじひん|Similar goods (eg "games like this one" on Steam)
所得|しょとく|Income / Earnings
間に合わせる|にまにあわせる|Make do
この分では、締切りの期限に間に合いそうもない|この ぶんでは しめきりの きげんに にまにあいそうもない|At the pace we are going, it doesnt look like we'll make the deadline
胎児|たいじ|Fetus / Embryo
着弾|ちゃくだん|Impact (of a projectile)
彼は私のために口添えをしてくれた。|かれは わたしのために くちぞえをしてくれた|He put in a good word for me.
神符|しんぷ|amulet; a charm
世紀|せいき|Century / Hundred
異質な|いしつな|Foreign / Alien
速やかに|すみやかに|Speedily (quite formal)
分解|ぶんかい|Taking apart
付きまとう|つきまとう|To follow around / To shadow / To tag along&nbsp;
百も承知|ひゃくも しょうち|knowing only too well, being fully aware of
稼ぐ|かせぐ|Earn / Make money
応援団が試合を盛り上げたんだ|おうえんだんが しあいを りもりあげたんだ|The cheering squad boosted the excitement of the game.
遅延|ちえん|Delay / Latency (ie train delay)
経由地|けいゆち|Transit point / Transit airport / Connection airport
凝った実装になっています|こった じっそうになっています|Its an elaborate / refined / artistic implementation (Linux timer）
時短|じたん|Shortening of time
努力と運が相まって、合格することができた|どりょくと うんが あいまって ごうかくすることができた|I was able to pass the exam due to both some effort and luck
荷札|にふだ|Tag
素寒貧|すかんぴん|penniless; extremely poor; destitute
まぶた|まぶた|Eyelid
宮殿|きゅうでん|Palace
相互理解は平和を促進する。|そうごりかいは へいわを そくしんする|Mutual understanding promotes peace
叡智|えいち|wisdom; intelligence; intellect
某所|ぼうしょ|Certain place
解凍|かいとう|Thaw / Defrosting / Decompression (on files, again, apparently)
小回り|こまわり|Tight turn / Flexibility / Maneuverability
天王星|てんおうせい|Uranus
収束|しゅうそく|Convergence / Returning to normal / Coming together / Reaching resolution
数値|すうち|Numerical value
熟慮|じゅくりょ|Deliberation
現実味|げんじつみ|Sense of reality
縁側|えんがわ|Veranda / Porch
ヤワ||Poorly built / Weak / Insubstantial
筋肉質|きんにくしつ|1. muscular2. lean (of a company's operations, etc.)
認める|みとめる|To recognise / approve
反感|はんかん|Ill feeling / antipathy
玉ねぎ|たまねぎ|onion
アルカリは酸を中和する。|は さんを ちゅうわする|Alkalis neutralize acids
潜在|せんざい|Dormant / Latent (as well as "potential" as you know)
町はひっそりしている|まちはひっそりしている|All is still [hushed] in the streets
彼の節操のない行動にはあきれた|かれの せっそうのない こうどうにはあきれた|I'm dumbfounded at his unprincipled behavior
供物|そなえもの|offering (e.g. to the gods); votive offering
敗戦|はいせん|Defeat
道化|どうけ|Clownery
潔白|けっぱく|Innocence / Guiltless
消防署|しょうぼうしょ|Fire Station
打ち明ける|ちうちあける|Confide in / reveal
きっちり|きっちり|Another annoying 4 character word meaning "exactly"
引き止める|きひきとめる|detain, hold back
不時着|ふじちゃく|Emergency Landing
似つかわしい|につかわしい|Suitable / Appropriate / Becoming
叩き付ける|きたたきつける|To strike / to throw / to slap something onto
立夏|りっか|夏になる日
