電源|でんげん|Power Supply / Outlet
費用の総額は２００万円になった|ひようの そうがくは まん えんになった|Our expenses totaled two million yen
あの国の経済は急速に発展しているのね。|あの くにの けいざいは きゅうそくに はってんしているのね|That country's going through rapid economic development.
これが参加者の名簿です。|これが さんかしゃの めいぼです|This is a list of the participants.
これは日記と言うか覚え書きと言うか……。|これは にっきと いうか えおぼえがきと いうか|Should I call this a diary, or a memo...?
動物を飼う上は責任をもって世話をするべきです。|どうぶつを かう うえは せきにんをもって せわをするべきです|since you have a pet, you should pay attention to your responsibility. （上は）
飛び火|びとびひ|&nbsp;(1) leaping flames; shower of flying sparks; (2) spreading fire; (3) reper
童顔の人|どうがんの ひと|Baby faced person
組み立てライン|みてくみたてらいん|Assembly Line
毎度あり|まいどあり|Thank you for your continued patronage
急造|きゅうぞう|Hurried construction
的中する|てきちゅうする|To hit the target / be proved right
乗り遅れる|りのりおくれる|miss (train, bus, etc.)
一人子|ひとりっこ|Only child (no brothers and sisters)
国債|こくさい|National debt / Government bonds
想像|そうぞう|Imagination / Idea
この漢字の筆順は分かりますか？|この かんじの ひつじゅんは わかりますか|Do you know the correct stroke order of this kanji?
まとめ買い|まとめ がい|collecting together and buying; doing a big shop
商業|しょうぎょう|Commerce
彼は帰ってくるなり食事もせずに寝てしまいました。|かれは かえってくるなり しょくじもせずに ねてしまいました|As soon as he got home, he went to bed without eating.
読字障害|どくじしょうがい|Dyslexia / Reading disorder
得点|とくてん|Points scored / Runs / Goals scored
この場合、保険が適用されますか。|この ばあい ほけんが てきようされますか|In this case, does insurance apply?
彼らは長い距離を歩き続けたんだ。|かれらは ながい きょりを あるき つづけたんだ|They kept walking a long distance.
アメリカにいた時はコーラを飲みまくっていた|にいた ときはを のみまくっていた|When I was in the US, I drank coke like all the time
半袖|はんそで|Short sleeved
大手チェーン店が進出している。|おおて ちぇーんてんが しんしゅつしている|That major store chain is expanding.
雑誌にその女優の対談が載っていたよ。|ざっしにその じょゆうの たいだんが のっていたよ|There was an interview with that actress in a magazine.
同社|どうしゃ|The same firm
踏み込む|みふみこむ|To step into (someone elses territory..)
彼は特派員として海外に派遣された。|かれは とくはいんとして かいがいに はけんされた|He was sent abroad as a correspondent
迫真|はくしん|Realistic / Inevitable / Vivid
かえって|かえって|On the contrary / rather
ケーキを作る時ははかりを使います。|を つくる ときははかりを つかいます|I use a kitchen scale when I bake a cake.
登頂|とうちょう|climbing to the summit; summiting
私は、雨が降っていても、毎日授業に行った|わたしは あめが ふっていても まいにち じゅぎょうに いった|I went to class every day, even if it rained
気にされないほうがいいよ|きにされないほうがいいよ|Its best not to be bothered by it
劇の批評はおしなべて好評だった。|げきの ひひょうはおしなべて こうひょうだった|Almost all of the reviews of the play were favorable
怪物の足音を聞くと、彼らは四方八方に走り出した。|かいぶつの あしおとを きくと かれらは しほうはっぽうに りはしりだした|Hearing the monster's footsteps, they began running in all directions
娘|むすめ|daughter
あなたの返答はほとんど脅迫に等しい。|あなたの へんとうはほとんど きょうはくに ひとしい|Your answer almost amounts to a threat.
彼女は自分の町のニュースですら興味を示さない。|かのじょは じぶんの まちのですら きょうみを しめさない|She doesn't show interest even in news from her own town.
見抜く|みぬく|To see through X (for example, a plan, a betrayal, from liar game)
あの二人はそっくりで区別できない。|あの にんはそっくりで くべつできない|Those two look identical and I can't tell them apart.
転覆する|てんぷくする|To capsize / overturn / turnover (ship)
反社会|はん しゃかい|Anti-social
有利（な）|ゆうりな|Advantageous / In ones favour (overwhelmingly in her favour, for example)
エホバの証人|のえほばのしょうにん|Jehovahs Witnesses
彼女の猫は首に鈴を付けている|かのじょの ねこは くびに すずを つけている|Her cat has a bell on its neck
暴力|ぼうりょく|Violence
そびえる|そびえる|To tower (above)
使用許諾契約|しようきょだくけいやく|Software license agreement
あなたが会社を辞めた理由は私ならに理解しています|あなたが かいしゃを やめた りゆうは わたしならに りかいしています|I think I understand the reason why you quit your job (私が考える範囲で)
借りたCDを返し忘れ延滞料金を取られた|かりた を かえし わすれ えんたいりょう きんを とられた|I forgot to return the CD I rented, so I was charged a late fee
残念ながら待望の試合は中止せざるを得なかった。|ざんねんながら たいぼうの しあいは ちゅうしせざるを えなかった|To our regret, we were obliged to call off the game, which we had been looking f
その新入り社員はパソコンに不慣れだ|その しんいり しゃいんはに ふなれだ|The new employee is not used to using the computer
私立|しりつ|Private (establishment)
質問の意味はわからなくて、答えようがなかった。|しつもんの いみはわからなくて こたえようがなかった|If the meaning of the question is not understood, it can't be answered
心境|しんきょう|Mind / Feeling / State of mind
進級|しんきゅう|Promotion (school, pass onto some grade)
階上|かいじょう|Upstairs
その映画はどんな粗筋ですか。|その えいがはどんな あらすじですか|What's the storyline of the movie?
漢語はもともと外来語です。|かんごはもともと がいらいごです|Kanji compounds are originally loanwords.
資金需要|しきんじゅよう|capital requirements; demand for funds; credit needs
音読|おんどく|reading aloud, same as&nbsp;朗読
ここに斜めに線を引いてください。|ここに ななめに せんを ひいてください|Please draw a line here diagonally.
汝|なんじ|Thou / You
この電卓はポケットに入ります。|この でんたくはに はいります|This calculator fits in your pocket.
彼女の手法は私たちよりはるかに進んでいる。|かのじょの しゅほうは わたしたちよりはるかに すすんでいる|Her method is far in advance of ours
水の温度に体を慣らしてから、潜ったほうがいいぞ。|みずの おんどに からだを ならしてから もぐったほうがいいぞ|You should dive only after getting your body used to the water temperature.
背を向ける|せを むける|to pretend not to see; to turn one's back on
銃声|じゅうせい|Gunshot
宗教学|しゅうきょうがく|Theology
イギリスは、冬寒い代わり、夏が涼しい|は ふゆ さむい かわり なつが すずしい|England is cold in winter, but cool in summer
看板|かんばん|Sign - name plate, like "under the acomu sign"
上策|じょうさく|Brilliant Idea / Plan
始まらない|はじまらない|Its no use
息苦しくなる|いきぐるしくなる|Choke / Suffocate
このことに加えて、他にもまだ理由がある。|このことに くわえて たにもまだ りゆうがある|In addition to this, there are other reasons.
社会科学の分野に関心があります。|しゃかいかがくの ぶんやに かんしんがあります|I'm interested in the field of social sciences.
金の亡者|のかねのもうじゃ|Money monger / Person who is money mad
落第点|らくだいてん|Failing grade
居心地の「良い／悪い」|いごこちの よい わるい|Comfortable / Uncomfortable
栄養が偏らないように食事に気を付けています。|えいようが かたよらないように しょくじに きを つけています|I take care to maintain a balanced diet.
課題|かだい|Issue / Problem
権力争い|けんりょくあらそい|Power Struggle
〜庁|ちょう|Office / Agency
勘違い|かんちがい|Mistaken Idea / Guess wrong
市役所から税金を督促された|しやくしょから ぜいきんを とくそくされた|I was reminded to pay tax by the city office
彼女は食事を制限しています。|かのじょは しょくじを せいげんしています|She is restricting her diet.
あふれる|あふれる|To flood / spill over
議会|ぎかい|Assembly / Council
彼は優れた技術者だが、経営にかけても才能を発揮した|かれは すぐれた ぎじゅつしゃだが けいえいにかけても さいのうを はっきした|He excelled as an engineer, regarding management also showed his ability
生まれつき|うまれつき|Born / By nature
閣内|かくない|Within the cabinet (political)
経費|けいひ|Expense
これからパスポートの申請に行きます。|これからの しんせいに いきます|I am now going to apply for my passport.
積み重ねる|みつみかさねる|To pile up / To accumulate
これは想定内です|これは そうてい ないです|This is within expectations
形容詞|けいようし|True Adjective
対向車線|たいこうしゃせん|Opposite line / Oncoming lane
押しつぶす|おしつぶす|To squash / To crush / To flatten
著作権|ちょさくけん|Copyright
家族の触れ合いは大切です|かぞくの れふれあいは たいせつです|Communication within the family is important
向こうに着き次第、電話してください|むこうに つき しだい でんわしてください|As soon as you have arrived over there, please call me
ヒビ||A crack (say, in a bone)
寝かせる|ねかせる|put to bed, lay down
彼は地位を悪用しています。|かれは ちいを あくようしています|He is abusing his position.
彼女の人生はばら色だった|かのじょの じんせいはばら いろだった|Her life was rosy
暗い|くらい|Dark
同行|どうこう|Travelling together / Accompanying
理想|りそう|Ideal / Dream
狭い|せまい|Narrow / Small
月給|げっきゅう|Monthly Salary
実力テストの結果いかんでレベルを決める|じつりょくてすとの けっかいかんでを きめる|On the basis of your test results, your level will be decided
芝生に入るべからず。|しばふに はいるべからず|Keep off the lawn. (lit., Don't enter the lawn.)
足の傷を消毒したわ。|あしの きずを しょうどくしたわ|I disinfected the wound on the foot.
彼女は合理的な考え方をする人です。|かのじょは ごうりてきな えかんがえかたをする ひとです|She is a person who thinks logically.
越す|こす|Go over / surmount
昔は川の水が飲み水でした。|むかしは かわの みずが みのみみずでした|A long time ago, rivers were used for drinking water.
女子アナ|じょしあな|Female TV announcer
習慣は国によって違う|しゅうかんは くにによって ちがう|Customs are different depending on the country
一連の|いちれんの|A series of X
締めつける|しめつける|to tighten; to press hard
狂乱|きょうらん|fury; frenzy; madness
魔女|まじょ|Witch
不要|ふよう|Unnecessary / Unwanted
なんだかんだ|なんだかんだ|Something or other
家柄といい学歴といい、彼は非の打ちどころがない。|いえがらといい がくれきといい かれは ひの うちどころがない|He is just perfect, both in terms of his family and educational background.
詳細|しょうさい|Details / Particulars
善人|ぜんにん|Good people
インドのカレーは、涙が出るほど辛いことがある|のは なみだが でるほど つらいことがある|Sometimes, Indian is so hot that it brings tears to your eyes
ハエタタキ||Swatter / Fly swatter
磁気ディスク|じきでぃすく|Magnetic Disk
正しい順序で操作してください。|ただしい じゅんじょで そうさしてください|Please carry out the operations in the correct order.
彼はその決定に不服を唱えた。|かれはその けっていに ふふくを となえた|He raised an objection to the decision
安月給|やすげっきゅう|Low salary
仲のいい友達と旅行するほど楽しい事は無い|なかのいい ともだちと りょこうするほど たのしい ことは ない|There is nothing more fun than taking a trip with good friends
在日外国人|ざいにちがいこくじん|Foreign residents of Japan
値引き|ねびき|Discount (not 割引)
埋める|うめる|To Bury
仮想現実感|かそうげんじつかん|Virtual reality
確率|かくりつ|Probability / Rate
誤解があったことをお詫びします。|ごかいがあったことをお わびします|I apologize for the misunderstanding.
その国は共産主義の国だよ。|その くには きょうさんしゅぎの くにだよ|That country is a Communist nation.
無論|むろん|Of course \ needless to say (not 当たり前, literally "no argument")
棚から物が落ちるくらい大きい地震があった|たなから ものが おちるくらい おおきい じしんがあった|There was an earthquake so big it would knock things off my shelf
犯罪発生率|はんざいはっせいりつ|Crime rate
無断転載|むだんてんさい|Unauthorized reproduction / Unauthorised copying
入居|にゅうきょ|To move in / start living / occupy
彼女はまるで徹夜をしたかのような顔をしていた|かのじょはまるで てつやをしたかのような かおをしていた|Her face looks as if she spent the whole night awake
一口|ひとくち|Mouthful / Bite
今年度|こんねんど|This year
IT産業はインドの主要産業よね。|さんぎょうはの しゅよう さんぎょうよね|IT is a major industry in India.
延長|えんちょう|Extension / Continuation / Elongation
決着|けっちゃく|Showdown / Settlement
毛色|けいろ|Hair Colour
せめて一度は日本へ行ってみたいと思う人が多いだろう|せめて どは にっぽんへ いってみたいと おもう ひとが おおいだろう|There must be a lot of people who would like to visit Japan at least once
今月のわが家の支出は15万円です。|こんげつのわが やの ししゅつは  まん えんです|Our household expenses are 150,000 yen this month.
塩水|えんすい|Salt Water
