操船|そうせん|船を操作・運転することで、専門的でやや硬い用語です。
擡げる|もた|「擡げる」は、頭や顔を上げる、または持ち上げることを意味する動詞です。特に「頭を擡げる」という形で、感情や問題、傾向などが表面化してくるという比喩的な意味でよく使われます。
擦り傷|すりきず|皮膚が何かに擦れてできた浅い傷。転んでできた小さな怪我。
擦り切れる|き|「擦り切れる」は、物が繰り返し擦られることによって表面が傷んだり、穴が開いたりすることを意味します。
擦り剥く|む|
擦り寄る|よ|擦り寄るは、体や頬などを相手に擦りつけるように近づく動作を指します。親愛や甘えの気持ちを表す仕草で、特に猫や犬が飼い主にする行動としてよく描写されます。人間同士では、親しい間柄での愛情表現や、寒い時に体を寄せ合う場面で使われます。優しくて温かいニュアンスを持つ動詞です。
擦る|こす|「擦る」は物の表面を他の物に押し当てて前後に動かす動作を指します。汚れを落とす、痒いところを掻く、体を温めるなど、様々な場面で使われる基本的な動詞です。「擦る」は「こする」と読み、手や布などで行う摩擦動作を全般的に表します。
擦れる|す|「擦れる」は、物と物がこすれ合うことで表面が摩耗したり、傷がついたりすることを表す自動詞です。「靴が擦れて穴が開く」「肩が壁に擦れる」などの物理的な摩擦の他に、人について「世の中に擦れる」（＝世知辛い経験を積んで人情味がなくなる）という比喩的な使い方もあります。後者の意味では「擦れた人」「世擦れ」のような形で、ややネガティブなニュアンスで人間関係を描写する際に使われます。
擦れ違う|すれちが|「擦れ違う（すれちがう）」は、人や物が互いに反対方向に通過する際、すれ違うことを意味します。物理的なすれ違いだけでなく、連絡の行き違いや意見の不一致など、人間関係におけるすれ違いとしても使われる重要な表現です。
擬人化|ぎじんか|「擬人化」は、人間以外のものに人間のような性質や姿を与えて表現することを意味します。動物や物体、自然現象などを人間のように描く文学技法や、マスコットキャラクターなどに使われます。
擬似|ぎじ|「擬似」は、本物に似せて作られたものや、見せかけのものを表す接頭語です。「偽物」よりはやや学術的で、人工的・模倣的なニュアンスがあります。「擬似体験」「擬似科学」などの複合語でよく使われます。
擬似乱数|ぎじらんすう|「擬似乱数」は、コンピュータがアルゴリズムによって生成する、ランダムに見える数字の列を指します。真の乱数ではなく、計算によって作られるため「擬似」と表現されます。プログラミングや暗号理論、シミュレーションなどの技術分野で使われる専門用語です。
擬声語|ぎせいご|物の音や動物の鳴き声などを言葉で表したものです。ワンワン（犬）、ニャーニャー（猫）、ガタガタ（物音）などが例です。
擬声語的表現については、ホピ語に興味深い例がある。|れい|「現に」は、理論や想像ではなく、実際の事実としてそうであることを強調する副詞です。相手の意見に反論したり、具体例を挙げて現実を示す際に使われる説明的な表現です。
擬態する|ぎたい|「擬態する」は、動物などが周囲の環境に自分の姿を似せて、敵から身を守ったり獲物を捕らえやすくする生態行動を指します。生物学用語ですが、比喩的に人間の行動にも使われます。
