化学|huàxué|Chemistry
取消|qǔxiāo|to cancel, to abolish, to call off
包|bāo|to wrap, to envelop; bag, package
优秀|yōuxiù|excellent, outstanding
贷款|dàikuǎn|to grant a loan; loan, credit
身份|shēnfen|identity, status, position
召开|zhàokāi|to convene, to convoke
文学|wénxué|literature
饮料|yǐnliào|drink, beverage
下来|xiàlái|to come down; verb complement indicating downward movement
妇女|fùnǚ|woman
她很独立。|Tā hěn dúlì|She's very independent
迅速|xùnsù|Rapid / Speedy / Prompt
因素|yīnsù|Factor / Element
针对|zhēnduì|To be aimed at / to be directed against
安装|ānzhuāng|To install / to fix / to mount / installation
严格|yángé|Strict
扩大|kuòdà|To enlarge / expand / extend
推|tuī|To push / to shove
人生|rénshēng|Life / human life
事业|shìyè|Undertaking / enterprise / career
铅笔|qiānbǐ|Pencil
算|suàn|To calculate / to figure
通|tōng|Logical / coherent / to go through
举办|jǔbàn|To conduct / to hold
充分|chōngfèn|Ample / enough
光|guāng|light; only, merely; to be naked
促进|cùjìn|To promote / to advance / to accelerate
立即|lìjí|Immediately / promptly
朝|cháo|To face / toward
指|zhǐ|to point to, to point out
理论|lǐlùn|Theory / To Argue (reason with someone)Nuance理论 is a dual-purpose term. As a noun, it means "theory"—a system of ideas intended to explain something, based on general principles independent of practic
规模|guīmó|scale, size, dimension
编辑|biānjí|to edit, to compile; editor, compiler
购物|gòuwù|Shopping
趋势|qūshì|Trend / tendency
合理|hélǐ|reasonable, rational
误导|wùdǎo|Misleading
团|tuán|To roll into a ball / counter for ball shaped objects
整个|zhěnggè|whole, entire
现象|xiànxiàng|appearance, phenomenon
来自|láizì|to come from, to originate from
依然|yīrán|still, as before
周年|zhōunián|anniversary
制定|zhìdìng|to lay down, to establish, to enact
感到|gǎndào|to feel, to sense
合法|héfǎ|Legal / Lawful
主席|zhǔxí|Chairman / Chair / President
不过|búguò|But / However / Only / Merely
相对|xiāngduì|be opposite, be face to face; relative; relatively
降低|jiàngdī|to reduce, to cut down, to lower
时代|shídài|Times / Age / Era
靠|kào|To lean against / to get near / to depend on
掌握|zhǎngwò|To master / To possess / to control
提问|tíwèn|To ask a question
风险|risk, hazard, danger|fēngxiǎn
院子|yuàn|Courtyard / yard
详细|xiángxì|detailed
之前|zhīqián|before, prior to, ago
实行|shíxíng|To put into practice / to carry out
真实|zhēnshí|true, real
协调|xiétiáo|to coordinate, to harmonize; balanced, harmonious
背景|bèijǐng|background, backdrop
广泛|guǎngfàn|extensive, wide, widespread
与|yǔ|With / And
以|yǐ|Using / in order to / with
机构|jīgòu|Mechanism / Organization / Institution
资格|zīgé|qualifications, seniority
协议|xiéyì|to agree on, to discuss; agreement, protocol
培训|péixùn|to cultivate, to train; training
发布|fābù|to issue, to release, to announce
联盟|liánméng|alliance, coalition, union
关注|guānzhù|to pay attention, to show concern; attention
集团|jítuán|group, community
实施|shíshī|&nbsp;put into effect, to execute
主题|zhǔtí|theme, subject
医疗|yīliáo|medical treatment
拥有|yōngyǒu|to possess, to have, to own
基金|jījīn|fund, foundation, endowment
人士|rénshì|personage, public figure, person
