釣り糸|りつりいと|Fishing line
昔馴染み|むかしなじみ|old friend; familiar face
入れ替わる|れいれかわる|Switch around / interchange
あの政治家は堕落している|あの せいじかは だらくしている|That politician is corrupt
煤ける|すすける|To be stained / To be sooty
一握|いちあく|Handful
偉人|いじん|Great Figure (person)
食らう|くらう|Wolf/Chow down / eat (rough or violent sounding)
年鑑|ねんかん|Yearbook
この鍋は保温機能がついています|この なべは ほおん きのうがついています|This pan has thermal insulation
戦斧|いくさおの|battleaxe
華道|かどう|flower arrangement
その分|その ぶん|To that extent / Accordingly / That being the case
ただで済む|ただで すむ|to get away without consequences, to get off scot-free
回り込み|りまわりこみ|Wraparound
曖昧模糊|あいまいもこ|Obscure / Vague / Ambigious
脇目も振らず|わきめも ふらず|without looking aside, looking neither right nor left, wholeheartedly, single-mi
励み|はげみ|(act of) encouragement, stimulus, incentive
彼女は白菜の漬物が好きです。|かのじょは はくさいの つけものが すきです|She likes pickled nappa cabbage.
生返事|なまへんじ|Half hearted reply / vague answer / reluctant answer
狼煙|のろし|Beacon / Skyrocket / Signal fire
そそくさ|そそくさ|Hurriedly / In haste
その選手の獲得賞金は2億円だって。|その せんしゅの かくとく しょうきんは  おく えんだって|I hear the acquisition bonus for that player is 200 million yen.
万人向けの製品|ばんにんむけの せいひん|A product that appeals to most people
企業戦士|きぎょうせんし|Corporate warrior (exceptionally dedicated and hard working employee)
人影|ひとかげ|Shadow of a person
洗練|せんれん|Polishing / Refinement
電撃的|でんげきてき|Electrifying / sudden and unexpected / shocking
噂話|うわさばなし|Gossip
まだ少しフラフラする|まだ すこしする|I have a slight dizziness still
音色|ねいろ|Tone / Sound
取り囲む|りとりかこむ|To surround / To crowd around
毅然|きぜん|Firmness / resolute
舞踏|ぶとう|Dancing
宮崎県|みやざきけん|Miyazaki-ken
～くらいなら　Grammar|くらいなら|をするのは　とても　いや。　それなら。。
空き時間|きあきじかん|free time; spare time
苦笑（する）|くしょうする|Smile Bitterly / grimly
ぶらぶら|ぶらぶら|To swing / dangle
一目散に|いちもくさんに|At full speed / As fast as one can go
飼い馴らす|かい ならす|To tame (an animal)
推し進める|しおしすすめる|To press forward
憂いの反面には喜びがあるものだ。|うれいの はんめんには よろこびがあるものだ|Every cloud has a silver lining
冬至|とうじ|The winter solstice
箱詰め|はこづめ|Boxing / Packing into a box
発砲する|はっぽうする|To shoot / fire (gunshot)
鍛える|きたえる|To train / harden / build up
税理士|ぜいりし|Licensed tax accountant
僻地|へきち|Remote place / backcountry / the sticks
八百万|やおよろず|Myriad / Countless things / also 8 million!
本に栞を挟む|ほんに しおりを はさむ|Put a bookmark in a book
跳ね橋|はね ばし|Drawbridge
体をそらす|からだをそらす|To bend backward (body)
率先|そっせん|Taking the initiative
二の句|のにのく|Another word / Answer
秘策|ひさく|Secret plan or measures
気運|きうん|Luck / Tendency / Opportunity / Trend
先物|さきもの|Futures
大漁　／　不漁|たいりょう ふりょう|A good bad catch/haul
震えだす|ふるえだす|To begin to tremble
文豪|ぶんごう|Literary master
そこへついた日の翌朝、私は樫の木の森へ散歩した。|そこへついた ひの よくあさ わたしは かしの きの もりへ さんぽした|The morning after I arrived there, I took a walk into the woods of oaks
もくもく(と)|もくもくと|with clouds of smoke
夜明け|よあけ|Dawn / Daybreak
膨大|ぼうだい|Huge / Enormous / Vast
招く|まねく|To invite / same as 招待
披露する|ひろうする|To announce / introduce
無茶|むちゃ|Absurd / Unreasonable (another word, not 馬鹿らしい, context is including another fea
甘口がほしいのです。|あまくちがほしいのです|I want something sweet
租税|そぜい|Taxes / Taxation
短所|たんしょ|Weak [bad] point / Fault
助け起こす|たすけ おこす|To help up
医療器具|いりょうきぐ|Medical instruments / Medical apparatus
罰が当たる|ばちが あたる|to incur divine punishment; to pay for one's sins; (2) you'll pay for that!; wha
時速|じそく|Speed per hour
同姓|どうせい|Same surname
巻き煙草|きまきたばこ|cigarette; cigar
検挙 する|けんきょする|Arrest / round up / descent
多発|たはつ|Repeated Occurrence
儘ならぬ|ままならぬ|Beyond ones control
鉄兜|てつかぶと|Steel helmet
よたよた|よたよた|unsteadily (walking); waddling; staggeringly; totteringly
偽証|ぎしょう|false evidence, perjury, false testimony
解説|かいせつ|Explanation / Commentary
ネバネバ||Sticky / Slimy (4 doubler)
～を身につける|を みにつける|To learn / To acquire knowledge
蕩ける|とろける|Another word for &quot;melt&quot;
一年や二年働いても、たいして貯金はできない。|ねんや ねん はたらいてもたいして ちょきんはできない|You wont be able to save much money even if you work for one or two years.
脱構築|だつこうちく|Deconstruction
日時|にちじ|Date and time
風土病|ふうどびょう|Local disease
立たす|たたす|To help a person stand / To get someone to their feet
購買|こうばい|Purchasing (部、力 etc!)
猟奇的|りょうきてき|Curiosity seeking / seeking the bizarre
縦横|じゅうおう|Length and width / Every direction / Right and left
ひっくり返る|ひっくり かえる|To be overturned / To be reversed / To topple over
～ぶり　Grammar|ぶり|Means の様子
その規模は壮大で、豪華絢爛な催しであったとされる|その きぼは そうだいで ごうかけんらんな もよおしであったとされる|It is thought that those events were held on a large scale and were very large-s
演算|えんざん|Operation - on math matrixes!
四つんばい|よつんばい|crawling on all fours; getting on one's hands and knees; falling flat
浪人生|ろうにんせい|Student who failed entrance exam
集中治療|しゅうちゅう ちりょう|Intensive care
発注|はっちゅう|Ordering (materials) / Placing an order
表面的に|ひょうめんてきに|On the surface
当てはめる|あてはめる|To apply
イスラム教徒|いすらむきょうと|Muslim
教師に従順にせよ|きょうしに じゅうじゅんにせよ|Be obedient to your teacher.
足を洗う|あしを あらう|To quit (a shady business) / to wash ones hands of / turn over a new leaf / go s
粘る|ねばる|To stick with something
日本は火山国だけあって年中地震が絶えない。|にっぽんは かざん こくだけあって ねん ちゅうじしんが たえない|Japan is a volcanic country, and, as one would expect, earthquakes occur constan
風格|ふうかく|Personality / Style / Appearance
篩|ふるい|Sieve
期せずして|きせずして|Unexpectedly / accidentally / by chance
全額でないまでも、せめて利子ぐらいは払ってくれ|ぜんがくでないまでもせめて りしぐらいは はらってくれ|Even if you can’t pay the full amount, at least pay the interest
ぼろぼろ（の）|ぼろぼろの|Ragged / Worn-out / shabby / tattered (ie, temple)
量産する|りょうさんする|To mass produce
憎しみ|にくしみ|Hatred
米紙|べい し|American press / American newspaper
共存|きょうぞん|Coexistence
手拭い|てぬぐい|Facecloth / Towel
常考|じょうこう|1. isn't it obvious?, that's common sense2. Internet slang, abbr. of 常識的に考えて
磁気嵐|じきあらし|Magnetic Storm
聴導犬|ちょうどうけん|Hearing assistance dog
観衆がどっと笑ったんだ|かんしゅうがどっと わらったんだ|The audience burst out laughing.
論理的に|ろんりてきに|Logically
裏通り|うらどおり|Side street / Back street / Alley
合体|がったい|Union / Amalgamation / Combination / Coalescence (Vivi and Steiner working toget
あの人は行きずりの人です。|あの ひとは いきずりの ひとです|He is only a passing chance acquaintance
萎縮|いしゅく|withering; atrophy; contraction; dwarf
磁場|じば|magnetic field
二段ベッド|にだん|bunk beds, double bunk
お日様が西に傾きましたね。|お ひさまが にしに かたむきましたね|The sun went down in the west.
競る|せる|To sell at auction / to bid / to compete
熱心|ねっしん|Eager / Earnest
骨豚|ほね ぶた|Big boned / Stout
財を成す|ざいを なす|to build a fortune
質屋|しちや|Pawnshop / Pawnbroker
券売機|けんばいき|Ticket machine
虚言を吐くべからず。|きょげんを はくべからず|Don't tell a lie.
在り処|りありか|Hiding place / Whereabouts / Location
ただならぬ|ただならぬ|unusual; uncommon; extraordinary; out of the ordinary; incomparable; serious; al
張る|はる|Strain / Be stretched
堪える|こたえる|To bear / To stand / To endure / To support / To withstand
支える|ささえる|Prop / Support / Hold / Sustain
郊外|こうがい|Suburbs
突き破る|きつきやぶる|To break through / penetrate / pierce
司令|しれい|To command / Commander
逆鱗に触れる|げきりんに ふれる|To infuriate your superior / To incur the anger of ones boss / To bring a superi
犬が縄張り争いをしている|いぬが りなわばりあらそいをしている|Dogs are fighting over their territory
一環|いっかん|A link (eg a part of a larger plan, larger organisation)
粗い|あらい|coarse; rough
花婿と花嫁が並んで登場したんだ。|はなむこと はなよめが ならんで とうじょうしたんだ|The bride and bridegroom appeared side by side.
賓客|ひんきゃく|Guest of honour / privileged guest
物資|ぶっし|Commodities / Goods
禁断症状|きんだんしょうじょう|Withdrawal Symptoms
演算子|えんざんし|Operator (ie, sizeof operator)
点在|てんざい|To be dotted with / interspersed
盛大|せいだい|Grand / Properous / Magnificent
防護服|ぼうごふく|Protection suit (Abe in fukushima!)
花崗岩|かこうがん|granite
引ったくる|ひったくる|to snatch from, to steal from
変わり者|かわり もの|eccentric, oddball, character, weirdo
窮屈|きゅうくつ|Tight / Cramped
鼻くそをほじる|はなくそをほじる|To pick ones nose
主人公|しゅじんこう|Main character / Hero of a story / Protagonist
僥倖で成功する|ぎょうこうで せいこうする|to succeed by luck
呑み下す|のみ くだす|To swallow / To gulp down
拾い出す|ひろい だす|to single out, to select
除外|じょがい|To be excluded, exception (wrestling from olympics)
思い立つ|いおもいたつ|To occur (to ones mind) / To get the idea of doing / to make up ones mind (to cr
換気扇を回して|かんきせんを まわして|Turn on the ventilation fan
未知数|みちすう|1. (an) unknown, unknown number, variable2. unknown quantity, not yet known
保安官|ほあんかん|Sheriff
淵|ふち|Abyss / The depths / Deep pool
進捗|しんちょく|Progress / Under way (of the job, business state etc)
言い回し|いいいまわし|Expression / Phraseology
潤沢|じゅんたく|Abundance / Plenty / Luster
卵形|たまご がた|Oval / Egg shaped
積分|せきぶん|Integral (maths?)
つつき回す|つつき まわす|to poke around
余計|よけい|しなくてもいいこと
専業主婦|せんぎょうしゅふ|Full time housewife
ビラ||Leaflet
才知|さいち|wit and intelligence
講師|こうし|Lecturer / Speaker
会場に紅白の幕が掛かっています|かいじょうに こうはくの まくが かかっています|Curtains with red and white stripes are hanging in the hall
～こける|こける|こける means "sink/collapse in". ～こける means that something continues on for a long 
老後は妻と二人っきりの生活を楽しもうと思う。|ろうごは つまと ふたりっきりの せいかつを たのしもうと おもう|I plan to enjoy old age alone with my wife.
閲覧する|えつらんする|to browse
前人未踏|ぜんじんみとう|untrodden (region, field of study, etc.); unprecedented (discovery, achievement,
民家|みんか|Private House
挙げる|あげる|To cite / give an example
緩む|ゆるむ|To become loose / To slacken
大工|だいく|Carpenter
作業員|さぎょういん|Labourer / Blue collar worker
少子化|しょうしか|Declining birth rates / decrease in the number of children
彼は両親から仕送りしてもらっている|かれは りょうしんから しおくりしてもらっている|He receives a monthly allowance from his parents
