换公寓|huàn gōngyù|Change house / apartment
换工作|huàn gōngzuò|Change jobs
换衣服|huàn yīfu|Change clothes
周游|zhōuyóu|To travel around
周游世界|zhōuyóu shìjiè|To travel around the world
足球服|zúqiúfú|Football uniform
结婚|jiéhūn|To marry
一直|yìzhí|All the time
系统|xìtǒng|System / Systematic
标准|biāozhǔn|Standard / Criterion
有些|yǒuxiē|Some / A little
小吃|xiǎochī|Snack / Refreshments
进来|jìnlái|To come in / To enter
小朋友|xiǎopéngyou|Kid / Child / Little friend
不同|bùtóng|Different
进行|jìnxíng|To carry on / To conduct / To be engaged in
高级|gāojí|High level / Grade / Advanced
领域|lǐngyù|Territory / Field / Domain
一般|yìbān|General / Ordinary / So so
领导|lǐngdǎo|Leader / Leadership / To lead
保护|bǎohù|To protect / Protection
艺术|yìshù|Art / Skill
结束|jiéshù|To end / To finish / To conclude
可惜|kěxī|Unfortunately
公交卡|gōngjiāokǎ|Bus card
无所谓|wúsuǒwèi|Whatever
即使|jíshǐ|Even if&nbsp;
完美|wánměi|Perfect
网络|wǎngluò|Internet
这种颜色|zhè zhǒng yánsè|This kind of colour
脱衣服|tuō yīfù|To take off clothes
量词|liàngcí|Measure words (个，种，杯 etc ）
顺便说一下|shùnbiàn shuō yīxià|By the way (I want to say)
顺便问一下|shùnbiàn wèn yīxià|By the way (would like to ask)
味道|wèidào|Taste
草莓味|cǎomáiwèi|Strawberry flavoured
草莓奶昔|cǎoméi nǎixī|Strawberry Milkshake
放松|fàngsòng|Relax!
你很过分|nǐ hěn guòfèn|You are very mean
老婆|lǎopó|Wife
语言|yǔyán|Language
从来不|cóngláibù|Never&nbsp;
不可能|bù kěneng|Impossible
才一个月|cái yígè yuè|Only one month
说实话|shuō shíhuà|To be honest
害羞|hàixiū|Shy
天黑了|tiān hēi le|Its gotten dark
圣诞节|shèngdànjié|Christmas
我期望。。|wǒ qīwàng|I expect ...
邮箱|yóuxiāng|Mailbox
钥匙|yàoshi|Key
给你看|gěi nǐ kàn|Show you
开业|kāiyè|Open store / Open business
传单|chuándān|Fliers / Leaflets
专心|zhuānxīn|To focus on
目前|mùqián|For now / So far
冒险|màoxiǎn|Risk / to take a risk
失去|shīqù|To lose (job, opportunity, friend)
想法|xiǎngfǎ|Opinions / Things I'm thinking about
后悔|hòuhuǐ|To regret
投资|tóuzī|To invest money
生活中|shēnghuózhōng|In life&nbsp;
无线路由器|Wúxiàn lùyóuqì|Wireless Router
耐心|nàixīn|Patience
忽略|hūlüè|To ignore
以来|yǐlái|Since
根据|gēnjù|According to / On the basis of / basis / grounds
访问|fǎngwèn|To visit / To call on / To interview
建立|jiànlì|To build / To form / To establish
有关|yǒuguān|To relate to / To concern / to be about
检查|jiǎnchá|To check / To inspect / To examine
注意|zhùyì|To be careful / pay attention to
虽然|suīrán|Though / Although
中央|zhōngyāng|Center / Middle / Central Authorities
综合|zōnghé|To synthesize / To integrate
任何|rènhé|Any
通过|tōngguò|To pass through / to traverse
关键|guānjiàn|Key / Crux / Crucial
获得|huòdé|To gain / To obtain / To acquire / To win
变化|biànhuà|Change / Transformation / To change / To vary
如何|rúhé|How / What (seems like 怎么样)
讨论|tǎolùn|To confer / To discuss
大人|dàren|Adult
许多|xǔduō|Many / Much / A lot of
上去|shàngqù|To go up
实现|shíxiàn|To realize / To achieve / To bring about
选择|xuǎnzé|To select / To choose
相关|xiāngguān|To be interrelated / To be relevant
政策|zhèngcè|Policy
部门|bùmén|Department / Branch
负责|fùzé|Responsible / Conscientious / To be responsible for
代表|dàibiǎo|To represent / Representative / Delegate
多么|duōme|How / What
放|fàng|To put / to add / to release
责任|zérèn|Responsibility / Duty / Blame
因此|yīncǐ|Therefore / Thus
过去|guòqù|The past / Formerly / To go over / To pass by
具有|jùyǒu|To possess / To have
推广|tuīguǎng|To popularize / To spread
存在|cúnzài|To exist / To be / Existence&nbsp;
造成|zàochéng|To cause / To make / To create
范围|fànwéi|Scope / Range / Limits
参与|cānyù|To participate in / To involve onself in
处理|chǔlǐ|To handle / Deal with / Processing
则|zé|Then / In that case
对于|duìyú|Regarding / About / To / For
按照|ànzhào|According to
达到|dádào|To achieve / To reach / To attain
报道|bàodào|To report / News report
调查|diàochá|To investigate / To survey
制度|zhìdù|System / Institution / Rules
同时|tóngshí|At the same time
字典|zìdiǎn|Dictionary / Character Dictionary
满意|mǎnyì|Satisfied / Pleased
出版|chūbǎn|To publish / To issue
全面|quánmiàn|All round / Comprehensive / Overall
之后|zhīhòu|After / Afterward / Later
功能|gōngnéng|Function / Capability
脚|jiǎo|Foot
停止|tíngzhǐ|To stop / To cease / To call off
腿|tuǐ|Leg
以及|yǐjí|As well as / and
业务|yèwù|"business; operations; professional work"Nuance:业务 is a versatile term that refers to the specific scope of work, tasks, or operations that an individual or organization is responsible for. In a compa
农业|nóngyè|Agriculture / Farming
人才|réncái|Talent / Talented person
由于|yóuyú|Due to / Because / Since
坚持|jiānchí|To persist in / To insist on
处|chù|Place / Site / Counter for spots
差|chà|To lack / To be short / inferior / wrong
你说差了。|Nǐ shuōchà le|You're wrong
过程|guòchéng|Process / Course
行为|xíngwéi|Action / Behaviour / Conduct
起来|qǐlái|To rise / stand up / to get up
脸|liǎn|Face
农村|nóngcūn|Village / Countryside
咨询|zīxún|To consult / To seek advice
实际|shíjì|Reality / Practice / Real / Actual
占|zhàn|To occupy
商业|shāngyè|Commerce / Trade business
结构|jiégòu|Structure / Composition
评价|píngjià|To evaluate / To appraise / Evaluation
积极|jījí|Positive / Active / Enthusiastic
保持|bǎochí|To keep / To hold / To preserve
现代|xiàndài|Modern times / modern
任务|rènwu|Task / Assignment / Mission
我国|wǒguó|Our country
假发|jiǎfà|Fake hair / wig
离开|líkāi|To leave
十多|shí duō|Over 10
控制|kòngzhì|To control
身材|shēncái|Figure / Shape (person)
恭喜|gōngxǐ|Congratulations
我不介意|wǒ bù jièyì|I don't mind
太阳|tàiyáng|The sun
阳光|yángguāng|Sunlight
拿|ná|To take
伞|sǎn|Umbrella
天空|tiānkōng|Sky
伙伴|huǒbàn|Partner / Companion (business partner OK!)
教练|jiàoliàn|Coach / Trainer
狮子|shīzi|Lion
疯子|fēngzi|Lunatic / Madman
你疯了！|nǐ fēng le!|Your crazy!
搞笑|gǎoxiào|Funny
烦|fán|Be annoyed
开始的时候||In the beginning
课本|kèběn|Textbook
最长用的|zuì cháng yòng de|Most often used
百分之|bǎifēnzhī|Percentage
新年|xīnnián|New year
毕业|bìyè|To graduate
搬到日本|bāndào rìběn|Moved to Japan
约会|yuēhuì|To date somebody
有一天|yǒu yitiān|One day / Some day
知己|zhījǐ|Intimate friend (like my Tsukasa relationship)
分手|fēnshǒu|To split up (a couple) / part company
抛弃|pāoqì|To dump someone / abandon / cast aside
有一些||Theres a few
幸运|xìngyùn|Lucky
歌手|gēshǒu|Singer
通过考试|tōngguo kǎoshi|To pass a test
自由时间|zìyóu shíjiàn|Time where you can do anything / freedom time
轻松|qīngsōng|Relaxing
收入|shōurù|Income
工资|gōngzī|Salary / Wages
男性|nánxìng|Male
女性|nǚxìng|Female
就这个|jiù zhè ge|Just this
穷|qióng|Poor / Poverty
足够|zúgòu|Enough
我怪别的人|wǒ guài bié de rén|I'll blame someone else
都怪你！|dōu guài nǐ!|Its all your fault!
新娘|xīnniáng|Bride
伴娘|bànniáng|Bridesmaid
伴郎|bānláng|Best man
婚礼|hūnlǐ|Wedding ceremony
亲人|qīnrén|Relatives
交换|jiāohuàn|To exchange (gifts, rings)
戒指|jièzhǐ|Ring (ie wedding ring)
项链|xiàngliàn|Necklace
