诺言|nuòyán|A promise (noun)
忧郁|yōuyù|Depressed / Dejected
相符|xiāngfú|To match / tally
编码|biānmǎ|Coding (computer)
崩溃|bēngkuì|To collapse / crumble / computer to crash！
运行|yùnxíng|To be in motion / to move / a computer to run&nbsp;
常识|chángshí|Common sense
演技|yǎnjì|Acting / Performing skills
草药|cǎoyào|Herbal medicine
正宗|zhèngzōng|Authentic
全名|quánmíng|Full name
一石二鸟|yīshíèrniǎo|Two birds with one stone
城堡|chéngbǎo|Castle
地震带|dìzhèndài|Seismic zone / earthquake belt
海啸|hǎixiào|Tsunami
豆腐工程|dòufu gōngchéng|Chinese builders being fking shit
落枕|làozhěn|To have a stiff neck after sleeping
愚蠢|yúchǔn|Silly / Stupid
科幻小说|kēhuànxiǎoshuō|Science fiction novel
背包客|bēibāokè|Backpacker
利息|lìxī|Interest (on an investment)
报社|bàoshè|Newspaper office
我告你|wǒ gào nǐ!|I'll sue you!
黑社会|hēishèhuì|Criminal underworld
文身|wénshēn|Tattoo
创意|chuàngyì|Creativity
警察局|jǐngchájú|Police station / police department
破案|pòàn|To solve a case
却|què|But / However (written language mostly)
早就|zǎojiù|Already at an earlier time
前台|qiántái|reception / front desk (hotel etc)
粗心|cūxīn|Careless / Thoughtless / そそっかしい / always forget something
拦住|lánzhù|To stop / To bar the way
提前|tíqián|To do something ahead of time / in advance
糊涂|hútu|Confused / Muddled
青年旅社|qīngnián lǜshè|Youth hostel
人山人海|rénshānrénhǎi|Vast crowd / packed
省钱|shěngqián|To save money
面试官|miǎnshìguān|Interviewer
解脱|jiětuō|Relief (from job search worry)
面试者|miǎnshìzhě|Interviewee (me!)
抱怨|bàoyuàn|To complain / Grumble
白痴|báichī|Idiot
贿赂|huìlù|To bribe (someone)
逗|dòu|To tease
人摔倒了|rén shuāidǎo le|Person fell over
弄 倒|nòng dǎo|To knock something over
掉下来了|diào xià laile|To fall down / something fell off something
比没有好||Better than nothing!
播放音乐|bōfàng yīnyuè|To play music
窗户|chuānghù|Window
倒闭|dǎobì|Bankrupt / Close (company)
打针|dǎzhēn|have an injection
八卦|bāguà|To gossip
悲观|bèiguān|Pessimistic
团队|tuánduì|team (in my company)
防火墙|fánghuǒqiáng|Firewall (Chinese stupid internet one)
加密|jiāmì|To encrypt
解密|jiěmì|To decrypt
没有主意到||Didn't notice something
翻译成 X|fānyì chéng X|Translate into X "cheng“ &nbsp;is important
日光浴|rìguāngyù|To sunbathe
死机|sǐjī|Computer crashed
按 键|àn jiàn|push key of keyboard "push" then ”key"
启动|qǐdòng|To start (a computer etc)
缺少|quēshǎo|To lack
特地|tèdì|For a special purpose / わざわざ
怪不得|guàibude|No wonder ...
内向|nèixiàng|Introverted
外向|wàixiàng|Extroverted
苦恼|kǔnǎo|Worry
妖怪|yāoguài|Monster
白领|báilǐng|White collar (worker)
精英|jīngyīng|Elite
剧院|jùyuàn|The theater
都市|dūshì|City / Metropolis
手工艺品|shǒugōngyìpǐn|Handicrafts
种类|zhǒnglèi|A kind / A type
中国结|zhōngguójié|Those weird chinese knots
素菜|sùcài|Vegetable Dish / Vegetarian FoodNuance素菜 refers specifically to dishes made primarily from plant-based ingredients, such as vegetables, tofu, grains, and mushrooms. The core principle is the absence o
鸡鸭鱼肉|jīyāyúròu|Meat / All kinds of meat
闷|mēn|Stuffy / Stifling
中国通|zhōngguótōng|An expert / authority / specialist on China (the 通 is specialist)
目中无人|mùzhōngwúrén|Means "to look down upon everyone else"
配件|pèijiàn|Parts / fitting (of a machine, a disk drive etc)
相机|xiàngjī|A camera
型号|xínghào|Model / Type (of camera etc)
保修|bǎoxiū|Guarantee for repair service
保修单|bǎoxiūdān|A written guarantee
摄像头|shèxiàngtóu|Web camera
划算|huásuàn|To be worthwhile , same as 合算
跌|diē|To drop / to fall (ie price)
像素|xiàngsù|Pixel
三角架|sānjiǎojià|A tripod
保护膜|bǎohùmo2|protective screen (for a phone etc)
占领|zhànlǐng|To occupy (a territory) / to hold
