心里有数|xīnlǐyǒushù|1&#9;to know the score (idiom) 2&#9;to be well aware of the situation
领情|lǐng//qíng|to appreciate someone’s kindness; to accept goodwillNuances:Often used in negative or conditional contexts (e.g., "不领情" = ungrateful). Implies emotional acknowledgment beyond mere thanks.Example Sente
不再|bùzài|ADVERB no more &#19981;&#20877;&#26469; b&#249;z&#224;i l&#225;i no longer come VERB LITERARY not exist anymore &#38738;&#26149;&#19981;&#20877;&#12290; Q&#299;ngch&#363;nb&#249;z&#224;i. The bloom of
满城风雨|mǎnchéng-fēngyǔ|Widespread uproar; causing a big stir; talked about everywhereNuance“满城风雨” literally means “wind and rain all over the city,” metaphorically describing a situation that has become the talk of the town
人在江湖，身不由己|rénzàijiānghú,shēnbùyóujǐ|In this world, we cannot always control our own fate.Nuances:A classic wuxia (martial arts) idiom expressing how societal pressures or circumstances force one to act against personal wishes.Example Se
有血性|yǒuxuèxìng|To have guts; to be courageous and spirited; to show backbone.Nuance: 有血性 literally means “having blood nature,” which symbolizes vitality, bravery, and a strong sense of integrity or righteousness. I
作践|zuòjian|To abuse; to mistreat; to humiliate; to demean (oneself or others).Nuance作践 is a colloquial verb with a distinctly negative connotation, referring to the act of treating someone (or oneself) badly, ab
赌气|dǔ//qì|to act out of spite; to do something in a fit of piqueNuances:This term describes behavior driven by petty anger or stubbornness, often as a reaction to feeling wronged or frustrated. It implies a chi
红人|hóngrén|a popular/favored person; rising star (in a group or field)Nuances:Refers to someone currently enjoying widespread approval or influence (e.g., in work, social media, circles). Neutral or slightly env
悟性|wùxìng|"comprehension," "innate understanding," "intuitive grasp" (refers to a person's natural ability to quickly understand or learn things, often with depth).Nuance:This term suggests a natural, almost in
神韵|shényùn|NOUN romantic charm (in literature and art) &#25226;&#25569;&#21407;&#25991;&#30340;&#31070;&#38901; B&#462;w&#242; yu&#225;nw&#233;n desh&#233;ny&#249;n catch the romantic charm of the original
蛮|mán|Barbarous; Rough; Reckless; Very (Colloquial Intensifier)NuanceThe word 蛮 has layered meanings depending on context. Historically, it referred to “barbarians” or people considered uncivilized, but in 
业主|yèzhǔ|NOUN owner (of an enterprise or estate); proprietor; property owner
出路|chūlù|a way out; an exit; a solution (often for difficult situations)Nuances:This term refers to a viable path forward from a challenging circumstance, whether literal (e.g., physical escape route) or metap
外籍|wàijí|Foreign Nationality / ForeignNuance外籍 is an adjective or noun that refers to a person who holds the nationality or citizenship of a foreign country, as opposed to local nationality. It is a formal, ne
击倒|jī//dǎo|To Knock Down / To FloorNuance击倒 is a verb that means to strike someone or something so forcefully that they fall down. It is commonly used in combat sports (boxing, martial arts) for a knockdown, in 
肉体|ròutǐ|NOUN human body; flesh &#32905;&#20307;&#19978;&#30340;&#30171;&#33510; r&#242;ut&#464; sh&#224;ng de t&#242;ngk&#468; physical suffering (or anguish)
口令|kǒulìng|password; verbal command; spoken cueNuances:Can refer to a computer password, a military command, or a rhythmic chant in games.Example Sentences:系统要求输入登录口令。(The system requires a login password.)教官喊出口
爆冷|bào//lěng|To produce an unexpected result; an upset (in sports, competition, etc.)Nuance:爆冷 is a colloquial term that refers to an unexpected outcome, especially when a weaker or lesser-known contender defeats 
闪开|shǎnkai|Get out of the way, move aside, dodgeNuance闪开 is a direct, often urgent command telling someone to step aside quickly to avoid danger or make room. It carries a tone of immediacy and sometimes harshne
照做|zhàozuò|"to follow instructions," "to do as instructed," "to comply with directions"Nuance: 照做 refers to carrying out an order, suggestion, or example exactly as instructed. It emphasizes obedience, conformit
相貌|xiàngmào|NOUN facial features; looks; appearance &#30456;&#35980;&#31471;&#27491; xi&#224;ngm&#224;o du&#257;nzh&#232;ng have regular features &#30456;&#35980;&#22530;&#22530; xi&#224;ngm&#224;ot&#225;ngt&#225
孤僻|gūpì|ADJECTIVE unsociable and eccentric &#24615;&#24773;&#23396;&#20731; x&#236;ngq&#237;ng g&#363;p&#236; of an eccentric disposition
混子|hùnzi|slacker; loafer; someone who drifts through lifeNuances:This derogatory term describes a person who avoids responsibility, effort, or serious engagement, often through deceit or aimless behavior. It i
补刀|bǔdāo|1&#9;(gaming) to finish off a wounded combatant 2&#9;(fig.) to attack sb who is already under fire 3&#9;to pile on 4&#9;(sphragistics) to retouch a seal after taking a first impression
如法炮制|rúfǎpàozhì|to follow the same method; to imitate a proven approachNuances:This idiom (often miswritten as 如法泡制) means to replicate a successful recipe or strategy exactly. It implies adherence to an established 
急眼|jí//yǎn|to lose one's temper in desperation; to get franticNuances:This colloquial term describes someone becoming visibly agitated or angry when pressed beyond tolerance, often with irrational behavior.Examp
够用|gòuyòng|1&#9;adequate 2&#9;sufficient 3&#9;enough
虚晃一枪|xūhuǎng-yīqiāng|IDIOM feint a thrust with one's spear; make a feint
无阻|wúzǔ|VERB without hindrance; unimpeded &#19968;&#36335;&#26080;&#38459;&#12290; y&#299;l&#249; w&#250;z&#468; The journey was smooth. &#25343;&#30528;&#36825;&#24352;&#36890;&#34892;&#35777;&#23601;&#21487
盯紧|dīngjǐn|to keep an eye on
为数不多|wéishùbùduō|a small number; few
捋|lǚ|to smooth out (hair, threads); to stroke gentlyNuances:Describes a light, orderly action of arranging linear objects (e.g., beard, rope) with fingers.Example Sentences:奶奶坐在窗前，细细捋着手中的丝线。(Grandma sat by
静默|jìngmò|VERB 1&#9;become silent &#20250;&#22330;&#19978;&#21448;&#26159;&#19968;&#38453;&#38745;&#40664;&#12290; Hu&#236;ch&#462;ng sh&#224;ng y&#242;u sh&#236; y&#299;zh&#232;n j&#236;ngm&#242;. Silence agai
截获|jiéhuò|VERB intercept; intercept and capture &#28216;&#20987;&#38431;&#25130;&#33719;&#20102;&#25932;&#20154;&#19968;&#36742;&#21345;&#36710;&#12290; Y&#243;uj&#299;du&#236; ji&#233;hu&#242; le d&#237;r&#233
回执|huízhí|Receipt; acknowledgment of receipt.Nuance: 回执 refers to a formal confirmation that something has been received, often in written or documented form. It is commonly used in administrative, legal, or bu
大神|dàshén|1&#9;deity 2&#9;(Internet slang) guru 3&#9;expert 4&#9;whiz
交集|jiāojí|intersection; overlap; interactionNuances:This term originates from set theory in mathematics, where it denotes elements common to multiple sets. Figuratively, it describes points of connection or int
故伎重施|gùjì-chóngshī|to repeat an old trick; to play the same old gameNuances:This idiom describes the reuse of a previously employed (and often deceptive) strategy, implying a lack of creativity or a predictable pattern 
栽赃|zāi//zāng|"to frame someone," "to falsely accuse"Nuance:栽赃 refers to deliberately blaming someone for something they did not do, often to protect oneself, harm another, or mislead others. It emphasizes intentio
