冷ややか|ひややか|Cold / Frigid
フル回転|ふるかいてん|Full operation (of his phone)
零細企業はインフレで苦境に陥っています。|れいさいきぎょうはで くきょうに おちいっています|Small enterprises are feeling the squeeze of inflation
毛脛|けずね|hairy legs
開催中|かいさいちゅう|In session (the world cup! football season)
家族手当|かぞくてあて|Family allowance
欠乏|けつぼう|Shortage / Famine / "Want"
晩酌|ばんしゃく|Drink at home with the evening meal / dinner time drink
ウカウカ月日を送る|つきひを おくる|to dream away one's time―idle away one's time
吐き捨てる|はき すてる|To spit out
何か重い兇器でやられたらしく、頭蓋骨は粉砕された。|なにか おもい きょうきでやられたらしく ずがいこつは ふんさいされた|His head had been shattered by a savage blow from some heavy weapon
脱力感|だつりょくかん|Lethargic / exhaustion
天幕|てんまく|curtain; tent; pavilion
四柱推命|しちゅうすいめい|Four pillar astrology - originally Chinese method of fortune-telling based on th
誠実|せいじつ|Sincere / Honest
福祉予算は削減されないことに決まったのよ。|ふくし よさんは さくげんされないことに きまったのよ|They decided not to reduce the social welfare budget.
婦人|ふじん|Woman / Lady (iknow .. another)
商標権|しょうひょうけん|Trademark rights
余所余所しい|よそ よそしい|Cold / Stiff / Distant / Unfriendly
結実|けつじつ|Bearing fruit / being successful / achieving success
策謀|さくぼう|strategy; artifice
発破をかける|はっぱをかける|To set off an explosive / to start a fire under someone, to motivate someone wit
街頭演説|がいとうえんぜつ|Street speeches (say, from politicians)
何としても|なにとしても|Whatever it takes...
反目|はんもく|enmity; antagonism; hostility
育メン|いく|man who enjoys child rearing
模様|もよう|Pattern / Figure / Design
荷物を無理やりかばんに詰めたよ。|にもつを むりやりかばんに つめたよ|I forced my belongings into the bag.
指示|しじ|Instruction / Indication
厳粛な|げんしゅくな|Solemn / Serious
利回り|りまわり|Interest / Investment yield / Profits
定位置|ていいち|Home position / Origin
今日の世相を反映した事件だね|きょうの せそうを はんえいした じけんだね|This event reflects the current social conditions
籍をおく|せきをおく|To become a member (of the guild)
幽霊会社|ゆうれいがいしゃ|bogus company, paper company
溺れる|おぼれる|To drown
抜け穴|けぬけあな|Loophole (in the law etc)
前線|ぜんせん|Weather front (cold fronts etc) / Front line
猫は縁側で寝ていますよ|ねこは えんがわで ねていますよ|The cat is sleeping on the veranda
疾患|しっかん|Disease / Ailment
夕暮れで景色がぼやけて見えます|ゆうぐれで けしきがぼやけて みえます|Scenery appears to grow dim in the evening
白亜|はくあ|(1) chalk (mineral); (2) white wall
安楽|あんらく|Ease / Comfort / Carefree / Cosy
歯垢|しこう|Dental plaque
真顔|まがお|Serious look
料理に唐辛子を入れすぎた|りょうりに とうがらしを いれすぎた|I put too much chili powder in this dish
予備的|よびてき|Prelimiary / Preparatory
思慮|しりょ|prudence; discretion; thought
斜陽|しゃよう|setting sun
土俵|どひょう|Sumo wrestling ring
大佐|たいさ|Colonel
にわかに|にわかに|rapidly
現時点|げんじてん|At the present time / Present point (in history)
辛うじて|かろうじて|Barely / Narrowly / Just manage to do something
減算|げんざん|Subtraction
えくぼ|えくぼ|Dimple
削ぐ|そぐ|(1) to chip (off); to shave (off); to slice (off); to sharpen;
年嵩|としかさ|senior, older, elderly
農協|のうきょう|agricultural cooperative
促す|うながす|To hasten / urge
超絶|ちょうぜつ|Transcendence / Excellence / Superiority
文無し|もんなし|Penniless / Broke
老練|ろうれん|Experienced / Veteran
殊勝|しゅしょう|Admirable / Laudable
一家言|いっかげん|private opinion; personal view; personal opinion
念じる|ねんじる|1. to wish (for); to pray (for); to hope (for)2. to pray silently; to recite
竦む|すくむ|To cower / be cramped
機動隊が学生に襲いかかった。|きどうたいが がくせいに おそいかかった|The riot police attacked the students together.
母語話者|ぼごわしゃ|Native speaker
雌伏|しふく|Remaining in obscurity
直情|ちょくじょう|Frankness / Impulsiveness
成仏|じょうぶつ|attaining Buddhahood; becoming a Buddha; entering Nirvana
腕が鳴る|うでが なる|to be itching to put one's skills to use
処置|しょち|Treatment / Measure / Step
進学校|しんがくこう|School centred on preparing students to get into university
藻屑|もくず|Scraps of seaweed / death at sea (metaphor)
無垢である程度|むくである ていど|the degree of spotlessness
自己検閲|じこけんえつ|self-censorship
祇園会|ぎおんえ|Gion Festival (in Kyoto during the month of July, with high point on the 17th)
ひもじい|ひもじい|Hungry
多額|たがく|Large amount of money
戒め|いましめ|Caution / Commandment / Lesson / Warning / Example
満更|まんざら|Altogether / Wholly
巨万|きょまん|Huge fortune / Millions
最期|さいご|Ones last moment / Ones time of death
洋上|ようじょう|on the sea; on the ocean
感情表現|かんじょうひょうげん|expressing emotion; drawing facial expressions
反徒|はんと|rebels; insurgents
要|かなめ|Pivot / Hinge / Main Point / Pillar / Bpttom line
青二才|あおにさい|(derog) green youth; immature youth; novice; greenhorn
心音|しんおん|(sound of one's) heartbeat
縁|ふち|rim, brim, edge, brink
恐れおののく|おそれおののく|to tremble with fear
概論|がいろん|Intro / Outline / General remarks
風車小屋|ふうしゃごや|Windmill
正攻法|せいこうほう|Frontal attack
火炎|かえん|Flame / Blaze
水彩画|すいさいが|watercolor painting; watercolour painting
出歩く|であるく|to go out; to go around; to walk about; to roam
様子|ようす|Situation / Appearance / "See how it goes"
晴れ姿|れはれすがた|Appearing in ones finest clothes / Appearing in ones hour of triumph
凝縮|ぎょうしゅく|Condensation
稜線|りょうせん|Mountain ridge / Ridge line
～こととて|こととて|Simply "because" / だから
送迎車|そうげいしゃ|courtesy car (e.g. at a hotel)
護身|ごしん|Self Defense
先生に暑中見舞いを出しました。|せんせいに しょちゅうみまいを だしました|I sent a summer greeting card to my teacher.
電柱|でんちゅう|Telegraph pole
集中暖房|しゅうちゅう だんぼう|Central heating
手法|しゅほう|Technique
多方面|たほうめん|Many sided
死なんとする者は本音を吐くものだ。|しなんとする ものは ほんねを はくものだ|A person who is about to die gives vent to his true feelings.
這い蹲る / 這い蹲う|はい うずくまる いはいつくばう|to grovel; to go down on one's hands and knees
定期預金|ていきよきん|term deposit; (fixed) time deposit
この生地は滑らかな手触りが特長です。|この きじは なめらかな てざわりが とくちょうです|This cloth's main feature is its smooth texture.
振り向く|りふりむく|To turn around / look back (again ... iknow)
起爆剤|きばくざい|Trigger
幾分|いくぶん|Somewhat / To some extent / To some degree
昨日創作料理のお店に行った|きのう そうさくりょうりのお たなに いった|I went to an innovative restaurant yesterday
替え玉|えかえだま|ringer; substitute; double; proxy
口裏を合わせる|くちうらを あわせる|to arrange beforehand to tell the same story; to get the stories straight
もっとも (grammar)|もっとも|can also be "but then", "although" - written 尤も
建設的|けんせつてき|constructive
布団|ふとん|Futon
縄|なわ|Rope
重曹|じゅうそう|Baking soda
空所を補充せよ。|くうしょを ほじゅうせよ|Fill in the blanks
銀世界|ぎんせかい|Snowscape
叩き壊す|はたき こわす|To tear down / To shatter
照会|しょうかい|Inquiry / Application for information
彼は最近は専らゴルフをしています|かれは さいきんは もっぱらをしています|Recently he does nothing but play golf
雑学|ざつがく|Miscellaneous knowledge
周遊|しゅうゆう|Excursion trip / round trip
背丈は普通でした。|せたけは ふつうでした|The man was of normal height
直立不動|ちょくりつふどう|standing at attention
中年|ちゅうねん|Middle age (person, not century)
予見|よけん|Foresight / Foreknowledge
郷里からカニを取り寄せました|きょうりからを りとりよせました|I had a crab sent from my hometown
彼は子どもたちの浪費を戒めた|かれは こどもたちの ろうひを いましめた|He warned the children against waste
一件落着|いっけんらくちゃく|An issue being settled / A case being closed
追跡番号|ついせきばんごう|tracking number (e.g. for orders)
