販売店|はんばいてん|store, shop
身なりのいい人が入ってきた。|みなりのいい ひとが はいってきた|A well-dressed person came in.
乗じる|じょうじる|(1) to take advantage of; to follow blindly; (2) {math} to multiply;
新しい議長の選出で期せずしてみんなの意見が一致した|あたらしい ぎちょうの せんしゅつで きせずしてみんなの がいけんがいっちした|In the election for a new chairman, unexpectedly, everybody agreed
保護機能|ほごきのう|Safeguard
僻み|ひがみ|Bias / Warped view
履歴書には賞罰記入の欄がある|りれきしょには しょうばつ きにゅうの らんがある|On the resume form, htere is a column to fill in the rewards and penalties
一安心|ひとあんしん|Feeling of relief
水呑み百姓|みみずのみびゃくしょう|poor peasant or farmer
活版|かっぱん|printing; typography
符号語|ふごうご|codeword
彼は心が歪んでいる|かれは こころが いがんでいる|His mind is twisted
走馬灯|そうまとう|Revolving Lantern
伸るか反るか|のるか そるか|win or lose; sink or swim; make or break; all or nothing
痺れる|しびれる|1. to become numb, to go to sleep (e.g. a limb)2. to get an electric shock, to t
彼らはにこやかに挨拶を交わしたけどね。|かれらはにこやかに あいさつを かわしたけどね|They exchanged greetings with a smile at first.
窮余の策|きゅうよの さく|Desperate measures
大法螺|おおぼら|big lie; whopper
幽鬼|ゆうき|ghost, revenant, spirit (of the dead), departed soul
まったりする|まったりする|To chill out
色めき立つ|いろめき たつ|To become excited
暑い日が続いたので夏ばてしてしまった|あつい ひが つづいたので なつばてしてしまった|I am suffering from heat exhaustion as the hot days continue
蘇生|そせい|Rebirth / Resurrection / Reviving
待ち受け画面|まち うけ がめん|standby screen (on a mobile phone), (phone) wallpaper
広場は興奮でわきたった。|ひろばは こうふんでわきたった|The square buzzed with excitement.
正式|せいしき|Formal / Regular
取り乱した|りとりみだした|Distraught / Unbalanced / Frenzied / Distracted
仇する|あだする|To harm / To injure / To oppose
因縁|いんねん|Fate / Destiny / Connection
足払い|あしばらい|Tripping up
とじる|とじる|bind, file
体臭|たいしゅう|Body odour / Personal odour
轟音|ごうおん|Thunderous roar / Roaring sound
真価|しんか|True value
宴もたけなわ|うたげもたけなわ|party in full swing, party at its peak
屁っ放り|へっ ぴり|1. useless person, worthless person2. farting, farter
押しとどめる|おしとどめる|to check, to stop, to keep back
度々|たびたび|Often
体系的|たいけいてき|Systematic
文脈|ぶんみゃく|Context
身のこなし|みのこなし|Agility / Movement of the body (Garnet, how impressive she jumps around)
傷害|しょうがい|Injury / Wound
