同性愛者|どうせいあいしゃ|homosexual (person)
彼はその絵をずっと見つめていたの。|かれはその えをずっと みつめていたの|He was gazing at that painting for a long time.
性感|せいかん|Sexual feelings
見逃す|みのがす|To overlook something / miss something - not 見落とす
川下|かわしも|Downstream (not 下流)
湯たんぽ|ゆたんぽ|Hot water bottle
馳せる|はせる|To drive (car) / to ride (horse) / to win (fame)
酒蔵|さかぐら|Wine cellar
一命を取り留める|いちめいを とり とめる|to escape death; to be saved from death
型破り|かたやぶり|unusual; unconventional; mold-breaking; outside the box
唸る|うなる|To growl / To groan / To moan / To roar
塗り潰す|りぬりつぶす|To paint out
片っ端から|っかたっぱしから|Absolutely every little bit / Everything from A to Z
殺風景|さっぷうけい|tasteless; dreary; tastelessness
大腿|だいたい|Thigh
涙ぐむ|なみだぐむ|to have tears in one's eyes, to be moved to tears
繁栄|はんえい|Prospetirty / Thriving (not 繁盛)
違法駐車の取り締まりが厳しくなったの。|いほう ちゅうしゃの りとりしまりが きびしくなったの|The regulation of illegal parking has become stricter.
蘇る　・　甦る|よみがえる よみがえる|To revive / rise / come back (from the dead..)
探索|たんさく|Search / Hunt / Exploration
天狗|てんぐ|Long nosed goblin / Braggart
真似し|まねし|Copy cat
ぷんぷん|ぷんぷん|Be in a huff / Fume
自活|じかつ|Self support
祝杯|しゅくはい|Toast / Congratulatory cup
鵜呑み|うのみ|Swallowing (food, story)
試験管|しけんかん|Test tube
損得抜きで一緒に仕事しよう|そんとく ぬきで いっしょに しごとしよう|Lets work together without thinking about profits or losses
息が上がる|いきが あがる|to run out of breath, to get breathless, to get puffed (out)
二人は師弟関係にある|にんは してい かんけいにある|They have a good teacher/student relationship
辛く当たる|つらく あたる|To treat badly
研究班が川の地質を調査している|けんきゅう はんが かわの ちしつを ちょうさしている|The research group is investigating geological features of the river
奇々怪々|ききかいかい|Very strange / Bizarre / Weird / Mysterious
漫ろ|そぞろ|これといった理由もなしにそうなったり、そうしたりするさま。なんとなく心が落ち着かないさま。そわそわするさま不本意なさま。意に満たないさまかかわりのないさま むや
剣を抜く|つるぎを ぬく|to draw a sword
また聞き|また ぎき|hearsay, learning by hearsay
利己的|りこてき|Sorry, ANOTHER word for selfish. This one uses 的
密集|みっしゅう|Crowd / Crowded with something / Dense
侍女|じじょ|lady attendant; maid
如意|にょい|going according to one's wishes
一芝居|ひとしばい|A trick / act (騙す)
土曜日に荷造りをするのを手伝ってくれますか。|どようびに にづくりをするのを てつだってくれますか|Could you give a me hand packing on Saturday?
熟練|じゅくれん|Skill / Dexterity / Proficiency
真偽不明|しんぎふめい|Dubious / Doubtful / Of unknown authenticity
書店で日本画全集を立ち読みした|しょてんで にほんが ぜんしゅうを ちたちよみした|I browsed a complete volume of Japanese paintings in the bookstore
二人でしみじみと語り合った|にんでしみじみと りかたりあった|The two of them talked fondly
金魚鉢|きんぎょばち|Goldish bowl
しわしわ|しわしわ|crumpled; wrinkled
循環|じゅんかん|circulation, rotation, cycle, loop
個性的な|こせいてきな|Individual / Original
初乗り運賃|はつのり うんちん|The base fare
又しても死を免れることができた。|またしても しを まぬかれることができた|Again I was able to escape death
鉱業|こうぎょう|Mining industry
的確|てきかく|Precise / Accurate
発売元|はつばいもと|Sales agency
称す|しょうす|To take the name of / To call oneself / To pretend
ほげ|ほげ|foobar style name for a dummy variable
相乗|そうじょう|Multiplication / Synergism
買い得|いかいどく|Special / Bargain / A snip&nbsp;
聞かす|きかす|Tell / read aloud
辛抱する|しんぼうする|Patience / endurance / perseverance
誑かす|たぶらかす|to deceive / work (the queen in ff9!)
取り付く|りとりつく|To obsess&nbsp;
壮麗|そうれい|Splendor / Magnificance
警鐘|けいしょう|Alarm bell / Fire bell
栄達|えいたつ|fame; distinction; rise; advancement
感極まる|かんきわまる|to be overcome with emotion
論拠|ろんきょ|grounds of an argumentこれは当面の問題にとって大事な論拠だ。This is an argument material to the que
縫う|ぬう|Sew / Stitch
潜入(する)|せんにゅうする|To infiltrate / plant / penetrate
華やか|はなやか|Gorgeous / Colourful
差し迫る|しさしせまる|To be urgent / To be pressing / To be imminent
納棺|のうかん|Coffin
偏屈|へんくつ|Eccentric / narrow minded
取り分け|りとりわけ|Above all / Especially
無敵|むてき|Invincible / Unrivalled (Juventus with Tevez in the side)
筒|つつ|Cylinder / Tube
その家族は公的扶助を受けている|その かぞくは こうてきふじょを うけている|That family receives public assistance
矜持|きんじ|pride; dignity; self-respect
頭目|とうもく|chief; head; leader
駆られる|かられる|To be driven by (ones feelings)
雪片|せっぺん|snowflake
撓む|たわむ|to bend; to warp
踏み止まる|みふみとどまる|To hold ones ground / to hold out / To stay on / To remain
尾を引く|おを ひく|To leave a trail / To leave traces / To have a lasting effect
号泣|ごうきゅう|Crying aloud / Wailing
地歩|ちほ|Ones stand / foothold / position
殺虫剤|さっちゅうざい|insecticide, pesticide
波状攻撃|はじょうこうげき|attacking in waves
