唯物|ゆいぶつ|Materialism (in philosophy)
黒檀|こくたん|ebony
因子|いんし|Element / Factor / Divisor
酒造|しゅぞう|sake brewing
恥毛|ちもう|pubic hair
骨肉の争い|こつにくの あらそい|family quarrel
心に描く|こころに えがく|to imagine, to envisage
事も無げに|ことも なげに|casually, nonchalantly, easily, without difficulty, as if nothing had happened
改心|かいしん|conversion, reform, correcting someone's conduct彼は改心することを決心した。He resolved to tur
住所録|じゅうしょろく|Address Book (think on a computer)
余暇|よか|Leisure time / Spare time
しろと言う|しろと いう|To insist (on something) / To advise strongly
立て続けに|てたてつづけに|In succession
喫す|きっす|to eat; to drink; to smoke; (2) to suffer (e.g. defeat); to receive (e.g. a blow
御す|ぎょす|&nbsp;(1) (See 御する) to drive (e.g. horse, carriage); (2) to control; to manage
打つ手|つうつて|way to do (something)
実用主義者|じつようしゅぎしゃ|pragmatist
植え込み|うえ こみ|thick growth of plants, plantation
茸|たけ|Mushroom
刎ねる|はねねる|To decapitate
収容所|しゅうようじょ|Home / Aslyum / Camp
句読点|くとうてん|Punctuation marks
猫はくるりと体を丸めて眠りについた|ねこはくるりと からだを まるめて ねむりについた|The cat curled up and went to sleep
親書|しんしょ|Handwritten or autograph letter
尾根|おね|(mountain) ridge; spur
勧める|すすめる|To suggest / recommend
持ち切り|ちもちきり|Hot topic / Talk of the town
入念|にゅうねん|Careful / Elaborate / Scrupulous
斬りかかる|きりかかる|To assault with a sword
抗菌|こうきん|Antibacterial
来賓|らいひん|Guest visitor / Visitors arrival
閉鎖的|へいさてき|Insular / Closed / Unsociable / Exclusive
クロッキー帳|くろっきーちょう|Artists sketch pad
この懐中電灯は明かりが弱くなってきた。|この かいちゅうでんとうは あかりが よわくなってきた|This flashlight is getting dim
袋叩き|ふくろだたき|Beat someone up by ganging up on
沈殿|ちんでん|precipitation; deposition; settlement (e.g. of sediment)
叔母|おば|aunt
密会|みっかい|clandestine meeting
農村|のうそん|Rural (area)
邦画|ほうが|Japanese film / painting
輝度|きど|Brightness / Clearness / Luminance
論理和|ろんりわ|OR operation / Disjunction
義務付け|ぎむづけ|Obligation
その言葉は中国の故事に由来する|その ことばは ちゅうごくの こじに ゆらいする|The word is of Chinese origin
書状|しょじょう|Letter / Note
部位|ぶい|Part / Position (in a whole, ie body)
逆恨み|さかうらみ|Being resented in return / unjustified resentment through misunderstanding
なぞる|なぞる|To trace a drawing / To follow
進言|しんげん|proposal; counsel; advice (to a superior)
処断|しょだん|judgement
薬缶|やかん|kettle
代表格|だいひょうかく|representative
