# Batch 23/32 — Korean Sentences with JA/EN

## 과학 (science)
1. 과학은 재미있어요. | 科学は面白いです。 | Science is fun.
2. 저는 과학을 공부해요. | 私は科学を勉強します。 | I study science.
3. 과학 시간에 실험을 해요. | 科学の時間に実験をします。 | We do experiments in science class.

## 기술 (technology)
1. 기술이 중요해요. | 技術は重要です。 | Technology is important.
2. 요즘 기술이 발달했어요. | 最近、技術が発達しました。 | Technology has developed a lot these days.
3. 새로운 기술을 배워요. | 新しい技術を学びます。 | I learn new technology.

## 공학 (engineering)
1. 공학을 전공해요. | 工学を専攻しています。 | I major in engineering.
2. 공학은 수학을 많이 사용해요. | 工学は数学をたくさん使います。 | Engineering uses a lot of math.
3. 공학자가 되고 싶어요. | エンジニアになりたいです。 | I want to become an engineer.

## 화학 (chemistry)
1. 화학은 어려워요. | 化学は難しいです。 | Chemistry is difficult.
2. 화학 시간에 실험해요. | 化学の時間に実験します。 | We experiment in chemistry class.
3. 저는 화학을 좋아해요. | 私は化学が好きです。 | I like chemistry.

## 물리학 (physics)
1. 물리학은 재미있는 학문이에요. | 物理学は面白い学問です。 | Physics is an interesting field of study.
2. 물리학에서 힘을 배워요. | 物理学で力を学びます。 | We learn about force in physics.
3. 물리학 선생님이 친절하세요. | 物理学の先生は親切です。 | The physics teacher is kind.

## 생물학 (biology)
1. 생물학에서 동물을 공부해요. | 生物学で動物を勉強します。 | We study animals in biology.
2. 생물학 시간이 즐거워요. | 生物学の時間が楽しいです。 | Biology class is enjoyable.
3. 세포는 생물학의 기본이에요. | 細胞は生物学の基本です。 | Cells are the basics of biology.

## 지질학 (geology)
1. 지질학은 땅을 연구해요. | 地質学は大地を研究します。 | Geology studies the earth.
2. 지질학자는 돌을 분석해요. | 地質学者は石を分析します。 | Geologists analyze rocks.
3. 지질학을 배우고 있어요. | 地質学を学んでいます。 | I am learning geology.

## 천문학 (astronomy)
1. 천문학에서 별을 봐요. | 天文学で星を見ます。 | We look at stars in astronomy.
2. 천문학자는 밤에 일해요. | 天文学者は夜に働きます。 | Astronomers work at night.
3. 저는 천문학에 관심이 있어요. | 私は天文学に興味があります。 | I am interested in astronomy.

## 수학 (mathematics)
1. 수학은 기본이 중요해요. | 数学は基本が重要です。 | Basics are important in mathematics.
2. 저는 수학을 잘해요. | 私は数学が得意です。 | I am good at mathematics.
3. 수학 문제를 풀어요. | 数学の問題を解きます。 | I solve math problems.

## 대수학 (algebra)
1. 대수학에서 x를 사용해요. | 代数学でxを使います。 | We use x in algebra.
2. 대수학 시험이 있었어요. | 代数学の試験がありました。 | There was an algebra test.
3. 대수학은 재미있어요. | 代数学は面白いです。 | Algebra is fun.

## 기하학 (geometry)
1. 기하학에서 도형을 그려요. | 幾何学で図形を描きます。 | We draw shapes in geometry.
2. 기하학은 삼각형이 많아요. | 幾何学は三角形が多いです。 | Geometry has many triangles.
3. 기하학 문제가 어려워요. | 幾何学の問題が難しいです。 | Geometry problems are difficult.

## 통계학 (statistics)
1. 통계학에서 데이터를 분석해요. | 統計学でデータを分析します。 | We analyze data in statistics.
2. 통계학은 수학의 한 분야예요. | 統計学は数学の一分野です。 | Statistics is a field of mathematics.
3. 통계학을 공부하면 도움이 돼요. | 統計学を勉強すると役に立ちます。 | Studying statistics is helpful.

## 확률 (probability)
1. 확률을 계산해요. | 確率を計算します。 | I calculate probability.
2. 비가 올 확률은 50%예요. | 雨が降る確率は50%です。 | The probability of rain is 50%.
3. 확률이 높아요. | 確率が高いです。 | The probability is high.

## 미적분 (calculus)
1. 미적분은 어렵지만 재미있어요. | 微積分は難しいですが面白いです。 | Calculus is difficult but fun.
2. 대학교에서 미적분을 배워요. | 大学で微積分を学びます。 | I learn calculus in university.
3. 미적분 시간에 그래프를 그려요. | 微積分の時間にグラフを描きます。 | We draw graphs in calculus class.

## 방정식 (equation)
1. 방정식을 풀어 주세요. | 方程式を解いてください。 | Please solve the equation.
2. 이차 방정식은 어려워요. | 二次方程式は難しいです。 | Quadratic equations are difficult.
3. 방정식의 답을 찾아요. | 方程式の答えを探します。 | I find the answer to the equation.

## 공식 (formula)
1. 공식을 외워요. | 公式を暗記します。 | I memorize the formula.
2. 이 공식은 유명해요. | この公式は有名です。 | This formula is famous.
3. 공식을 사용해서 문제를 풀어요. | 公式を使って問題を解きます。 | I solve problems using the formula.

## 정리 (theorem)
1. 피타고라스의 정리를 알아요. | ピタゴラスの定理を知っています。 | I know the Pythagorean theorem.
2. 그 정리는 중요해요. | その定理は重要です。 | That theorem is important.
3. 정리를 증명해요. | 定理を証明します。 | I prove the theorem.

## 증명 (proof)
1. 증명은 수학에서 중요해요. | 証明は数学で重要です。 | Proof is important in mathematics.
2. 증명을 써요. | 証明を書きます。 | I write a proof.
3. 그 증명이 맞아요. | その証明は正しいです。 | That proof is correct.

## 가설 (hypothesis)
1. 실험 전에 가설을 세워요. | 実験の前に仮説を立てます。 | I set up a hypothesis before the experiment.
2. 가설이 맞는지 확인해요. | 仮説が合っているか確認します。 | I check if the hypothesis is correct.
3. 과학자는 가설부터 시작해요. | 科学者は仮説から始めます。 | A scientist starts with a hypothesis.

## 이론 (theory)
1. 그 이론을 배웠어요. | その理論を学びました。 | I learned that theory.
