雨具|あまぐ|Rainwear
被告は判決に不服でためらわずに控訴した。|ひこくは はんけつに ふふくでためらわずに こうそした|The defendant appealed against the sentence without hesitation
目に付く|めに つく|Observable / 観察できる　・　識別できる
頂点|ちょうてん|Top and summit but more importantly also VERTEX
宿泊所|しゅくはくじょ|Lodgings / Quarters
夏至は１年で最も昼が長い|げしは ねんで もっとも ひるが ながい|The summer solstice is the longest day of the year
アベック||Couple (ie boy and girl)
魔法瓶|まほうびん|Thermos flask / vacuum flask
発酵|はっこう|fermentation; zymosis
見舞い|みまい|Sympathy Visit
需要|じゅよう|Demand (for something, ie consumer demand)
雑巾|ぞうきん|Cloth / Duster / Floorcloth
順応性|じゅんおうせい|Adaptability (to a new environment)
ミミズ||a worm
式典|しきてん|Ceremony / Rites
意気地なし|いくじなし|Coward / Timid creature
根底|こんてい|Root / Basis / Foundation
争議は円満に解決した。|そうぎは えんまんに かいけつした|The dispute was settled peacefully
出揃う|でそろう|To appear all together / To be all present
嗄らす|からす|To talk (or shout) oneself hoarse
抜本的|ばっぽんてき|Drastic / Radical
森閑|しんかん|silent, still, quiet, hushed
有料|ゆうりょう|Fee-charging / pay
技法|ぎほう|Technique (for moving the camera, from trick)
ひらひら|ひらひら|lightly, floating (4 doubler)
見合わせる|みあわせる|1) &quot;Look at each other&quot;2) To postpone / put off&nbsp;&nbsp;/ withdraw 
幕あいに退席する|まくあいに たいせきする|Leaving ones seat during the interval
線形|せんけい|Linear / Line / Straight alignment
片棒|かたぼう|Partner / Accomplice
置換|ちかん|Substitution / Replacement (of some characters in a string array)
万有引力|ばんゆういんりょく|{physics} universal gravitation
底抜け|そこぬけ|1. bottomless (bucket, etc.)2. unbounded (good nature, optimism, etc.), boundles
純利益|じゅんりえき|net income, net profit最新の３ヶ月で純利益が過去最高記録となっています！Net profit for the last three mon
微生物|びせいぶつ|microbe, germ
試写会の日時を教えてください。|ししゃ かいの にちじを おしえてください|Please tell me the date of the sneak preview.
掠る|かする|To glance / graze
見返す|みかえす|To get back at someone / return ones look
発育|はついく|Physical growth / Development
静観|せいかん|Watchful waiting / Careful supervision
掻い潜る|いかいくぐる|To slip through
漆黒|しっこく|Jet black
建売|たてうり|constructing and selling a ready-built house
いても立ってもいられない|いても たってもいられない|unable to contain oneself, itching to do something, cannot sit still
赤血球|せっけっきゅう|red blood cell
原色|げんしょく|Primary Colours
楯突く|たてつく|To defy / resist / appose (The big scary guy in One Piece)
根気|こんき|Patience / Perserverance
隔たる|へだたる|To be distant
清浄|せいじょう|Pure / Clean / Purity
この襟巻きはとても暖かい|この えりまきはとても あたたかい|This scarf is very warm
粉雪|こなゆき|Powdered snow
灼熱|しゃくねつ|Red hot / Scorching heat / Incandescence
痴話げんか|ちわげんか|lovers' quarrel
沿岸|えんがん|Another word for coast / shore (iknow, only on weather reports maybe)
豪勢な|ごうせいな|Grand / Sumptuous (dinner?) / 贅沢
充実|じゅうじつ|Full / Massive (Fullfillment?)
細切れ|こまぎれ|Small pieces (of time etc)
飢饉|ききん|Famine / Drought / Shortage / Crop failure
キリギリス||Grasshopper / Cricket
野外|やがい|Fields
彼は背中を反らせた|かれは せなかを そらせた|He arched his back
怪事件|かいじけん|Mystery case
大蛇|だいじゃ|big snake; serpent
ひっそりと暮らす|ひっそりと くらす|live in the shadows
切り上げる|きり あげる|1. to cut short; to stop early; to finish (at a convenient spot)2. to round up (
書生|しょせい|old word for "student"
欠陥品|けっかんひん|defective item, defective product, defective merchandise
保冷|ほれい|keeping (something) cool
日取り|ひどり|Fixed date / Appointed day
煮え切らない|にえ きらない|Indecisive / Hesitant
サイコロ||Dice
電車はダイヤ通りに運行しています|でんしゃは どおりに うんこうしています|The train is operating according to the timetable
鼻がむずむずします。|はながむずむずします|My nose is itchy.
こけおどし|こけおどし|"a bluff," "empty threat," or "intimidation tactic."Nuance:This
 term describes 
好き好き|すき すき|A matter of taste
空襲|くうしゅう|Air raid
濡れたタオルを火であぶる。|ぬれたを ひであぶる|Dry a wet towel over a fire
最たるもの|さいたるもの|The most extreme
微動|びどう|Slight tremor / Slight movement / A quiver
このゲームは人気のため売り切れが続出している|このは にんきのため りうりきれが ぞくしゅつしている|The game keeps selling out because it is popular
初任給をもらって感激です|しょにんきゅうをもらって かんげきです|I felt quite emotional when I got my initial salary
宅配便の荷札を書いてください|たくはいびんの にふだを かいてください|Please fill in the label for the courier service
打擲|ちょうちゃく|Thrashing / Beating
轍|わだち|rut; wheel track; furrow
漲る|みなぎる|to rise high (of water); to overflow; to swell (e.g. river full of water); (2) (
伝記|でんき|biography, life story
名目的|めいもくてき|nominal, in name only, only by terminology
彼の手相を見る|かれの てそうを みる|Read hand / palm
所詮|しょせん|Another word for 結局
制圧|せいあつ|Total control (of people or countries) / Suppression / Oppression
恩に着る|おんに きる|To feel oneself indebted to
致死|ちし|Lethal / Fatal
呻き声|きうめきごえ|Groan / Moan
昇華|しょうか|より価値の高いものに変化すること。
情景|じょうけい|Spectacle / Sight / Scene
自己憐憫|じこれんびん|self-pity
手ぐし|てぐし|using one's fingers as a comb, combing one's hand through one's hair
もたつく|もたつく|to be slow, to not make progress, to be inefficient
数秘学|すう ひ がく|numerology
時期尚早|じきしょうそう|Premature (4 character one)
生計|せいけい|Living / Livelihood / Bread and butter
略式命令|りゃくしきめいれい|Summary order (from courts to do something)
すっぱり|すっぱり|To do something completely (eg completely cut off that person!)
適宜|てきぎ|Appropriate / Suitable
升目|ますめ|Measure / Square (eg of graph paper or Japanese manuscript paper)
だらだら（と）|だらだらと|Pouring liquid / Endlessly (cold sweating?)
延滞|えんたい|Arrears
脇見|わきみ|Looking aside
殴打|おうだ|Hit / Strike / Blow
一目見る|ひとめ みる|to give a glance (at); to take one look at
ドタキャン||last-minute cancellationColloquialism, from 土壇場でキャンセルする
叶える|かなえる|To grant a wish or request
旗|はた|&quot;Flag&quot; - the ones a linesman uses!
日本の習慣に即して|にっぽんの しゅうかんに そくして|In line with japanese customs
気乗りの無い|きのりの ない|Reluctant / Dull / Half hearted / Hesitant
通念|つうねん|Common idea / Stereotype ・Conventional wisdom&nbsp;
べくして　Grammar|べくして|As it is bound to happen / Following the natural course
体質|たいしつ|Predisposition / Constitution / Inclination
垂れ込む|れたれこむ|To report / Squeal / Rat
議員の記者会見は言い逃れに終始した|ぎいんの きしゃかいけんは いいいのがれに しゅうしした|The assembly members press conference was nothing but excuses
