不完全|ふかんぜん|不完全とは、完全でないこと、不足や欠点がある状態を指します。
不定詞|ふていし|「不定詞（ふていし）」は、英語文法で動詞の原形に「to」を付けた形（to do, to be など）を指す言語学用語です。英語学習において重要な文法概念で、名詞的用法、形容詞的用法、副詞的用法の三つに分類されます。教育や語学の文脈で使われます。
不審|ふしん|「不審」は、怪しいことや疑わしいと感じることを指します。不審な人物・不審な行動・不審に思うなど、犯罪やトラブルに関連する文脈でよく使われます。
不審な|ふしん|「不審な」は、怪しい、疑わしい、または普通ではないと感じられる様子を表す形容動詞の連体形です。人物の挙動や物事の状況に対して、不信感や疑問を抱く場合に使われます。警察やセキュリティの文脈で特に頻繁に使われます。
不審人物|ふしんじんぶつ|不審人物は、挙動や外見などに怪しい点がある人物を指します。防犯や安全の文脈で使われます。
不尽|ふじん|「不尽」は、手紙の末尾に書く定型句で「十分に書き尽くせませんでしたが、これで失礼します」という意味の謙譲表現です。「草々不一」などと共に、正式な手紙の結びの言葉として使われます。現代ではほとんど使われませんが、格式ばった手紙や案内状で見かけることがあります。
不屈|ふくつ|どんな困難や圧力にも屈しない強い意志や精神のこと。ポジティブで力強い響き。スポーツや闘病などで「不屈の精神」とよく使われる。
不屈の精神|せいしん|不屈の精神は、どんな困難や苦労にも負けずに立ち向かう強い心を指す慣用表現です。スポーツ選手や偉人の物語などで使われる、賞賛の意味を含んだ表現です。
不届き|ふとど|思いやりや配慮が足りないこと、または法律や道徳に反する行為を指します。「不届き者」という形で犯罪者や無礼な人を強く非難する際に使われることが多いです。やや古風でドラマチックな響きがあります。
不履行|ふりこう|「不履行」は、契約や約束で定められた義務を果たさないことを指す法律・ビジネス用語です。「債務不履行」「契約不履行」のように、金銭的な支払いやサービスの提供などが行われなかった場合に使われます。やや硬い専門用語ですが、契約書やビジネス文書では頻繁に登場する重要な語です。
不平|ふへい|不平は、現状に満足せず、不満や文句を言うことを指します。「不満」が内心の感情に焦点を当てるのに対し、「不平」はそれを口に出して表現する側面が強いです。「不平を言う」「不平不満」のように使われます。やや口語的で、日常の愚痴や文句の文脈でよく使われます。
不平不満|ふへいふまん|現状に満足せず、文句や不満を言うことを意味します。不満が重なった状態を強調する表現です。
不平等|ふびょうどう|公平でない状態、釣り合いが取れていないことを意味します。社会的・経済的な格差を指すことが多いです。
不幸|ふこう|「不幸」は、めぐり合わせが悪く幸せでない状態や、災難・悲しい出来事を指します。個人の感情から社会的事件まで幅広く使われます。「不幸中の幸い」という慣用句でもよく知られています。
不幸せ|ふしあわ|幸せではない状態、心が満たされず辛い気持ちであることを表します。
