無分別|むふんべつ|無分別（むふんべつ）means "reckless," 
"imprudent," or "lacking judgment." It describes ac
味気ない|あじけない|"dull," "insipid," or "lifeless," describing something that lacks flavor, intere
無下にする|むげにする|"To reject flatly," "to treat coldly," or "to dismiss outright"

Nuance:
無下にする m
扶養料|ふようりょう|alimony; spousal support; maintenance
新芽|しんめ|Sprout / Bud / Shoot
不朽|ふきゅう|everlasting; immortal; eternal; enduring; undying; imperishable
底意地|そこいじ|latent disposition, inner feelings
生剥|なまはげ|namahage, folklore demon of the Oga Peninsula (people dress up as them on New Ye
身悶える|み もだえる|to writhe (in agony)
恥さらし|はじさらし|disgrace, shame
旧道|きゅうどう|old road
清水|しみず|Spring water / clean water
台詞|だいし|Line / Part / Speech
週明け|しゅうあけ|Beginning of the week / new week opening
結束|けっそく|Solidarity / Cohesion / Bond (say, football teams)
不感症|ふかんしょう|Insensitivity; numbness; (medical) anesthesia; (figurative) unresponsiveness.Nua
打って付けの|うって つけの|the very [the most suitable] 《thing, person for something》 / Most suitable / ぴった
観念|かんねん|１）Idea / Notion / Conception 2) Resignation / Acceptance (that have been caught!
立案者|りつあんしゃ|Planner
血筋|ちすじ|Lineage (a special family etc)
詰め掛ける|めつめかける|To crowd (a house, place)
決まり事|まりきまりごと|Established routine / Standing operating procedure
遠征|えんせい|Away series (cricket) / campaign / expedition
いやに|いやに|Awfully
手記|しゅき|Note / Memorandum
述懐|じゅっかい|Recollection
私は老婆心からいっているんだ。|わたしは ろうばしんからいっているんだ|I'm saying this out of kindness.
かりそめにも|かりそめにも|Even as a joke / Even in the slighest degree
真っ新|っまっさら|brand new; fresh
大山鳴動|たいざんめいどう|A big fuss over nothing
吹き返す|きふきかえす|to blow in the opposite direction; to revive
がましい|がましい|look like, sound like, savor of, smack of - Suffix, I-adjective (keiyoushi)
ご免あそばせ|ご めんあそばせ|is an archaic, overly polite phrase meaning "please excuse me," "pardon my intru
湖水|こすい|Lake / Pond / 湖
干す|ほす|Hang out to dry / air
応急（の）|おうきゅうの|First-aid / emergency / temporary
皇居|こうきょ|Imperial Palace
お門違い|お かどちがい|Barking up the wrong tree / Calling at the wrong house (trying to impress acting
銃刀法|じゅうとうほう|Swords and firearm control law
かっぱらう|かっぱらう|To steal (a horse and escape!)
異分子|いぶんし|Outsider
たゆまぬ|たゆまぬ|1. steady; sound; trustworthy2. assiduous; untiring; diligent
天真爛漫|てんしんらんまん|Innocent and artless; simple-hearted; unaffectedNuances:This
 four-character idi
非凡|ひぼん|extraordinary; uncommon; remarkable; unusual; rare; prodigious
脱字|だつじ|Omitted word or character (ie spelling mistakes)
漫然|まんぜん|aimless; rambling; desultory
墨付き|すみつき|certificate; certified document; authorization; authorisation(the) thumbs up; se
動詞活用|どうし かつよう|Verb conjugation
蒟蒻|こんにゃく|konnyaku jelly, konjac jelly, devil's tongue jelly
神経系|しんけいけい|nervous system
黙示録|もくしろく|Apocalypse; revelationNuances:This
 term primarily refers to the biblical Book o
フルーレ||foil (fencing)
贔屓の引き倒し|ひいきの ひき たおし|Translation:贔屓の引き倒し (ひいきのひきたおし, hiiki no hikitaoshi) – Favoritism that backfires
非難|ひなん|accusation
戸棚|とだな|Cupboard
図書|としょ|Books
つるつる|つるつる|smooth, slippery (NOT すべすべ)
破綻する|はたんする|To fail / go bankrupt (not 倒産)
愛読書|あいどくしょ|Ones favourite book
規則正しい|きそくただしい|Regular / Well regulated / Systematic
是正措置|ぜせいそち|Corrective action / rectification
転がる　(again)|ころがる|To roll (a boulder)
誇大広告|こだいこうこく|"exaggerated advertising," "hyperbolic advertisement," "overstated promotion."Nu
暗唱|あんしょう|recitation; reciting from memory
質点|しつてん|Point mass; particle (in physics)Nuances:This
 physics term refers to the theore
目移り|めうつり|"Being distracted by many choices," or "having one’s attention easily shift (esp
順応|じゅんのう|adaptation; accommodation; conforming; adjustment
類語|るいご|"synonym," "related word," or "term with similar meaning."Nuances:This term refe
雑炊|ぞうすい|(See おじや) rice gruel containing vegetables, fish, etc., and seasoned with miso o
食指|しょくし|index finger, forefinger / 人差し指
慶事|けいじ|happy event, auspicious event, matter for congratulation
恋バナ|こい|talking about one's love interests, girls' talk, gossiping
敷き物|しき もの|1. carpet, rug, matting, carpeting2. mat, mattress, quilt etc. spread out on the
ずらり|ずらり|Line up neatly
撤回する|てっかいする|To withdraw something / take it back (the 赤札 in 花より男子)
巻き取り|きまきとり|Winding / Rolled / Taking up (the winding cable or usb pen for example, to stop 
彼は飲むなどというものではない。|かれは のむなどというものではない|He drinks so much.
家系|かけい|Family line / Lineage
祖母は入れ歯を新しくした|そぼは れいればを あたらしくした|My grandmother replaced her false teeth
踏ん張る|んふんばる|To hold out / To keep ones footing
法衣|ほうえ|Priests robe
愚の骨頂|のぐのこっちょう|The height of folly / Sheer stupidity
うようよ|うようよ|In swarms / Crawling with (ladybugs! FF14)
伸し上がる|しのしあがる|to stand on tiptoe; to rise in the world; to become arrogant
容貌がのっぺりと間延びする|ようぼうがのっぺりと まのびする|of one's facial expression, to become lax
養蜂|ようほう|Beekeeping
盥回し|たらいまわし|Passing around a washbasin; shifting responsibilityNuances:This
 term literally 
嫡子|ちゃくし|legitimate child
真打|しんうち|1. main performer, star performer, headliner2. rakugo storyteller of the highest
述べ立てる|のべ たてる|to relate at great length, to dwell eloquently (on)
通知バー|つうち|status bar
狼狽|ろうばい|confusion, dismay, consternation, panic
出汁|だし|1. dashi (Japanese soup stock made from fish and kelp)2. pretext, excuse, preten
舫う|もやう|to moor (a boat)
有り金|あり がね|money on hand
皇帝|こうてい|Emperor
自機|じき|Player character or vehicle (in video games)
挫折する|ざせつする|Frustrated / Setback / Discouragement
賜物|たまもの|Blessing / Godsend
唐突|とうとつ|Abrupt / Sudden
呼称|こしょう|Naming / Giving a name / Designation
提唱|ていしょう|Advocacy / Proposal
惨状|さんじょう|Disastrous scene / Terrible spectacle
広辞苑|こうじえん|Koujien (famous Japanese dictionary)
丸見え|まるみえ|Completely visible / full view / plain sight
贖い|あがない|"atonement," "redemption," or "expiation"—compensating for a wrong or sin throug
発案|はつあん|idea; suggestion; initiation of a proposal
ほっそり|ほっそり|Being slim / Slender
仄々|ほのぼの|Warm and gentle; Heartwarming; Peaceful and calmNuance:仄々 is an onomatopoeic and
ぺちゃんこ|ぺちゃんこ|1. crushed flat, flattened, squashed, flat-topped2. flat-chested girl3. sound of
親御|おやご|another's parent, another's parents
根も葉もない|ねも はもない|unfounded (e.g. rumour), groundless, baseless, completely untrue
楊枝|ようじ|toothpick, skewer for eating moist wagashi (steel, bamboo, etc.)
