正鵠|せいこく|bull's-eye; mark; point
傘に乗る|かさに のる|To be carried away (lit: ride an umbrella)
所以|ゆえん|reason; way of doing; cause; grounds
物心ついて以来|ものごころついて いらい|for as long as one can remember
靴脱ぎ|くつぬぎ|place where one can remove one's shoes before entering a house
脱ドル化|だつ か|de-dollarization, replacing the US dollar as an exchange currency
印鑑|いんかん|Personal seal (not 判子)
置き去り|きおきざり|Desert / Abandon / Leave
形成逆転|けいせい ぎゃくてん|the table is turned / situation reverses itself / the shoe is on the other foot
踏破|とうは|Travelling on foot / Travelling all over
白昼夢|はくちゅうむ|Daydream / Waking dream
死活|しかつ|Life and death. 死活問題　ー　A matter of life and death
下水|げすい|Sewerage / Drainage
幹事|かんじ|Organiser of a party
軍縮は必ずや平和に寄与する。|ぐんしゅくは かならずや へいわに きよする|Disarmament is sure to make for peace
挙って|こぞって|All together
消え入る|えきえいる|To vanish
ぴくり|ぴくり|With a twitch (eg an eyebrow) / With a Flutter
歯痒い|はがゆい|Be irritating
教条|きょうじょう|Dogma / Tenet
肉薄した戦闘|にくはくした せんとう|hand-to-hand fighting
色目|いろめ|amorous glance; leer; ogle
三三五五|さんさんごご|in groups of twos and threes, in small groups
署名捺印|しょめいなついん|sign and seal
拾得者|しゅうとくしゃ|The finder (of something dropped)
雪原|せつげん|Snow field
分が悪い|ぶんが わるい|At disadvantage / Having no edge
鼓す|こす|To pluck up courage / to beat a drum (to encourage?)
くだんの|くだんの|the aforementioned; the said; (man, incident, etc.) in question; the above-menti
狂犬病|きょうけんびょう|rabies, hydrophobia
これが建物の側面の写真です。|これが たてものの そくめんの しゃしんです|This is a side-view photograph of the building.
感無量|かんむりょう|Deep feeling / Filled with emotion
詰み|つみ|Checkmate
引責|いんせき|taking responsibility
典型|てんけい|type, pattern, model, epitome, exemplar, archetype, perfect example
蝋人形|ろうにんぎょう|Waxwork / Wax model
絨毯|じゅうたん|Carpet
迫力|はくりょく|Force / Intensity / Strength
考察|こうさつ|Consider / Examine / Deliberate
最後列|さいこうれつ|Very back rearmost row
生前|せいぜん|During ones lifetime
彼女の表現はかなり露骨です|かのじょの ひょうげんはかなり ろこつです|Shes very outspoken in her manner
ふんだん|ふんだん|Plentiful / Abundant
鯖を読む|さばを よむ|(exp) to manipulate figures to ones advantage /&nbsp;鯖 is literally "mackerel"
世間的|せけんてき|public (attention, recognition, etc.); social (standing, acceptance, etc.); worl
科目|かもく|Subject / Course
木こり|きこり|Lumberjack / Logger
施行|しこう|Enforcement
水産業|すいさんぎょう|Fishery (the industry of)
実装する|じっそうする|Implementation / Mounting / Insertion (of equipment) -- like routers!
手放す|てばなす|To release / To relinquish
大公|たいこう|Archduke
破れかぶれ|やぶれかぶれ|Desperation / Self abandonment
なんなら|なんなら|If you are so inclined / If it suits you / If you like
うさ耳|うさ みみ|bunny-ears headband
反義語|はんぎご|antonym
厚紙|あつがみ|Cardboard
寒暖計 / 体温計|かんだんけい たいおんけい|Thermometer
圧縮|あっしゅく|Compression / Condensation
目の下の隈|のめのしたの くま|Bags under ones eyes (ie when tired)
鸚鵡|おうむ|Parrot (normally written in Katakana)
杜撰|ずさん|Slipshod / sloppy / loose
安全保障理事会|あんぜんほしょうりじかい|UN Security council
販売促進|はんばいそくしん|Sales promotion
顕微鏡|けんびきょう|Microscope
国葬|こくそう|state funeral; national funeral
叩き上げる|きたたきあげる|to work one's way up
