空白|kòngbái|Blank space
无法形容|wúfǎxíngróng|Indescribable / Unspeakable (because its so great?)
人力|rénli|Manpower
瞧不起|qiáo bù qǐ|To look down upon / to hold in contempt / disdain
决非|juéfēi|definitely not; absolutely notNuances:A strong, formal negation emphasizing that something is unquestionably not the case.Example Sentences:他的成功决非偶然，而是长期努力的结果。(His success is definitely not accidental
打字机|dǎzìjī|Typewriter
电动|diàndòng|electric powered
双手|shuāngshǒu|Pair of hands
出名|chūmíng|well known for something / to become well known / to make ones mark
毛病|máobìng|Fault / Defect / Shortcoming
叫座|jiàozuò|Draw a large audience
原本|yuánběn|Originally
着凉|zháoliáng|To catch a cold
风口|fēngkǒu|Air vent / drafty place / wind gap
除以|chúyǐ|be divided by
增广|zēngguǎng|To widen
见闻|jiànwén|Knowledge / what one sees and hears
得知|dézhī|To find out / to learn of
改装|gǎizhuāng|To remodel
倒车|dàochē|To reverse a car
减速|jiǎnsù|To slow down
超车|chāochē|to overtake
时速|shísù|speed per hour
限速|xiànsù|Speed limit
很烦人|hěn fànrén|annoyed at someone!
~手||Someone skilled at something
开头|kāitóu|Beginning
会话练习|huìhuàliànxí|Conversation practice
极力|jílì|to make a supreme effort / at all costs
惊喜|jīngxǐ|Pleasantly suprised
自从|zìcóng|Ever since / since (at time)
不着|bùzháo|no need / need not
表现|biǎoxiàn|to show / to display / performance (at work etc)
表扬|biǎoyáng|To praise / To commend
离不开|lí bu kāi|Inseparable / inevitably linked to
听写|tīngxiě|Dictation / to dictate
复课|fùkè|To resume classes
眼力|yǎnlì|Eyesight / strength of vision / also "the ability to make discerning judgments"
爱戴|àidài|to love and respect
读音|dúyīn|pronunciation (how you read a character)
简化字|jiǎnhuàzì|simplified character
简化|jiǎnhuà|To simplify
繁体字|fántǐzi|traditional characters
现有|xiànyǒu|Currently existing / currently available
气球|qìqiú|Balloon
彩色|cǎisè|Colour / Multi-colored
拿不到|ná bù dào|unable to reach something
床单|chuángdān|bed sheet
离题|lítí|to stray from the subject / to digress
简直|jiǎnzhí|Simply / Practically
交易|jiāoyì|Transaction; trade; deal; business exchange.Nuance交易 is a formal noun and verb that refers to the exchange of goods, services, or money between parties. It is a neutral term used across commercial, fi
告吹|gàochuī|To fizzle out / To come to nothing
早晨|zǎochén|Early morning
赛跑|sàipǎo|Running race
天花板|tiānhuābǎn|Ceiling
留神|liúshén|To be careful / To take care
碰头|pèngtóu|To bump head, as well as "to meet, to hold a meeting"
排球|páiqiú|Volleyball
设定|shèdìng|To set / To set up / To install / Setting / Preferences
之外|zhīwài|Outside / Excluding
渴望|kěwàng|To long for / To thirst for / to be itching for
(当)乃爸|nǎiba|Stay at home dad
一问三不知|yí wèn sān bù zhī|used to describe someone who knows nothing
可好了|kě hǎo le|Very good!
手艺|shǒuyì|Skill / Craftsmanship
不留你了|bù liú nǐ le|Not to keep you (lit not asking you to stay, letting you leave)
放鞭炮|fàng biānpào|to set off a firecracker
除夕|chúxī|Chinese New Years Eve
牙医|yáyī|Dentist
相等|xiāngděng|Equal / Equivalent
校对|jiàoduì|To proofread
丰年|fēngnián|Prosperous year / year with bumper harvest
时间表|shíjiānbiǎo|Schedule / Timetable
爱好者|àihàozhě|enthusiast / fan / lover (of art, sports etc)
英明|yīngmíng|Wise / Brilliant
误解|wùjiě|To misunderstand / To misread
照亮|zhàoliàng|To illuminate / To light up
知心|zhīxīn|Caring / Intimate
留心|liúxīn|To be careful / To pay attention to (radio)
成人|chéngrén|Adult
欢喜|huānxǐ|Happy / Joyous / Delighted
少见|shǎojiàn|Rare / Not familiar / Hard to see / Rarely experience
经商|jīngshāng|To trade / in business / to carry out commercial activities
一向是|yīxiàngshi|Always (previously) / A period of time in the recent past
手头|shǒutóu|In hand (eg cash)
原处|yuánchù|Original spot / Previous place / Where it was before
动听|dòngtīng|Pleasant to listen to
开关|kāiguān|Power switch
联想|liánxiǎng|To associate (together) / mental association
本地人|běndìrén|Native person (of a country)
通行|tōngxíng|To go through / a passage through
劳驾|láojià|Excuse me
市中心|shìzhōngxīn|City center / Downtown
全票|quánpiào|Full priced ticket
半票|bànpiào|Half price ticket / Half fare
出卖|chūmài|To offer for sale / To sell / To sell out or betray someone
跟不上|gēnbushàng|Not able to keep up with
好运|hǎoyùn|Good luck
着手|zhuóshǒu|To start out on a task / To set out
万一|wànyī|Just in case / If by any chance
求爱|qiúài|To woo (a girl)
时装|shízhuāng|the latest fashion in clothes / fashionable
成名|chéngmíng|To become famous / To make ones name
要么|yàome|Or / Either one or the other
剩下|shèngxià|Left over / To remain
午觉|wǔjiào|Afternoon nap / Siesta
指望|zhǐwàng|To hope for something / to count on something
刮脸|guāliǎn|To shave ones face
步行|bùxíng|to go on foot / to walk
立志|lìzhì|To set one's mind (on a goal); to be determined; to aspire.Nuance立志 is a formal verb that describes the act of making a firm resolution or setting a life goal, often with a sense of moral purpose or l
河流|héliú|River
装备|zhuāngbèi|Equipment / To equip / To outfit
试图|shìtú|To attempt / To try
和好|héhǎo|To become reconciled
动力|dòngli|power / motion / force / incentive?
总和|zǒnghé|sum total; aggregateNuances:A mathematical or statistical term for the result of adding all parts together.Example Sentences:本月开支的总和超过了预算。(The total expenses this month exceeded the budget.)团队得分的总和决定了
前任|qiánrèn|Predecessor / Former / Ex-
首相|shǒuxiàng|Prime Minister (of Japan or UK etc)
种子选手|zhǒng zi xuǎn shǒu|Seeded player
优先|yōuxiān|Priority
奖品|jiǎngpǐn|Award / Prize
诚实|chéngshí|Honest
退休金|tuìxiūjīn|Retirement pay / Pension
领取|lǐngqǔ|To receive / To draw (pension!)
万圣洁|wànshèngjié|Halloween
派对|pàiduì|Party
炫耀|xuànyào|To show off / To flaunt
化装派对|huàzhuāngpàiduì|Fancy dress party
闪卡|shǎn kǎ|Flashcards
购物车|gòuwùchē|Shopping cart
熨斗|yùndǒu|An iron (to iron clothes)
电脑程序|diànnǎo chéngxù|Computer programming
全职|quánzhí|Full time (job)
履历表|lǚ lì biǎo|Resume / CV
猎头|liètóu|Head hunting (recruitment)
少于|shǎoyú|Under / Less than
形状|xíngzhuàng|Shape (of an object etc)
矩形|jǔxíng|Rectangle
用作|yòngzuò|To use as (this room as an office etc)
吞|tūn|To swallow / To take (ATM stealing my card!!)
欧洲|ōuzhōu|Europe
番茄酱|fānqiéjiàng|Ketchup / Tomato sauce
怪兽|guàishòu|Monster
苍蝇|cāngyíng|House fly
害虫|hàichóng|Pests / Injurious insects
上半部分||The first half (of a match etc)
侦探|zhēntàn|Detective
嫌疑犯|xiányífàn|A suspect (of a crime)
跟踪|gēnzōng|To follow somebodys tracks / to tail / to shadow
测试|cèshì|Measure and test / Trial / Test performance of
性能|xìngnéng|Performance
轮胎|lúntāi|Tire (for a car)
特产|tèchǎn|Special local product / omiyage!
不行的是||Unfortunately ...
总公司|zǒnggōngsī|Head office
惨|cǎn|Miserable
口是心非|kǒushì xīnfēi|"say one thing and mean another" - used to describe someones statement is not what he thinks
抽屉|chōuti|Drawer (for clothes, thing you pull out)
通风|tōngfēng|To ventilate
保姆|bǎomǔ|Housekeeper
雇主|gùzhǔ|Employer
洗碗机|xǐwǎnjī|Dishwasher
烤箱|kǎoxiāng|Oven
好好先生|hǎohǎo xiānsheng|Used to describe someone who tries not to offend anybody, can be bad meaning
就拿。。|jiù ná|Means "for example", ie "taking X for example"
总部|zǒngbù|Headquarters
商务舱|shāngwùcāng|Business class
不得不|bùdebù|Have to
间接|jiànjiē|Indirectly
苗条|miáotiao|Slim (body!)
胡说八道|húshuōbādao|To talk nonsense
游客|yóukè|Tourist
歉收|qiànshōu|Crop failure / Poor harvest
短缺|duǎnquē|Shortage
简历|jiǎnli|Resume / CV (again)
留下|liúxià|To leave behind / To stay behind
眼光|yǎnguāng|Gaze / Foresight / Vision / Way of looking at things
稍微|shāowēi|A little bit
警方|jǐngfāng|Police
逃犯|táofàn|Escaped criminal
闪|shǎn|To flash / spark / lightning
落日|luòrì|Setting sun
剧烈|jùliè|Intense / Violent / Fierce
查获|cháhuò|To investigate and capture (a criminal) / hunt down and arrest
磁带|cídài|Magnetic tape
积雪|jīxuě|Accumulation of snow
魔术|móshù|Magic
载入|zǎirù|Loading ...
冒险家|màoxiǎnjiā|Adventurer
剑|jiàn|Sword
拳头|quántou|Fist
法术|fǎshù|Spells / Magic
吹牛|chuīniú|"To brag; to boast; to talk big" (exaggerating one's abilities or achievements to impress others).Nuances:吹牛 (chuī niú, literally "blow up a cow") is a colloquial and slightly humorous term for boastf
沙漠|shāmò|Desert
抢劫|qiǎngjié|To rob / Loot / Mug
良心|liángxīn|Conscience
版本|bǎnběn|Version / Edition / Release
幸存者|xìngcúnzhě|Survivor
驾照|jiàzhào|Drivers license
书面语|shūmiànyǔ|Written language
