讨好|tǎo//hǎo|VERB 1&#9;ingratiate oneself with; fawn on; toady to; curry favour with &#35752;&#22909;&#39046;&#23548; T&#462;oh&#462;o l&#464;ngd&#462;o curry favour with the leadership &#20182;&#24819;&#35752;&#2
护送|hùsòng|VERB escort; convoy &#25252;&#36865;&#25937;&#28798;&#29289;&#36164; h&#249;s&#242;ng ji&#249;z&#257;i w&#249;z&#299; convoy vehicles bringing relief to a disaster-stricken area &#25252;&#36865;&#2026
迁怒|qiānnù|To take out one's anger (on someone else); to vent one's frustration on an innocent party.Nuance迁怒 is a verb that describes the act of redirecting anger or frustration from its original source onto a 
眼巴巴|yǎnbābā|To gaze eagerly or anxiously; to look on helplessly; to wait with great anticipation.Nuance眼巴巴 is a vivid, colloquial adverb that describes a state of watching or waiting with intense focus, often tin
深切|shēnqiè|ADJECTIVE 1&#9;heartfelt; deep; profound &#28145;&#20999;&#20851;&#24576; sh&#275;nqi&#232; gu&#257;nhu&#225;i be deeply concerned about; show profound concern for &#28145;&#20999;&#24576;&#24565; sh&
确切|quèqiè|ADJECTIVE 1&#9;definite; exact; precise &#29992;&#35789;&#30830;&#20999; y&#242;ng c&#237; qu&#232;qi&#232; precise wording &#30830;&#20999;&#30340;&#35299;&#37322; qu&#232;qi&#232; de ji&#283;sh&#236
耳语|ěryǔ|VERB whisper in sb.'s ear; whisper &#22823;&#22827;&#30475;&#20102;&#30475;&#25105;&#30340;&#20260;&#21475;, &#36319;&#25252;&#22763;&#32819;&#35821;&#20102;&#20960;&#21477;&#12290; d&#224;ifu k&#224;
导线|dǎoxiàn|NOUN ELECTRONICS lead; (conducting) wire &#29627;&#29827;&#32420;&#32500;&#23548;&#32447; b&#333;li xi&#257;nw&#233;i d&#462;oxi&#224;n fibreglass wire
酬劳|chóuláo|NOUN repayment; reward; recompense &#33258;&#24895;&#24110;&#24537;, &#19981;&#35201;&#20219;&#20309;&#37228;&#21171; z&#236;yu&#224;n b&#257;ngm&#225;ng, b&#249;y&#224;o r&#232;nh&#233; ch&#243;ul&#2
被迫|bèipò|VERB compelled; forced; constrained &#34987;&#36843;&#25215;&#35748;&#38169;&#35823; B&#232;ip&#242; ch&#233;ngr&#232;n cu&#242;w&#249; be forced to admit one&#8217;s mistakes &#25932;&#20154;&#34987;
同志|tóngzhì|NOUN 1&#9;comrade &#33268;&#20197;&#21516;&#24535;&#30340;&#25964;&#31036; Zh&#236;y&#464; t&#243;ngzh&#236; de j&#236;ngl&#464; with comradely greetings &#21516;&#24535;&#20204;&#36763;&#33510;&#2010
锌|xīn|NOUN CHEMISTRY zinc (Zn)
来历|láilì|origin; background; historyNuances:Refers to the source, history, or background of a person, object, or event, often implying the need to verify legitimacy.Example Sentences:这件古董来历不明，需谨慎鉴定。(This antiq
分清|fēn//qīng|VERB distinguish; draw a clear distinction between; draw a clear line of demarcation between &#20998;&#28165;&#26159;&#38750; f&#275;nq&#299;ngsh&#236;f&#275;i distinguish right from wrong &#20998;&#2
涉及|shèjí|To involve, to relate to, to concernNuance涉及 is used when a matter, topic, or issue is connected to or touches upon something else. It often appears in more formal or written contexts, particularly in
假如|jiǎrú|CONJUNCTION if; supposing; in case &#20551;&#22914;&#21457;&#29983;&#28779;&#28798; ji&#462;r&#250; f&#257;sh&#275;ng hu&#466;z&#257;i in case of fire &#20551;&#22914;&#26377;&#31354;, &#25105;&#19968
雄伟|xióngwěi|ADJECTIVE 1&#9;grand; imposing &#38596;&#20255;&#22766;&#20029; xi&#243;ngw&#283;izhu&#224;ngl&#236; grand; magnificent; sublime &#38596;&#20255;&#30340;&#22825;&#23433;&#38376; xi&#243;ngw&#283;i de 
创建|chuàngjiàn|VERB found; establish &#21019;&#24314;&#19968;&#20010;&#25919;&#20826; chu&#224;ngji&#224;n y&#299; ge zh&#232;ngd&#462;ng found a (political) party &#36825;&#25152;&#23398;&#26657;&#26159;&#19968;&#2
柔和|róuhé|Soft; gentle; mild (in texture, light, sound, or temperament).Nuances:"柔和" describes something pleasantly soothing without harshness—like light, colors, voices, or personalities. It implies a delibera
审阅|shěnyuè|Review; examine; read over carefullyNuance: 审阅 refers to the careful and detailed examination of documents, reports, or materials, often for the purpose of approval, correction, or evaluation. It carr
心思|xīnsi|thoughts; intention; state of mindNuances:Refers to one’s inner feelings, plans, or preoccupations, often with emotional nuance.Example Sentences:我猜不透他的心思，他总是不说话。(I can’t figure out his thoughts—he al
选定|xuǎn//dìng|VERB decide on; fix &#36873;&#23450;&#26085;&#26399; xu&#462;nd&#236;ng r&#236;q&#299; fix a date
