褞袍|どてら|padded kimono
メス||1. scalpel, surgical knife2. 解剖刀, 手術刀, 手术刀
鞍替え|くらがえ|Changing jobs/fields; switching roles; making a career shiftNuance:This
 term or
すっきり|すっきり|Clear cut / straight forward
独房|どくぼう|Cell (prison cell)
手当て|てあて|Medical Treatment (not like 治療)
容体|ようだい|Condition (of a patient？）
採択|さいたく|To adopt / Select / Choose
線量|せんりょう|Dose (of radiation etc)
一概に|いちがいに|Unconditionally / as a rule/ Necessarily
踏み締める|みふみしめる|踏み締める（ふみしめる）means "to tread firmly," 
"to stamp down," or "to step with delibera
我侭|わがまま|Kanji for わがまま
恭しい|うやうやしい|Respectful / reverent
不作法|ぶさほう|不作法 (ぶさほう) means "bad manners," "rudeness," or "lack of etiquette." It describes
燻製|くんせい|&nbsp;(1) smoked food; smoking (fish, meat, etc.) (2) smoked
間延び|まのび|Slow / Stupid
棟梁|とうりょう|Master carpenter; leader of a group (esp. craftsmen); by extension, a leader or 
防煙|ぼうえん|protection from smoke; anti-smoke
満ち足りる|ちみちたりる|to be content, to have enough, to be happy, to be sufficient, to be satisfied
都電|とでん|metropolitan tramway, tram operated by the metropolitan government (esp. Tokyo)
破戒|はかい|breaking a commandment (usually religious), offense against the Buddhist command
言霊信仰|ことだま しんこう|faith in the power of language, belief that reality is affected by the spoken wo
噛み応え|かみ ごたえ|chewy texture
スイカ割り|わり|watermelon splitting (game)
裁定|さいてい|decision, ruling, award, arbitration
酵母|こうぼ|yeast
助走|じょそう|"run-up" or "approach",
 referring to the preparatory steps taken before executi
寄宿舎|きしゅくしゃ|Boarding School / Dormitory
蔵相|ぞうしょう|Minister of finance
挙げられる|あげられる|To be captured (data) / To be caught / To be arrested
段取り|だんどり|Plan / Program / Step
水筒|すいとう|Water bottle / Flask
内幕|うちまく|Lowdown / Inside curtain / inside information / inner workings / undisclosed cir
忽然と|こつぜんと|Sudden / Unexpected
土偶|どぐう|Earthen (clay) figure
相互牽制体制の整備|そうご けんせい たいせいの せいび|Development of Mutual Check-and-Balance System
一目惚れ|ひとめぼれ|love at first sight; being taken with someone at the first meeting
抜け落ちる|ぬけ おちる|1. to come out (e.g. hair); to fall out; to collapse (e.g. building, floor)2. to
羅針盤|らしんばん|compass
雑観|ざっかん|article containing thoughts and observations on a topic, op-ed article, opinion 
人いきれ|ひといきれ|body heat from several people in close quarters, stuffy air
練度|れんど|skill, proficiency, experience, dexterity
反射作用|はんしゃさよう|reflex action
精緻化|せいちか|refinement, elaboration
靭帯|じんたい|ligament (Anatomical term)
切創|せっそう|cut wound, incised wound, knife wound
山寺|やまでら|山の中に有る寺
確立|かくりつ|Establishment (iknow)
線審|せんしん|Word for &quot;linesman&quot; - though its no longer used in practice as they sa
据える|すえる|"to place firmly," "to install," or "to settle (in a position)."Nuance:This
 ver
取り逃がす|りとりにがす|To miss capturing / to fail to catch / to let slip
張り詰めた|りはりつめた|a state of being "tense," "taut," or "highly strained"—whether physically (e.g.,
創始者|そうししゃ|Originator (Linus for Linux!)
併せ持つ|あわせ もつ|To own (something) as well
不慮|ふりょ|Unexpected (accident/misfortune); unforeseenNuances:This
 term describes inciden
赴任|ふにん|"assuming a new post" or "being assigned to a new position/location," typically 
根城|ねじろ|Stronghold / Headquarters
～がらみ|がらみ|About / Concerning to / Related to (suffic, ie 宗教がらみ)
歩哨|ほしょう|A sentry (on patrol etc)
再起不能|さいきふのう|being beyond recovery; having no hope of recovery
陥れる|おとしいれる|to trap (into a difficult situation); to put (in a fix); to throw (e.g. into tur
伝手|つて|means of making contact; intermediary; go-between; (2) (uk) connections; influen
あるがまま|あるがまま|in truth; as it is; as you are; in practice / fact / frankly
怪我の功名|けがの こうみょう|fortunate error; lucky break; fluke
ツンデレ||normally being cold but at some prompt suddenly becoming lovestruck / hot-cold p
抱きよせる|だきよせる|to embrace
気の利く|きの きく|気の利く（きのきく）means "considerate," 
"attentive," or "quick to notice needs." It desc
原級に留める|げんきゅうに とどめる|to keep (a student) back (to repeat a grade)
気にも留めない|きにも とめない|気にも留めない（きにもとめない）means "to not pay any 
attention," "to disregard completely," or
震央|しんおう|epicentre (of an earthquake), epicenter
上滑り|うわすべり|1. superficial, shallow2. frivolous, careless, thoughtless3. sliding along the s
疣|いぼ|wart
火打石|ひうちいし|flint, firestone
生ゴミ|なま|"food waste," "kitchen scraps," or "wet trash"—organic refuse from food preparat
磔|はりつけ|Crucification
表裏|ひょうり|2 sides / inside and outside
表紙|ひょうし|Cover (of a book, etc)
ひそひそ|ひそひそ|Whisperingly
繊維質|せんいしつ|Dietary fiber
通りすがり|とおりすがり|Passing / That happen to pass by
別状|べつじょう|Serious condition (after an injury) / Something unusual&nbsp;
てくてく|てくてく|Trudging along; walking steadily (often wearily)Nuances:This
 onomatopoeic term 
歯止め|はどめ|Brake / Drag
絞め殺す|めしめころす|Also to strangle to death1
出来栄え|できばえ|&nbsp;(1) result; effect; performance; success; (2) workmanship; execution; shap
腰巻|こしまき|loincloth; waistcloth; kimono underskirt
滑落|かつらく|slipping down; avalanche
チャラ||チャラ (often written in katakana) means "settling a debt," "canceling what's owed,
鼻を明かす|はなを あかす|To outwit; to outsmart; to foil; to get the better of someone.
Nuance: An idioma
取って返す|ってとってかえす|to return
べた付く|べた つく|to be sticky; (2) to be close together
即物的|そくぶつてき|practical; matter-of-fact; realistic; utilitarian; pragmatic
霊験あらたか|れいけんあらたか|miraculous, wonder-working, magical
元栓|もとせん|stopcock (gas, water)
鼻につく|はなにつく|1. to be cloying, to be sick and tired with, to be disgusted with, to get up som
遅れを取る|おくれを とる|to fall behind, to lag behind
尻に火がつく|しりに ひがつく|to be pressed for time, to be pressed by urgent business, to have one's pants on
荷物番|にもつばん|keeping an eye on people's belongings (so they don't get stolen)
良心的|りょうしんてき|upright, fair, honest
象使い|ぞうつかい|elephant trainer
薄気味悪い|うすきみわるい|Weird / Eerie / Uncanny
非常にうまい洒落だったので、満場爆笑した。|ひじょうにうまい しゃらくだったので まんじょう ばくしょうした|It was such a nice joke that everybody burst out laughing
手掛ける|てがける|To handle / To manage / To look after
ギザギザ||Jagged / Notched / Milled (the fuzzy white line when not using antialiasing)
ぼおっと|ぼおっと|Being stupefied / doing nothing / dazedly
錯乱|さくらん|Confusion / Derangement
猫背|ねこぜ|Bent back / Stoop
後手|ごて|Losing the intiative (in Go) / rear guard&nbsp;
肋|あばら|Rib / Rib cage
金を無心する|きんを むしんする|to ask for money
昏睡|こんすい|Coma; unconsciousnessNuances:This
 medical term describes a state of deep, prolo
身を落とす|みを おとす|to descend; to stoop; to degrade oneself; to be reduced to
懲り懲り|りこりごり|懲り懲り（こりごり）means "to be thoroughly sick 
of," "to have had enough (of a bad exper
熱り|ほとぼり|remaining heat; (n) (2) residual excitement; (n) (3) lingering enthusiasm
腐るほど|くさるほど|more than one can possibly use; countless (e.g. examples); (money) to burn; roll
御意|ぎょい|1. your will, your pleasure, your wish2. certainly, as you say, you are quite ri
非を諭す|ひを さとす|"To gently correct someone's wrong," or "to reason with someone about their faul
もらい事故|もらい じこ|traffic accident for which the other side is at fault
横から口を挟む|よこから くちを はさむ|to butt into a conversation (from someone uninvolved)
引っさげる|ひっさげる|1. to carry in one's hand, to have in one's hand, to take with one2. to lead (e.
