皇后|こうごう|天皇の配偶者である女性の称号です。皇室において最も高い地位の女性を指します。
皇室|こうしつ|「皇室（こうしつ）」は、天皇とその一族を含む日本の皇室全体を指す名詞です。日本の象徴としての天皇一家を指し、公的な場やニュースで頻繁に使われる言葉です。敬意を込めて使われます。
皇居|こうきょ|「皇居」は、上記の意味を持つ日本語の語彙です。この言葉は、日常会話から書き言葉まで幅広い文脈で使われます。
皇帝|こうてい|「皇帝」は、上記の意味を持つ日本語の語彙です。この言葉は、日常会話から書き言葉まで幅広い文脈で使われます。
皮下脂肪|ひかしぼう|
皮算用|かわざんよう|「皮算用」は、まだ手に入っていないものを見越して、楽観的に計画を立てることを指す慣用句です。「捕らぬ狸の皮算用」という有名なことわざに由来し、まだ捕まえていない狸の皮を売る計画を立てるという意味から、実現の確証がないのに期待して計画を立てる愚かさを表します。口語で、冗談めかして使われることが多いです。
皮肉（な）|ひにく|「皮肉」は、相手を間接的に批判したり、反対の意味を込めて言う表現です。また、思い通りにならない不運な状況を指すこともあります。
皮膚|ひふ|人間や動物の体の外側を覆う組織を指します。医学や健康の話題でよく使われる正式な用語で、日常会話では「肌」の方がよく使われます。
皮膚をかく|ひふ|かゆみなどで自分の皮膚を爪でこする動作を指します。日常的な動作の一つです。
皮膚病|ひふびょう|「皮膚病」は、皮膚に現れる病気の総称です。湿疹やかゆみ、発疹などの症状を伴うさまざまな疾患を指します。医療の分野で使われる一般的な用語です。
皺|しわ|布地や紙の折り目、または皮膚の加齢による溝。物理的な「しわ」の他に、「皺が寄る」のように比喩的にも使われる。
皿回し|さらまわ|「皿回し」は、棒の先に皿を乗せて回す曲芸のことです。サーカスや演芸の定番技で、見た目の華やかさと技術の高さが特徴です。
盃|さかずき|「盃」は、日本酒を飲むための小さな杯を指します。結婚式の三三九度の盃や、親睦を深める盃事など、儀礼的な場面で使われることが多いです。単なる飲み具ではなく、人間関係の証としての意味合いがあります。
盆|ぼん|「盆」は、食べ物や物を載せる平らな容器を指します。また、「お盆」は先祖の霊を迎える日本の伝統行事で、この二つの意味があります。
盆休み|ぼんやす|お盆の時期（8月13日〜16日頃）に取る休暇のことです。日本の伝統行事であるお盆に合わせて、会社や学校が休みになる期間を指します。
盆地|ぼんち|「盆地」は、周囲を山や丘陵に囲まれた平らな土地を指す地理用語です。夏は非常に暑く、冬は寒くなるという特徴があります。
盆暗|ぼんくら|「盆暗」（ぼんくら）は、頭の働きが鈍い人や、ぼんやりしている人を指す蔑称です。能率が悪くて要領を得ない様子をののしる言葉で、カジュアルな会話では使われますが、相手に直接言うのは失礼です。
盆栽|ぼんさい|鉢の中で木や草を育てて、自然の景観を再現する日本の伝統芸術。
盗み取る|と|他人のものをこっそりと奪い取ることを意味します。盗むよりも強い意味で、相手の物品を奪い去るニュアンスがあります。
盗み聞き|ぬすみぎ|「盗み聞き」は、他人の会話を隠れてこっそり聞く行為を指します。相手に気づかれないように聞くという点で、単なる「聞く」より道徳的に否定的なニュアンスがあります。
盗み見る|み|「盗み見る」は、他人に見られていないかこっそりと何かを覗き見ることを意味します。悪いことと知りながらも、好奇心や興味から隠れて見るニュアンスがあります。
盗人|ぬすびと|「盗人」は、他人の物を盗む人を指すやや古風な表現です。現代では「泥棒」の方が一般的ですが、「盗人」は文学やことわざで使われることが多いです。「盗人にも三分の理」のようなことわざでも知られています。
盗作|とうさく|
盗品|とうひん|「盗品」は盗まれた品物を指します。法律用語としても使われ、盗品を買ったり受け取ったりすることは「盗品等の有償処分あっせん」などの罪に問われる可能性があります。犯罪に関連する言葉なので、日常会話ではあまり使いませんが、ニュースや小説で出てきます。
盗塁|とうるい|「盗塁」は、野球の用語で、走者が投手が投球する隙に次の塁へ進むことを指します。スピードとタイミングが重要なプレーで、成功するとチームに得点のチャンスが広がります。
盗掘|とうくつ|「盗掘」は、許可なく遺跡や古墳などを掘り返し、埋蔵物を盗み取る犯罪行為を指します。考古学や文化財保護の文脈で使われることが多く、歴史的価値のある遺跡を破壊する重大な違法行為です。
盗撮|とうさつ|他人の許可なくこっそり写真や動画を撮影することを指します。犯罪行為として法律で禁止されています。
盗聴|とうちょう|他人の会話や通信を本人の許可なくこっそり聞くことを指します。法律で禁止されている行為です。
盗聴器|とうちょうき|他人の会話をこっそり盗み聞きするための小さな機器のことです。犯罪やスパイ行為に使われることが多いですが、親の監視などにも使われます。
盗賊|とうぞく|「盗賊」は、集団で盗みを働く者たちを指す歴史的な言葉です。中世の山賊や海賊などのイメージが強く、現代の犯罪者というよりは、時代劇やファンタジー作品でよく登場します。
盗難|とうなん|「盗難」は「盗みによって物を奪われること」を意味します。実際の犯罪行為や被害を指す正式な用語で、保険の「盗難保険」や警察の「盗難届」など公的な場面で使われます。カジュアルには「盗まれる」と言います。
盛り|も|食べ物を器に盛る一回分の量を表します。特に寿司屋や蕎麦屋で「並盛り」「大盛り」のように注文する際に使います。
盛り上げる|もりあ|「盛り上げる」は、雰囲気や勢いを高めて活気づけることを意味する動詞です。パーティーやイベントの雰囲気を盛り上げたり、ビジネスでプロジェクトの勢いを盛り上げたりと幅広く使われます。ポジティブな行動を促す、明るく前向きな表現です。
盛り土|もりつち|「盛り土」は地面を盛り上げて高くすること、またはその土を指します。道路工事や鉄道、造成地などの建設・土木の文脈で使われます。ニュースの災害報道（盛り土の崩落など）で見かけることもあります。
