太空步|tàikōngbù|moonwalk (dance)
无地自容|wúdì-zìróng|Too ashamed to show one's face; utterly humiliated (literally: "no ground to hide oneself").Nuances:This idiom vividly describes extreme shame or embarrassment, as if the earth should swallow one up. 
媚人|mèirén|to charm; to flatter seductivelyNuances:Describes using allure or flattery to win favor, often with a slightly negative or manipulative connotation.Example Sentences:她媚人地一笑，让在场的人都心神荡漾。(Her charming sm
覆灭|fùmiè|To be destroyed, to perish, to collapseNuance覆灭 describes the complete downfall or annihilation of something, often used for dynasties, regimes, organizations, or forces that are utterly defeated and 
城邦|chéngbāng|NOUN city-state
人迹罕至|rénjìhǎnzhì|without human trace; uninhabited; untraversed
盛极一时|shèngjí-yīshí|to flourish for a time; to enjoy a period of great popularityNuances:This phrase describes something that was extremely popular or influential during a specific period, but implies that its peak has p
强盛|qiángshèng|ADJECTIVE (of a country, movement, etc.) powerful and prosperous
丰满|fēngmǎn|ADJECTIVE 1&#9;plentiful &#31918;&#20179;&#20016;&#28385;&#12290; Li&#225;ngc&#257;ng f&#275;ngm&#462;n. The granaries are full. 2&#9;(of the body or parts of the body) plump; full and round; well-dev
兵强马壮|bīngqiáng-mǎzhuàng|IDIOM strong soldiers and sturdy horses&#8212;well-trained and powerful army; strong military
比肩|bǐjiān|To stand shoulder to shoulder; to be on par with.Nuance比肩 is a formal and somewhat literary verb that means to be equal in status, ability, or achievement, allowing one to stand side-by-side with anot
滚动|gǔndòng|VERB roll; rotate; trundle &#36710;&#36718;&#28378;&#21160;&#12290; ch&#275;l&#250;n g&#468;nd&#242;ng The wheels are rolling. ADVERB (do sth.) at regular intervals &#20108;&#21313;&#22235;&#23567;&#2
皇室|huángshì|NOUN 1&#9;imperial family (or house) 2&#9;imperial government; royal court
皇子|huángzǐ|imperial prince; son of an emperorNuances:A historical term for male offspring of a reigning monarch, often involved in succession struggles.Example Sentences:康熙皇帝多位皇子争夺皇位，引发激烈斗争。(Multiple princes of 
骁勇善战|xiāoyǒngshànzhàn|Valiant and skilled in battle; brave and capable in combat.Nuance: 骁勇善战 is a literary or formal expression used to describe someone, usually a soldier or warrior, who is both courageous (骁勇) and tacti
身先士卒|shēnxiānshìzú|To lead from the front; to charge at the head of one's troopsNuance:身先士卒 is a classical idiom that describes a leader who personally leads their subordinates into action, sharing the risks and difficu
亲密无间|qīnmì-wújiàn|IDIOM be on intimate terms
开疆拓土|kāijiāngtuòtǔ|1&#9;(idiom) to expand one's territory; to conquer new lands 2&#9;(fig.) to expand one's business into new markets
腮帮|sāibāng|Cheek (the fleshy side of the face); jaw area.Nuance腮帮 is a colloquial noun that refers to the fleshy part of the cheeks, often used in everyday conversation to describe the sides of the face, particu
老土|lǎotǔ|old-fashioned; tacky; uncoolNuances:This colloquial term criticizes something as outdated or lacking style, often in fashion, behavior, or ideas. It carries a mildly derogatory tone, implying a failur
领结|lǐngjié|"Bow tie" (a type of necktie tied in a symmetrical bow shape, commonly worn with formal attire).Nuances:领结 (lǐng jié) specifically refers to the decorative bow tie, distinct from a regular necktie (领带
羞涩|xiūsè|shy; bashful; timidNuances:"羞涩" describes a nervous or self-conscious demeanor, often with a touch of endearing awkwardness. It can refer to both social shyness and coyness (e.g., romantic contexts). 
鸣叫|míngjiào|VERB 1&#9;(of birds, insects, etc.) chirp; warble; twitter 2&#9;(of siren, etc.) blow; wail; whistle
熟食|shúshí|Cooked food; prepared food; ready-to-eat food.Nuance: 熟食 refers to food that has been cooked, processed, or prepared and can be eaten directly without further cooking. It often includes items like roa
煤气灶|méiqìzào|gas range; gas cooker
磅礴|pángbó|Vast; majestic; tremendous; boundless (in scale or momentum).Nuance磅礴 is a powerful adjective that describes something of immense, awe-inspiring scale, momentum, or grandeur. It is often used to depic
急诊室|jízhěnshì|emergency room; accident and emergency department (A and E)
医保|yībǎo|NOUN ABBREVIATION medical insurance &#21307;&#20445;&#21046;&#24230;&#25913;&#38761; y&#299;b&#462;o zh&#236;d&#249; g&#462;ig&#233; reform of medical insurance system; medical insurance reform
转而|zhuǎn'ér|To turn to; to shift to; to change course and instead…Nuance“转而” indicates a change in direction—whether in thought, attitude, action, or circumstance. It often connects two contrasting or sequential 
点滴|diǎndī|A drop; a bit; small amountsNuance:点滴 literally means "drops" and is used both literally (drops of liquid) and figuratively to describe small, cumulative amounts of something, often with a sense of gr
淅沥|xīlì|(of rain, leaves) pattering; rustling softlyNuances:An onomatopoeic term for light, rhythmic sounds of nature (e.g., drizzle, wind through trees). Poetic and descriptive.Example Sentences:窗外雨声淅沥，一整夜未停
踱|duó|To pace; to stroll slowly; to walk unhurriedlyNuance“踱” describes a slow, measured, and deliberate way of walking, often associated with thinking, waiting, or being lost in thought. It suggests neithe
簌簌|sùsù|Rustling, falling sound (of light things)Nuance簌簌 is an onomatopoeic word often used to describe the light, continuous sound of small objects moving, falling, or brushing against something—such as lea
哀叹|āitàn|NOUN sorrowful sigh; lamentation &#22905;&#30340;&#27515;&#35759;&#24341;&#36215;&#19968;&#29255;&#21696;&#21497;&#12290; T&#257; de s&#464;x&#249;n y&#464;nq&#464; y&#299; pi&#224;n &#257;it&#224;n. 
辞世|císhì|VERB EUPHEMISTIC depart this life; pass away &#20808;&#29238;&#36766;&#19990;&#24050;&#19977;&#36733;&#12290; Xi&#257;nf&#249; c&#237;sh&#236; y&#464; s&#257;n z&#224;i. It&#8217;s three years since m
