电流|diànliú|Electric current
白费|báifèi|To waste
足以|zúyǐ|Sufficient to .... / so much so that .... X
传染病|chuánrǎnbìng|Infectious disease / contagious disease
抗菌素|kàngjūnsù|Antibiotic
抗药性|kàngyàoxìng|Resistance to action of a drug
法庭|fǎtíng|Court of law
挥动|huīdòng|To wave something, just "to wave" is 挥 alone
手帕|shǒupà|Handkerchief
道别|dàobié|Leave taking / To say goodbye
土星|tǔxīng|Saturn (planet)
依次|yīcì|In order / In succession
悄声|qiǎoshēng|Quietly / In a low voice
革新|géxīn|To innovate
一个又一个|yī gè yòu yī gè|One after another
安全措施|ānquáncuòshī|Security measure / safety feature
当局|dāngjú|Authorities
赞助|zànzhù|To support / to assist / to sponsor
有害|yǒuhài|Destructive / Harmful / Damaging
打击|dǎjī|To hit / To strike / a setback / a blow
供应商|gōngyìngshāng|Supplier
保守|bǎoshǒu|Conservative / to guard / to keep
晚餐|wǎncān|Evening meal / Dinner
强迫|qiǎngpò|To compel / To force
武士|wǔshì|Warrior / Samurai
战车|zhànchē|Tank, or in the past a war chariot
亲手|qīnshǒu|To do by hand / To do personally
检票口|jiànpiàokǒu|The ticket gate / kaisatsu
招聘广告|zhāopìnguǎnggào|Job advertisement
定义|dìngyì|Definition
生活习惯|shēnghuóxíguàn|Lifestyle
跑来跑去|pǎoláipǎiqù|To run around
一心一意|yìxīnyíyì|Wholeheartedly / Without any other thought
动作片|dòngzuòpiàn|Action film
科幻片|kēhuànpiàn|Science fiction film
爱情片|àiqíngpiàn|Romance film
主角|zhǔjué|Hero / Heroine
影星|yǐngxīng|Movie star
老套|lǎotào|No creativity / conventional / old ways
下馆子|xià guǎnzi|To eat in a restaurant
谢天谢地|xiètiānxièdì|means "Thank god!", when expressing gratefulness avoiding something bad
的确|díquè|Indeed / Really / 確かに
瑜伽|yújiā|Yoga
跆拳道|táiquándào|Tae Kwon do
原因|yuányīn|Reason
跑步机|pǎo bù jī|Running machine / Treadmill
器械|qìxiè|Apparatus / machines (at the gym)
丰盛|fēngshèng|Sumptuous / lots and lots and very delicious
新奇|xīnqí|Novelty / New and odd
淡薄|dànbó|Thin / Light / Flagging / Faint
瘀青|yūqīng|Bruise
应付|yìngfù|To cope / to deal with
官方|guānfāng|Official / By the government
夹|jiā|To place inbetween / to sandwich / wedged between
考生|kǎoshēng|Exam candidate
模仿|mófǎng|To imitate / To copy / To emulate / to mimic / model
斜视|xiéshì|cross eyes / usually persons eye problem
场合|chǎnghé|Situation / Occasion
露面|lòumiàn|To show up, to make an appearance Nuance 露面 literally means “to show one’s face.” It refers to appearing in public, showing up at an event, or letting oneself be seen after a period of absence. Depend
值钱|zhíqián|Valuable / Costly / Expensive
激进|jījìn|Radical / Extreme / Extremist
分子|fènzǐ (or fēnzǐ if molecule or numerator)|Members of a class or group / molecule / numerator of a fraction
激进分子|jījìnfènzǐ|Radicals / Extremists
持|chí|To hold / To maintain / To manage
较为|jiàowéi|Comparatively / relatively / fairly
长方形|chángfāngxíng|Rectangle
冒着|màozhe|To face dangers / To brave
对付|duìfu|To deal with / To cope (with all the bad things, problems you have to solve)
有效措施|yǒuxiàocuòshī|Effective action
修建|xiūjiàn|To build / To construct
情绪|qíngxù|Mood / State of mind
忍不住|rěnbuzhù|Cannot help / Unable to bear
绝种|juézhǒng|Extinction
街区|jiēqū|Block (between streets)
视野|shìyě|Field of view / Horizon
开阔|kāikuò|Wide / Open / To open up
送人|sòngrén|To give away / also "to see somebody off"
十字形|shízìxíng|Cross shape
记号|jìhao|Notation / Seal
千篇一律|qiānpiānyīlǜ|Once you've seen one you've seen them all / stereotyped and repetitive
讨人喜欢|tǎorénxǐhuan|Seeking to please / Lovable / Charming / Delightful
停顿|tíngdùn|Pause (in speech) / to break off / to halt
暂停|zàntíng|To pause (TV show)
深长|shēncháng|Profound (meaning, implication etc)
正方形|zhèngfāngxíng|Square
圆形|yuánxíng|Round / Circular
开花|kāihuā|To bloom / To blossom
世界杯|shìjièbēi|The world cup!
转播|zhuǎnbō|Relay / Broadcast (on radio or TV)
钻石|zuànshí|Diamond
替换|tìhuàn|To exchange / To replace / To substitute for / To switch
首领|shǒulǐng|Head / Boss / Chief
天分|tiānfèn|Natural gift / Talent
对称|duìchèn|Symmetry; symmetricalNuance:对称 is a term used in mathematics, art, design, and nature to describe the balanced arrangement of parts on opposite sides of a central axis or point. It carries a positive 
布局|bùjú|Arrangement / Layout / Composition
英里|yīnglǐ|A mile (1.6km)
相距|xiāngjù|Distance apart / Separated by a given distance
枯|kū|Dried up
绝迹|juéjì|To be eradicated / To vanish / extinct
有权|yǒuquán|To have authority
守法|shǒufǎ|To abide by the law
纯白|chúnbái|Pure white
瓷器|cíqì|Chinaware / Porcelain
装饰品|zhuāngshìpǐn|Ornament
呵欠|hēqiàn|To yawn
揉|róu|To rub / to massage / to knead
解雇|jiěgù|To fire / To sack / To dismiss
漫步|mànbù|To wander / To ramble / Recreational hiking
巴黎|bālí|Paris
标明|biāomíng|To mark / To indicate (to label?)
卸货|xièhuò|To unload / To discharge cargo
监护|jiānhù|To act as a guardian
奴隶|núlì|Slave
种植|zhòngzhí|To plant / To grow
漆黑|qīhēi|Pitch-black
关上|guānshang|To close (a door) / to turn off (light, electrical equipment etc)
敏感|mǐngǎn|Sensitive&nbsp;
掩护|yǎnhù|To cover; to shield; to provide protection or support (often while retreating or escaping) Nuance “掩护” means to protect someone or something by covering for them, either physically or figuratively. In
同伴|tóngbàn|Companion
干旱|gānhàn|Drought / Dry
消除|xiāochú|To eliminate / To remove
贫穷|pínqióng|Poor / Impoverished
曲解|qūjiě|To distort
搅和|jiǎohuo|To mix / To blend
亭|tíng|Booth / Kiosk (like for a telephone booth!)
财务|cáiwù|Financial affairs
富商|fùshāng|Rich merchant
残酷|cánkù|Cruelty
践踏|jiàntà|To trample
牧师|mùshī|Churchman / Priest / Vicar
牧区|mùqū|Grazing land / Pasture
安家|ānjiā|To settle down / To set up a home
镇|zhèn|Small town
守候|shǒuhòu|To wait for / To expect / To watch over / To nurse
幼年|yòunián|Childhood / Infancy
小径|xiǎojìng|Alley / Path
碎石|suìshí|Crushed or broken rock / stone / gravel
浑身|húnshēn|All over / From head to foot
柔软|róuruǎn|Soft
晃|huàng|To sway / To shake
权威|quánwēi|Authority / Power and prestige
封锁|fēngsuǒ|To blockage / To seal off
建筑物|jiànzhùwù|Building / Structure
耽搁|dānge|To Delay / To Hold Up / To Stop OverNuance耽搁 refers to a delay or interruption that causes a temporal setback, often with a negative connotation of wasted time or missed opportunity. It implies that t
局势|júshì|Situation / state of affairs
坚固|jiāngù|Firm / Strong / Hard (metal)
年终奖|niánzhōngjiǎng|Year bonus
耳麦|ěrmài|Headphones
脏话|zānghuà|Swearwords
机长|jīzhǎng|Plane captain
调职|diàozhí|Transfer (work, internally)
求职信|qiúzhíxìn|Application looking for work
积累|jīlěi|To accumulate
青蛙|qīngwā|Frog
沟|gōu|Ditch / Gutter
警卫|jǐngwèi|(security) guard
摸索|mōsuo|To feel about / To grope about
长凳|chángdèng|Bench / Pew
宁静|níngjìng|Tranquil / Serenity
暴力|bàolì|Violence / Use force
场面|chǎngmiàn|Scene / Spectacle / Situation
震惊|zhènjīng|To shock / To astonish
斥责|chìzé|To lash out / To reprimand
法子|fǎzi|Way / Method
顶上|dǐngshàng|On top of / At the summit
高处|gāochù|High place / Elevation
全景|quánjǐng|Panoramic view
协助|xiézhù|To prove assistance / To aid
谢意|xièyì|Gratitude / Thanks
麦片|màipiàn|Oatmeal / Oats
孤儿|gūér|Orphan
浓度|nóngdù|Concentration / Consistency / Thickness
顶峰|dǐngfēng|Peak / Summit / High point
凝望|níngwàng|To stare (at the future) / to fix ones gaze on
沉沉|chénchén|Deeply / Heavily
叹息|tànxī|To sigh / To gasp
给予|jǐyǔ|To give / To show / To accord
个别|gèbié|Individual / Specific / Respective (help etc)
故宫|gùgōng|The forbidden city / former imperial palace
签定|qiāndìng|To sign (a contract, treaty etc)
序幕|xùmù|Prologue
全套|quántào|An entire set / Full complement
礼服|lǐfú|Full dress
不协调|bùxiétiáo|Uncoordinated / Disharmony
突袭|tūxí|Suprise attack
查问|cháwèn|To inquire about
连锁商店|liánsuǒshāngdiàn|Chain store
悲哀|bēiāi|Grieved / Sorrowful
相连|xiānglián|To link / To join / Connection
阴影|yīnyǐng|Shadow; shade; figuratively, a negative influence or lingering effect. Nuance: 阴影 literally refers to the shadow cast by an object blocking light, similar to 影子. However, it is more commonly used meta
辛勤|xīnqín|Hardworking / Industrious
让步|ràngbù|To concede / to give in / yield / concession
打破|dǎpò|To break / To smash
僵局|jiāngjú|Deadlock / Impasse
纠结|jiūjié|twisted / tangled / to intertwine / To be confused / at a loss
自恋|zìliàn|Narcissism
助理|zhùlǐ|Assistance
腼腆|miǎntiǎn|Shy / Bashful
提示|tíshì|Hint / Cue / To prompt
技能|jìnéng|Technical skill
