投光器|とうこうき|floodlight; floodlight projector
職務経歴書|しょくむけいれきしょ|Resume showing career and job history
臍繰り|へそくり|Secret savings / Stash
伏す|ふす|To bend down / To bow down
一肌脱ぐ|ひとはだぬぐ|To pitch in and help
豊穣|ほうじょう|Good harvest / Abundant crop
斬新|ざんしん|Novel / Original / Newness
金メッキ|きん|gilding; gold plating
見舞金|みまい きん|present to a person in distress; condolence money; gift of money in token of one
ノコノコ||恥ずかしげもなく - (Shamelessly) doubler
彼女の態度は冷ややかでした|かのじょの たいどは ひややかでした|Her attitude was cold
攻め入る|せめ はいる|To invade
先導する|せんどうする|To lead the way / lead
王妃|おうひ|Queen
党首|とうしゅ|Head of (political) party
精鋭|せいえい|Elite / Picked / Powerful
高官|こうかん|High official
委任|いにん|To entrust
仇敵|きゅうてき|Bitter enemy
曲がりくねる|まがりくねる|To bend many times / to turn and twist / to zigzag
提灯記事|ちょうちんきじ|puff piece (in a newspaper, etc.), flatteringly exaggerated article, sycophantic
自首する|じしゅする|Surrender / Turn oneself into the police
禿げる|はげる|To lose hair
栄転|えいてん|Promotion (at work?)
三乗根|さんじょうこん|{math} cube root
事件性|じけん せい|criminal nature; criminality
引き摺り込む|きりひきずりこむ|to drag in, to pull in
彼の日々の振る舞いは彼の主義主張と合致していない。|かれの ひびの るふるまいは かれの しゅぎしゅちょうと がっちしていない|His daily behavior is not consistent with his principles
捕鯨|ほげい|Whaling / Whale fishing
求心力|きゅうしんりょく|Centripetal force / cohesive power / unifying force
いかがわしい|いかがわしい|Suspicious / Dubious
包み|つつみ|package, parcel
足跡を辿る|あしあとを たどる|To track footprints
究極|きゅうきょく|Ultimate / Extreme / Final / Eventual
再三|さいさん|Repeatedly / Over and over
不死身|ふじみ|Invulnerability / Immortality
末期的|まっきてき|Terminal / Decadent
聴取|ちょうしゅ|Listening / Hearing
着物をビリビリ破る|きものを やぶる|to rip up one's clothes
独り身|りひとりみ|Unmarried man or woman
季節|きせつ|Season
急落|きゅうらく|A sudden drop / slump / nose dive / plummet (stocks etc)
石器時代|せっきじだい|Stone age
捨て売り|すて うり|sacrifice sale; selling for a song; dumping
模造する|もぞうする|To imitate
彼は先生に反発していたよ。|かれは せんせいに はんぱつしていたよ|He was rebelling against the teacher.
不規則|ふきそく|Irregular
老化する|ろう かする|To age (not 老ける)
基礎控除|きそこうじょ|Basic or standard deduction
よりによって|よりによって|Of all things
折り鶴|りおりづる|Folded paper crane
チラシをこの地域の家という家に配って歩いた。|をこの ちいきの いえという いえに くばって あるいた|I delivered flyers to every single house in this area (すべての家に)
剣道の奥義を極める|けんどうの おうぎを きわめる|to be initiated into the mysteries of swordsmanship
処方箋|しょほうせん|prescription
声楽|せいがく|Singing / Vocal Music
催し|もよおし|Event / Function (not 行事 or 組み込み)
行き届く|きいきとどく|To be attentive / To be prudent / To be thorough
超小型|ちょうこがた|Ultra small
眠りこける|ねむりこける|To sleep deeply
さすがの彼もその問題には匙を投げた|さすがの かれもその もんだいには さじを なげた|As usual, hes thrown in the towel
誅殺|ちゅうさつ|Execution of a criminal
古本|ふるほん|Second hand book
人柱|ひとばしら|Human Sacrifice / Human Pillar
うんと|うんと|Hard / With effort
鉛直|えんちょく|perpendicular; upright; vertical
線条|せんじょう|line; a streak
ワクチンソフト||antivirus software
はためく|はためく|To fly, flutter (a flag)
長ける|たける|To excel at / To be proficient at&nbsp;
健康のため、適度な運動が必要です。|けんこうのため てきどな うんどうが ひつようです|Moderate exercise is necessary for your health.
かじりつく|かじりつく|To bite into / to stick to
雑務|ざつむ|Small jobs / odd jobs
拾得物|しゅうとくぶつ|Finding (lost thing picked up and found)
蛍光灯|けいこうとう|Fluorescent lamp
その子供は大人と対等に話していたよ。|その こどもは おとなと たいとうに はなしていたよ|That kid was speaking with an adult as an equal.
地方の道路整備のための財源確保が必要です。|ちほうの どうろせいびのための ざいげんかくほが ひつようです|It is necessary to secure financing for local road maintenance
じたばた|じたばた|Kick and struggle / Wriggle
真っ只中|っまっただなか|right in the midst of; right at the height of
死刑囚|しけいしゅう|criminal condemned to death; convict on death row
その問題は当分棚上げだ。|その もんだいは とうぶん たなあげだ|That problem has been shelved for the time being.
枝分かれ|えだわかれ|ramification, branching off
提訴|ていそ|Presenting a case / Suing
石ころ|いしころ|stone, rock, pebble
継続は力なり|けいぞくは ちからなり|perseverance makes one stronger, slow but steady wins the race
異教徒|いきょうと|1. pagan, heretic, heathen2. 異教徒
喫煙|きつえん|Smoking
生きがい|いきがい|Purpose in life
彼女は額に黒子があります|かのじょは ひたいに ほくろがあります|She has a mole on her forehead
石膏|せっこう|plaster; gypsum; calcium sulphate (so plaster for a wall)
少尉|しょうい|second lieutenant
嘘偽り|うそいつわり|lies and falsehoods
踏み外す|みふみはずす|To miss ones footing
悪寒|おかん|Chill
受賞|じゅしょう|Winning (a prize)
遮音|しゃおん|Soundproofing / Sound insulation
戦く|おののく|to shake (from fear, cold, excitement, etc.); to shudder; to tremble
競う|きそう|Contend / Compete
作り物|りつくりもの|Artificial product / Decoration / Fake
日常茶飯事|にちじょうさはんじ|Everyday occurrence
自制|じせい|self control, self restraint
なり|なり|As soon as (similar to が早いが、や否や、とたんに) 2 hiragana characters
四散|しさん|Scattering (in all directions)
打ち合わせ|ちうちあわせ|Meeting / Arrangement (another iknow word)
周波数|しゅうはすう|Frequency of waves -- ie, why my TV cant tune to the channels properly
荷物が重くて手がちぎれそうだ。|にもつが おもくて てがちぎれそうだ|My luggage is so heavy, it feels as if my arm could tear off.
存続|そんぞく|Continuance / Duration
斬り付ける|きり つける|To cut at / To slash at
大木|たいぼく|Large tree
汲み出す|みくみだす|To pump out (water etc)
鯔背（な）|いなせな|Gallant / Dashing / Smart
裂傷|れっしょう|Laceration
影を投げる|かげを なげる|to project a shadow; to cast a shadow
保活|ほかつ|kindergarten hunting
維持する|いじする|To maintain / preserve (ie lifestyle)
取り掛かる|りとりかかる|To begin / To set about / To start
肌寒い|はださむい|Chilly
廃絶|はいぜつ|Abolition
何食わぬ顔|なに くわぬ かお|Innocent look
親睦|しんぼく|Friendliness / Social&nbsp;
謀殺|ぼうさつ|premeditated murder; deliberate murder; willful murder
