多額|たがく|Large amount of money
戒め|いましめ|Caution / Commandment / Lesson / Warning / Example
満更|まんざら|Altogether / Wholly
巨万|きょまん|Huge fortune / Millions
最期|さいご|Ones last moment / Ones time of death
洋上|ようじょう|on the sea; on the ocean
感情表現|かんじょうひょうげん|expressing emotion; drawing facial expressions
反徒|はんと|rebels; insurgents
要|かなめ|Pivot / Hinge / Main Point / Pillar / Bpttom line
青二才|あおにさい|(derog) green youth; immature youth; novice; greenhorn
心音|しんおん|(sound of one's) heartbeat
縁|ふち|rim, brim, edge, brink
恐れおののく|おそれおののく|to tremble with fear
概論|がいろん|Intro / Outline / General remarks
風車小屋|ふうしゃごや|Windmill
正攻法|せいこうほう|Frontal attack
火炎|かえん|Flame / Blaze
水彩画|すいさいが|watercolor painting; watercolour painting
出歩く|であるく|to go out; to go around; to walk about; to roam
様子|ようす|Situation / Appearance / "See how it goes"
晴れ姿|れはれすがた|Appearing in ones finest clothes / Appearing in ones hour of triumph
凝縮|ぎょうしゅく|Condensation
稜線|りょうせん|Mountain ridge / Ridge line
～こととて|こととて|Simply "because" / だから
送迎車|そうげいしゃ|courtesy car (e.g. at a hotel)
護身|ごしん|Self Defense
先生に暑中見舞いを出しました。|せんせいに しょちゅうみまいを だしました|I sent a summer greeting card to my teacher.
電柱|でんちゅう|Telegraph pole
集中暖房|しゅうちゅう だんぼう|Central heating
手法|しゅほう|Technique
多方面|たほうめん|Many sided
死なんとする者は本音を吐くものだ。|しなんとする ものは ほんねを はくものだ|A person who is about to die gives vent to his true feelings.
這い蹲る / 這い蹲う|はい うずくまる いはいつくばう|to grovel; to go down on one's hands and knees
定期預金|ていきよきん|term deposit; (fixed) time deposit
この生地は滑らかな手触りが特長です。|この きじは なめらかな てざわりが とくちょうです|This cloth's main feature is its smooth texture.
振り向く|りふりむく|To turn around / look back (again ... iknow)
起爆剤|きばくざい|Trigger
幾分|いくぶん|Somewhat / To some extent / To some degree
昨日創作料理のお店に行った|きのう そうさくりょうりのお たなに いった|I went to an innovative restaurant yesterday
替え玉|えかえだま|ringer; substitute; double; proxy
口裏を合わせる|くちうらを あわせる|to arrange beforehand to tell the same story; to get the stories straight
もっとも (grammar)|もっとも|can also be "but then", "although" - written 尤も
建設的|けんせつてき|constructive
布団|ふとん|Futon
縄|なわ|Rope
重曹|じゅうそう|Baking soda
空所を補充せよ。|くうしょを ほじゅうせよ|Fill in the blanks
銀世界|ぎんせかい|Snowscape
叩き壊す|はたき こわす|To tear down / To shatter
照会|しょうかい|Inquiry / Application for information
彼は最近は専らゴルフをしています|かれは さいきんは もっぱらをしています|Recently he does nothing but play golf
雑学|ざつがく|Miscellaneous knowledge
周遊|しゅうゆう|Excursion trip / round trip
背丈は普通でした。|せたけは ふつうでした|The man was of normal height
直立不動|ちょくりつふどう|standing at attention
中年|ちゅうねん|Middle age (person, not century)
予見|よけん|Foresight / Foreknowledge
郷里からカニを取り寄せました|きょうりからを りとりよせました|I had a crab sent from my hometown
彼は子どもたちの浪費を戒めた|かれは こどもたちの ろうひを いましめた|He warned the children against waste
一件落着|いっけんらくちゃく|An issue being settled / A case being closed
追跡番号|ついせきばんごう|tracking number (e.g. for orders)
解禁する|かいきんする|To lift [remove] the ban
青白い|あおじろい|Pale / Pallid
記憶素子|きおくそし|（Computer) storage cell
突っ張り|つっ ぱり|1. prop, strut, support, brace, bar2. becoming taut, tightness, stiffness, cramp
郡|ぐん|County / Borough
担ぐ|かつぐ|To carry on shoulder
沖合い|おきあい|Coast / Offshore
執拗|しつよう|Persistent / Obstinate
チンキ||(orig. from the Dutch 'tinctuur') tincture
構え|かまえ|structure; construction; appearance; (n) (2) posture (e.g. in martial arts); pos
ドジっ子|っ こ|clumsy girl
分針|ふんしん|minute hand
鎮静剤|ちんせいざい|sedative, tranquilizer, tranquiliser
慎重|しんちょう|Prudent / careful
市立|しりつ|Municipal / City
思惑|おもわく|Speculation / Expectation
実地研修|じっち けんしゅう|Hands on training
力ない|ちからない|Feeble
家を買うために積み立てを始めました|いえを かうために みつみたてを はじめました|We started saving up to buy a house
初動|しょどう|1. initial response (e.g. to a crisis); action in the earliest stages2. initial 
野宿する|のじゅくする|To sleep outdoors
忠告|ちゅうこく|Tip / Advice
不振|ふしん|Slump / Stagnation / Slump
大当たり|おおあたり|Big hit / Striking it rich / Right on the mark
色盲|しきもう|Colour blind
その書評者はその小説に鋭く批判的である。|その しょひょう しゃはその しょうせつに するどく ひはんてきである|The reviewer is sharply critical of the novel
緊迫した雰囲気|きんぱくした ふんいき|A tense atmosphere
雨降って地固まる|あめ くだって ち かたまる|What doesn’t kill you makes you stronger /&nbsp;Adversity&nbsp;strengthens&nbsp;
爽やか|さわやか|Refreshing / Clear
思い知らせる|いおもいしらせる|To teach someone a lesson / To have revenge on / to get even with / to make some
民度|みんど|Cultural standard
陥落|かんらく|Fall / Sinking / Surrender / Capitulation
ドボン||plop; splash (into the sea)
人生一度切り|じんせい ど ぎり|(exp) you only live once; you only have one life
胃腸|いちょう|Stomach and Intestines
資金|しきん|Fund / Finance / Treasury
小便|しょうべん|Urine / Pee
綻び|ほころび|Open seam / Seam that has come apart / Tear
