体当たりする|たいあたりする|To charge / hurl
哲学|てつがく|Philosophy (school subject)
これは極めて重要な問題です。|これは きわめて じゅうような もんだいです|This is a vitally important question.
この詩を解釈してみましょう。|この しを かいしゃくしてみましょう|Let's try to interpret this poem.
英訳|えいやく|English translation
今日のフランス語の講座は休講です。|きょうの ふらんすごの こうざは きゅうこうです|Today's French class is canceled.
無責任な行動は許されません。|むせきにんな こうどうは ゆるされません|Irresponsible behavior will not be tolerated.
まあまあ、落ち着いてください。|まあまあ ちおちついてください|Now, now, please settle down.
用心棒|ようじんぼう|Bodyguard / Bouncer / Muscleman
やると決めたからには最後までやれ|やると きめたからには さいごまでやれ|As long as you commit yourself to do it, stick with it to the very end.
雑音がひどくて声が聞こえません。|ざつおんがひどくて こえが きこえません|The background noise is awful and I can't hear your voice.
後退する|こうたいする|To fall back / retreat / setback
用例を使って説明してください。|ようれいを つかって せつめいしてください|Please explain by using examples.
下準備|したじゅんび|preliminary arrangements; spade work
バス代が値上げされました。|だいが ねあげされました|Bus fares were raised.
味方|みかた|Friend / Supporter / Ally
夜は10時までに寝るのが望ましいの。|よるは  じまでに ねるのが のぞましいの|It's recommended to go to sleep by ten o'clock at night.
彼女は政治について無知でした。|かのじょは せいじについて むちでした|She was ignorant about politics.
私たちは舟を降りて、陸に上がったんだ。|わたしたちは ふねを おりて りくに あがったんだ|We got out of the boat and stepped onto shore.
合言葉|あいことば|Password / Watchword
9月には月見を楽しみます。|つきには つきみを たのしみます|We enjoy moon viewing in September.
菜食主義者|さいしょくしゅぎしゃ|Vegetarian
呼吸|こきゅう|Breath / Respiration
不必要|ふひつよう|unnecessary
彼は東洋文化を研究しているよ。|かれは とうよう ぶんかを けんきゅうしているよ|He researches Asian culture.
紛失|ふんしつ|Losing something
経済的な効果は計り知れません。|けいざいてきな こうかは はかり しれません|The economic effects are immeasurable.
討つ|うつ|To attack / To avenge
剣道|けんどう|Kendo sword fighting
設計図|せっけいず|Plan / Blueprint
一度に|いちどに|At a time / at once
決勝〜|けっしょう|Final (line/point/etc)
日本語は毎日勉強するようにしてください|にほんごは まいにち べんきょうするようにしてください|Please try to study Japanese every day
くるくる|くるくる|Round and round / spin
誰にも見えざる知恵がある。|だれにも みえざる ちえがある|He has a wisdom that no one can see.
離婚率|りこんりつ|Divorce rate
答えを渋る|こたえを しぶる|hesitate [be reluctant] to answer
このケーキが世界一でなくてなんだろう。|このが せかいいちでなくてなんだろう|If this isn't the world's best cake, then I don't know what is
作戦|さくせん|Operation / Strategy
～古す|こす|古す means "to wear out" and is attached to the 連用形 to create compound verbs that 
となる|となる|To become / To amount to
入学式で学長の挨拶がありました。|にゅうがくしきで がくちょうの あいさつがありました|The headmaster gave a greeting speech at the entrance ceremony.
そのカメラには最先端の技術が使われています。|そのには さいせんたんの ぎじゅつが つかわれています|State-of-the-art technology is used in that camera.
UNIXの中核|の ちゅうかく|Unix Kernel / Core
悔やむ|くやむ|To regret (verb)
消火器|しょうかき|Fire extinguisher
売り出す|りうりだす|To put on sale
他人の権利を侵してはなりません。|たにんの けんりを おかしてはなりません|You shouldn't infringe on other people's rights.
ということだ　ー＞　そうだ|ということだそうだ|ということだ　ー＞　そうだ
わざと|わざと|On purpose / deliberately / intentional
入国管理局|にゅうこくかんりきょく|Immigration office
水平飛行|すいへいひこう|Level flight
芸能界|げいのうかい|The world of entertainment
掴む|つかむ|To hold onto / to sieze / to catch
天井から雨が漏るの。|てんじょうから あめが もるの|Rain is leaking from the ceiling.
買い手|いかいて|買う人
続々|ぞくぞく|In rapid succession / one after another
比率|ひりつ|ratio, percentage
侵攻|しんこう|Invasion (an army, think SF3)
まだ首がつながっている|まだ くびがつながっている|One has managed to keep ones job (bit of an idiom this)
戦意|せんい|Fighting spirit (not 根性, more the desire to go into battle)
親睦試合|しんぼく しあい|Friendly match / Friendly game
その薬は効力が強いよ。|その くすりは こうりょくが つよいよ|The effect of the medicine is strong.
陽気さ|ようきさ|Cheerfulness / Liveliness
彼は人をおだてるのが上手です。|かれは ひとをおだてるのが じょうずです|He is good at flattering people.
遭遇する|そうぐうする|To encounter
(演)劇|げき|Play (theatrical)
黙る|だまる|To keep silent / Hush / Hold ones tongue
部品|ぶひん|Parts
その事故は運転手の不注意が原因で起きたの。|その じこは うんてんしゅの ふちゅういが げんいんで おきたの|The accident happened due to the driver's carelessness.
所得控除|しょとくこうじょ|Income excemptions and deductions
熱風|ねっぷう|hot wind
圧し潰す|おし つぶす|to squash; to crush; to flatten
棒暗記する|ぼうあんきする|To learn by rote
空港へ彼女を出迎えに行きました。|くうこうへ かのじょを でむかえに いきました|I went to the airport to pick her up.
永久的な平和など幻想に過ぎない。|えいきゅう てきな へいわなど げんそうに すぎない|Permanent peace is nothing but an illusion.
金星|かなぼし|Venus
静電気|せいでんき|Static electricity
食い込む|いくいこむ|(1) to bite into (e.g. rope into skin); to cut into; to dig into (e.g. of finger
娘が今年成人します。|むすめが ことし せいじんします|My daughter comes of age this year.
闇市|やみいち|black market
戦争は死にほかならない。|せんそうは しにほかならない|war is nothing else but death
総理大臣の今後の動静が注目されている|そうりだいじんの こんごの どうせいが ちゅうもくされている|Prime Ministers future status is the focus of attention
