人身攻击|rénshēn gōngjí|Personal attack
贬低|biǎndī|To belittle / To disparage / To play down / to demean / to devalue
埋葬|máizàng|To bury
坟墓|fénmù|Tomb
狼狈|lángbèi|In a difficult situation / To cut a sorry figure / scoundrel!
撤退|chètuì|To retreat
黄铜|Huáng tóng|Brass
充沛|chōngpèi|Abundant / Plentiful / Vigorous
星系|xīngxì|word for galaxy (stars)
恒星|héngxīng|Stars (in space, used for ones not visible in the sky)
光阴|guāngyīn|Time (with a connotation of its passage and value).Nuance光阴 is a poetic and classical term for time that emphasizes its fleeting, precious nature. Unlike the neutral 时间 (time), 光阴 carries a sense of t
浪荡|làngdàng|dissolute; to loaf around; to lead a wild (often immoral) lifeNuances:Strongly negative, implying reckless hedonism, idleness, or promiscuity. Can describe behavior ("浪荡子" - playboy) or wandering ("四处
诱骗|yòupiàn|To entice / To lure / To scam / To hoodwink / To decoy
农场|Nóngchǎng|Farm
分泌|fēnmì|To secrete / Secretion
唾液|tuòyè|Saliva
征召|zhēngzhào|To enlist / To draft / To conscript
服役|fúyì|To serve in the army
贞节|Zhēnjié|Chasticy / moral integrity or virginity&nbsp;
叛乱|pànluàn|Armed rebellion
味觉|Wèijué|Sense of taste
嗅觉|xiùjué|Sense of smell
听觉|tīngjué|Sense of hearing
触觉|chùjué|Sense of touch
视觉|shìjué|Sense of sight
绵延|miányán|Continuous (esp mountain ranges) / To stretch long and unbroken / a continuous link
绸|chóu|Silk
跪拜|guìbài|To kneel and worship
诸|zhū|All / Various&nbsp;
吉利|jílì|Lucky
讨|tǎo|To invite / To provoke / To demand or ask for (etc etc)
清洁剂|qīngjié jì|Detergent / Cleaning solution
污痕|wūhén|Blot
搓洗|cuōxǐ|To run clean (garments ) / To scrub
背道而驰|bèidào'érchí|To run in the opposite direction / To run counter to
坚韧不拔|jiānrèn bù bá|Firm and indomitable (idiom) &nbsp;/ Tenacious and unyielding
辩驳|biànbó|To dispute / To refute&nbsp;
证词|zhèngcí|Testimony
反驳|fǎnbó|To retort / To refute
禽兽|qínshòu|Beast / Brute / MonsterNuance禽兽 is a noun with a profoundly negative connotation, used to describe a person whose behavior is so cruel, immoral, or lacking in basic human decency that they are conside
杠杆|gànggǎn|Lever; (figuratively) leverage (financial, strategic, or mechanical advantage).Nuance杠杆 is a noun with both literal and powerful figurative meanings. Literally, it refers to a rigid bar used to exert 
徐徐|xúxú|Slowly / Gently
酷刑|kùxíng|Cruelty / Torture
不齿|bùchǐ|To despise; to hold in contempt; to consider beneath one's dignityNuance:不齿 is a formal and strongly negative term that expresses moral disdain and refusal to associate with someone or something. It l
证券|zhèngquàn|Security / Stocks and bonds
迫害|pòhài|To persecute / Persecution
无影无踪|wú yǐng wú zōng|To disappear without trace
大屠杀|dà túshā|Massacre / Holocaust
罪案|zuì'àn|A criminal case
挨饿|ái è|To go hungry / To endure starvation / Famished
家喻户晓|jiāyùhùxiǎo|Understood by everyone / Well known / A household name
转达|zhuǎndá|To pass on / To convey / To communicate
真挚|zhēnzhì|sincere; genuine; heartfeltNuances:Describes emotions, relationships, or expressions that are deeply honest and without pretense.Example Sentences:他的道歉十分真挚，打动了所有人。(His apology was very sincere and mov
请帖|qǐng tiě|Invitation Card / Written invitation
附上|fù shàng|Attached / Included herewith (inside a letter etc)
慈善|Císhàn|Charitable / Benevolent
自愿|zìyuàn|Voluntary
捐赠|juānzèng|To donate / To contribute (as a gift) / Benefaction
圆周|yuánzhōu|Circumference
女仆|nǚpú|Female servant / Maid&nbsp;
宣讲|xuānjiǎng|To preach; to expound publicly; to give a public lecture on a specific topic (often with an authoritative or promotional aim).Nuance宣讲 carries a formal and purposeful tone, implying an act of explaini
慈爱|cí'ài|"loving-kindness," "affectionate care," "compassionate love" (often describes the gentle, nurturing love of a parent, elder, or benevolent figure).Nuance:This term conveys warmth and selfless tenderne
古董|gǔdǒng|Antique
新颖|xīnyǐng|New and original
茄子|qiézi|Eggplant / Aubergine
狐狸|húlí|Fox (also sly and treacherous person)
袋鼠|Dàishǔ|Kangaroo
吉他|jítā|Guitar
凯旋|kǎi xuán|Return Triumphant
呼啸而过|hūxiào érguò|To whistle past / To hurtle past / To zip by
彩虹|cǎihóng|Rainbow
驱散|qūsàn|To disperse / To break up
携带|Xiédài|To carry (on ones person) / To take along
邪恶|xié'è|Sinister / Vicious / Wicked / Evil
雄鹰|Xióng yīng|Eagle
阻挠|zǔnáo|To obstruct / To thwart
失踪|shīzōng|To be missing / To disappear / Unaccounted for
纯粹|chúncuì|Pure / Unadulterated / Purely / Completely (crap etc)
颁发|bānfā|To issue / To award / To promulgate
捐款|juānkuǎn|To donate money / To contribute funds / donation
贝壳|bèiké|A Shell
固守|gùshǒu|To strongly defend ones position / To be entrenched / To cling to
陷于|xiànyú|Caught in (bad situation) / To fall into (trap etc)
险境|xiǎn jìng|Critical circumstances / Risky conditions / Danger zone
芭蕾舞|bālěiwǔ|Ballet
挖掘机|wājué jī|Excavator (without the ji its "to dig, to excavate, to unearth)
平整|píngzhěng|To level off / To flatten / Level
哑口无言|yǎ kǒu wú yán|Dumbstruck and unable to reply / left speechless / at a loss for words
勒死|lēi sǐ|To strangle
胆小如鼠|dǎn xiǎo rú shǔ|Gutless / Chicken hearted&nbsp;
安葬|ānzàng|To bury (the dead)
分支|Fēnzhī|Branch (of company etc)
凹痕|āo hén|Dent / Indentation / Notch
木工|mùgōng|Woodwork / Carpentry
工时|gōngshí|Man-hour
肾脏|shènzàng|Kidney
