售货员|shòuhuòyuán|Shop assistant / Salesperson
误会|wùhuì|Misunderstand / Misapprehend
明明|míngmíng|Obviously
可笑|kěxiào|Laughable / Funny / Ridiculous
想不到|xiǎng bù dào|Unexpected / Never expect
来信|láixìn|Incoming letter
请求|qǐngqiú|Ask / Request / Appeal
帖子|tiězi|Post / Message
背面|bèimiàn|Back / Reverse side
泪水|lèishuǐ|Teardrop
身边|shēnbiān|One 's side
看样子|kànyàngzi|It seems that / It looks as if
提包|tíbāo|Handbag
车牌号|chēpáihào|License number (of a vehicle)
恨|hèn|Hate
果然|guǒrán|As expected / Sure enough
幸好|xìnghǎo|Luckily / Thankfully
父子|fùzǐ|Father and son
鸽子|gēzi|Pigeon / Dove
心爱|xīn'ài|Treasured
雨点|yǔdiǎn|Raindrop
安慰|ānwèi|Comfort / Console
收养|shōuyǎng|Adopt / Take in and bring up
优点|yōudiǎn|Merit / Strong point
守势|shǒushí|Be on time / Be punctual
不满|bùmǎn|Be dissatisfied / be discontented
特意|tèyì|For a special purpose / Specially
这时|zhìshí|At this time or moment
扔|rēng|To throw / Toss / Throw away
志愿者|zhìyuànzhě|Volunteer
盲人|mángrén|Blind person
花盆|huāpén|Flowerpot
鲜花|xiānhuā|Fresh flowers
话筒|huàtǒng|Microphone
讲解员|jiǎngjiěyuán|Narrator
脚步声|jiǎobù shēng|Sound of footsteps
讲解|jiǎngjiě|Explain / Narrate
画面|huàmiàn|Movie frame / Frame
编|biān|To weave / Braid
度过|dùguò|To spend / pass (time）
会见|huìjiàn|To meet with / interview
风力|fēnglì|Wind power
拥护|yōnghù|To endorse / support
当作|dàngzuò|To treat as / To regard as
侮辱|wǔrǔ|To insult; to humiliateNuance:侮辱 is a strong verb that describes intentionally treating someone with disrespect, contempt, or humiliation through words, actions, or treatment. It carries a serious neg
遭到|zāodào|To suffer / meet with something unfortunate
耐用|nàiyòng|Durable
漏|lòu|To leak / let out
屋顶|<span style=" font-style: normal; font-weight: normal;">wūdǐng&nbsp;</span>|Roof
水泥|shuǐní|Cement
指挥|zhǐhuī|To conduct / To command / To direct
袭击|xíjī|To attack (esp suprise attack) / to raid
对象|duìxiàng|Target / Object
反动|fǎndòng|Reactionary / Counter-RevolutionaryNuance反动 is a highly charged political term that refers to ideologies, actions, or individuals that oppose progressive change, reform, or revolution, and seek to pre
录像|lù xiàng|Video recording / Video tape
录像机|lùxiàngjī|Video recorder / VCR
尖锐|jiānruì|Sharp point
复述|fùshù|To retell / repeat
安心|ānxīn|Feel at ease / be relieved
医务室|yīwùshì|Clininc
自觉|zìjué|Conscious / Aware / On ones own initiative
敲|qiāo|Knock (at a door) / To strike (twelve) / To hit
肩|jiān|Shoulder
恋爱|liàn'ài|Be in love / Love
能干|nénggàn|Capable / Competent
相反|xiāngfǎn|Opposite / Contrary
酱油|jiàngyóu|Soy sauce
沉默|chénmò|Silent
概括|gàikuò|To summarize / generalize
故意|gùyì|On purpose
幸亏|xìngkuī|Another "luckily" "fortunately"
不然|bùrán|Or else / Otherwise
多亏|duōkuī|Thanks to ...&nbsp;
广阔|guǎngkuò|Vast / Wide
笔友|bǐyǒu|Penpals
情书|qíngshū|Love letter
陌生|mòshēng|Strange / Unfamiliar
吃力|chīlì|Requiring effort / Laborious / Streneous
包裹|bāoguǒ|Parcel
去世|qùshì|Die / Pass away
乞丐|qǐgài|Beggar
女主人|nǚzhǔrén|Hostess
整整|zhěngzhěng|Full / Solid / Whole
健全|jiànquán|Sound / Healthy
赞成|zànchéng|Agree with / Approve of
石头|shítou|Stone / Rock
挖|wā|To dig
往返|wǎngfǎn|To travel to and fro
毅力|yìlì|Willpower
不必|búbì|Need not / Not have to
机器|jīqì|Machine
债|zhài|Debt
通行证|tōngxíngzhèng|A pass / Permit
节约|jiéyuē|Economize / Save
小气|xiǎoqì|Petty / Stingy
用电量|yòngdiànliàng|Electricity consumption
电源|diànyuán|Power supply
自来水|zìláishuǐ|Tap water / Running water
瓶装水|píngzhuāngshuǐ|Bottled water
小看|xiǎokàn|To look down upon
宝贵|bǎoguì|Valuable / Precious
一次性|yícìxìng|Disposable / Throwaway
幼小|yòuxiǎo|Young and little
董事|dǒngshì|Board Member / DirectorNuance董事 is a term used in corporate governance to refer to a member of a company's board of directors. It carries formal, professional connotations, associated with strategic d
山顶|shāndǐng|Top of a mountain / Hilltop
夕阳|xīyáng|Setting sun
沿着|yánzhe|Along (a certain route)
搜集|sōují|Collect / Gather
决心|juéxīn|Resolve / Determination
搭车|dāchē|Hitchhike
年底|niándǐ|End of the year
摄像机|shèxiàngjī|Video camera
说服|shuōfú|To persuade
打火机|dǎhuǒjī|Lighter
边界|biānjiè|Border / Boundary
落山|luòshān|(the sun) goes down
扫|sǎo|To sweep
悄悄|qiāoqiāo&nbsp;|On the quiet / Quietly
害处|hàichu|Harm
老虎|lǎohǔ|Tiger
大批|dàpī|Large quantities of
似乎|sìhū|It seems / Seemingly
懂得|dǒngde|Know / Grasp / Understand
抽象|chōuxiàng|Abstract
外行|wàiháng|Layman / Amateur
落后|luòhòu|Fall behind / Lag behind
供给|gōngjǐ|To supply; to provide; supply (n.)Nuance:供给 is a formal term used in economics, logistics, and institutional contexts to describe the provision of necessary resources, goods, or services. It often app
依赖|yīlài|to depend on / be dependant on
地带|dìdài|Zone / Region
战士|zhànshì|Soldier / Fighter
消灭|xiāomiè|To eliminate / perish / wipe out
贫困|pínkùn|Impoverished / Poverty
极为|jíwéi|Extremely / Exceedingly
名胜|míngshèng|Famous place / Scenic spot
巧妙|qiǎomiào|Clever / Ingenious
谎言|huǎngyán|Another word for lie
显然|xiǎnrán|Obviously / Clearly
钓|diào|To fish (with hook and bait)
祝贺|zhùhè|To congratulate
肝|gān|Liver
本事|běnshi|Ability / Skill / Capability
毫无|háowú|To completely lack / not in the least
墨水|mòshuǐ|Ink
鼓舞|gǔwǔ|Heartening news / boost moral
盖|gài|Lid / Top / Cover
桶|tǒng|Tub / Bucket (for rubbish! for example)
故乡|gùxiāng|Homeland / Hometown
遥远|yáoyuǎn|Distant / Remote
对待|duìdài|Treatment
哼|hēng|To hum (a song)
将要|jiāngyào|Will / Shall / Be going to
用处|yòngchù|Usefulness
战斗|zhàndòu|To fight / To battle
反复|fǎnfù|Repeatedly / Again and again
议论|yìlùn|To discuss / comment on
地下|dìxià|Underground
立方|lìfāng|Cube / Cubic
容积|róngjī|Volume / Capacity (for storage of water or something)
英尺|yīngchǐ|A foot (distance）
率领|shuàilǐng|To lead / head / command
方针|fāngzhēn|Policy / Principle
胃|wèi|Stomach
海鲜|hǎixiān|Seafood
微弱|wēiruò|Weak / Feeble / Faint
上级|shàngjí|Higher authorities / Superiors
劝|quàn|To advise / To urge / to try to pursuade
认错|rèncuò|To admit an error / to acknowledge ones mistake
同情|tóngqíng|To sympathize
可怜|kělián|Pitiful / Pathetic
欺骗|qīpiàn|To cheat / To deceive
