葬祭装束|しょうぞく|葬式や法事の際に着用する正式な服装のことです。喪服とも呼ばれます。
葬送|そうそう|「葬送」は、遺体を葬り、墓所まで送る一連の儀式的な行為を指します。「葬式」や「葬儀」が式典そのものを指すのに対し、「葬送」は葬列を組んで埋葬地へ向かう過程を含む、より広い概念です。比喩的に「何かを終わらせる／見送る」という意味でも用いられ、「現役世代の引退を葬送する」のように使われることもあります。重々しい響きを持つ言葉で、主に書き言葉やフォーマルな場面で用いられます。
葵花|きか|「葵花」は向日葵（ひまわり）を意味する漢語表現です。現代の日本では「向日葵（ひまわり）」が一般的で、「葵花」は文語的・詩的な響きがあります。
蒔く|ま|種を土の中にまいて育てるために植える動作を指します。農業や園芸の基本的な作業で、比喩的には将来の種を準備する意味でも使われます。
蒙古|もうこ|モンゴルの古称。歴史的文脈（蒙古襲来＝元寇など）で使われる漢語で、現代では通常カタカナの「モンゴル」を使う。
蒙古斑|もうこはん|「蒙古斑」は、赤ちゃんのお尻や腰のあたりに現れる青あざのような斑点です。成長とともに自然に消えるもので、医学的な問題はありません。近年は差別的な印象を避けるため、「赤ちゃんの青あざ」などと呼ばれることもあります。
蒟蒻|こんにゃく|「蒟蒻」は、上記の意味を持つ日本語の語彙です。この言葉は、日常会話から書き言葉まで幅広い文脈で使われます。
蒸し暑い|あつ|気温が高いだけでなく湿度も高く、不快に感じる天候を表す形容詞です。日本の夏の特徴的な気候を表現するのに使われます。
蒸し返す|むしかえ|冷めた食べ物を再び蒸して温めるという物理的な意味と、過去の問題や話題を再び持ち出すという比喩的な意味があります。
蒸す|ふか|「蒸す」は「むす」と読めば水蒸気で加熱調理することを指し、「ふかす」と読めば米や饅頭などを蒸し器で調理することを意味します。また、天気が蒸し暑いという比喩的な使い方もあります。
蒸気|じょうき|水が熱せられて気体になった状態を指します。お風呂の湯気や、機関車の動力源としての水蒸気などが代表的です。
蒸気圧|じょうきあつ|「蒸気圧」は液体や固体から発生する蒸気の圧力を指す物理化学の専門用語です。密閉容器内で液体が蒸発しようとする力のことで、温度によって変化します。理科や化学の授業で登場します。
蒸気機関|じょうききかん|水を加熱して発生させた蒸気の力で動くエンジンのことを指します。産業革命の原動力となった歴史的に重要な発明です。
蒸気機関車|じょうききかんしゃ|「蒸気機関車」は、石炭や薪を燃やして水を沸かし、その蒸気の力で動く鉄道車両のことです。現在では観光用や保存用として運行されることが多く、鉄道ファンの間では汽笛の音や白い煙が特徴的で親しまれています。
