進むべきか退くべきか、はっきりとはわからなかった|しりぞ|後ろに下がる、その場から離れる。身を引く、辞任するなど比喩的な意味も持ちます。
進んで責任を取るということは成熟の印である。|しるし|
進入|しんにゅう|「進入」は、ある場所の中に入っていくことを指します。車両の進入禁止や、航空機の着陸進入など、ややフォーマルまたは技術的な場面で使われます。
進出|しんしゅつ|新しい分野や地域に進んで出ていくことを表す名詞・サ変動詞です。ビジネスや軍事の文脈でよく使われ、特に企業の海外展開を指すことが多いです。
進化する|しんか|生物や物事が長い時間をかけて徐々に変化し、より発達した状態になることです。
進化論|しんかろん|「進化論」は、生物が長い時間をかけて変化し、多様な種が生まれたとする理論です。ダーウィンが提唱したことで有名です。生物学の分野で使われる学術用語で、学校教育でも教えられます。
進呈|しんてい|「進呈」は品物を相手に差し上げることを意味するフォーマルな表現です。商品のおまけやノベルティなどを「進呈します」と言います。
進学校|しんがくこう|主に大学進学を目的として、高い学力水準を目指す教育を行う学校を指します。日本では高校に対して使われることが多いです。
進展|しんてん|物事が前へ進み、新しい段階や状態に達すること。交渉、研究、人間関係など幅広く使える。
進捗|しんちょく|「進捗」は仕事や計画がどの程度進んでいるかを表す言葉です。ビジネスシーンで非常によく使われ、「進捗状況」「進捗報告」などの形で用いられます。作業の進行度合いを客観的に示す際に便利な表現です。
進撃|しんげき|敵に向かって勢いよく進んで攻撃することです。軍事用語ですが、比喩的に目標に向かって積極的に進む意味でも使われます。
進数|しんすう|数を表現するための基数の方式を指します。日常では十進法が使われますが、コンピューターでは二進法や十六進法も使われます。
進歩|しんぽ|物事がより良い方向に進んでいくことを意味します。技術や科学の分野でよく使われます。
進歩的|しんぽてき|
進級|しんきゅう|学校などで、次の学年や段階に上がることを指します。試験や単位の取得が条件となることが多いです。
進行|しんこう|「進行」は、物事が前に進むことや、計画や作業が順調に進むことを意味します。物理的な前進のほか、病気の悪化や事件の進展、工事の進捗など、様々な場面で使われる幅広い言葉です。
進行方向|しんこうほうこう|乗り物や人が進んでいる方向を意味する。電車や飛行機などの移動手段について話す際に使われる。ややフォーマル。
進行状況|しんこうじょうきょう|物事の進み具合や到達度を表します。プロジェクトや作業の経過報告などでよく使われるビジネス用語です。
進言|しんげん|目上の人に対して意見や提案をすることです。ビジネスや政治の場面で敬意を込めて使います。
進路|しんろ|進んでいく道や方向、特に将来の進学や就職などの人生の方向性を指します。学校やキャリアの文脈でよく使われます。
進路指導|しんろしどう|学校で生徒の将来の進学や就職についてアドバイスする教育的な活動を指します。主に教育現場で使われる正式な用語で、キャリア教育の一環です。
進退伺い|しんたいうかが|「進退伺い」は、責任を取って辞職する意思を示す手続きや申し出のことです。
進退問題|しんたいもんだい|「進退問題」は、立場や地位を続けるか辞めるかの重大な岐路に立たされる問題を指します。特に政治家や経営者など、責任ある立場の人が不祥事や失敗を起こしたときに使われることが多いです。
進駐|しんちゅう|「進駐」は軍隊がある地域に進み入り駐屯することを意味します。歴史的・軍事的な文脈で使われることが多く、日常会話ではあまり使いません。
逸す|いっ|「逸す」は、チャンスやタイミングを逃すこと、または目標を外すことを意味する文語的な動詞です。短い形で、「チャンスを逸する」のように使います。「いっす」と読みます。
逸る|はや|逸るは「気持ちが急いて落ち着かない」「焦って早まってしまう」という意味の動詞です。何かを待ちきれずに、心が前のめりになってしまう状態を表します。「逸る気持ちを抑える」という形でよく使われます。
逸れる|そ|「逸れる」は、本来進むべき道や目標、話題から外れてしまうことを意味する自動詞です。物理的な方向の逸脱から、話題や注意の抽象的な逸脱まで幅広く使います。他動詞は「逸らす（そらす）」です。
逸品|いっぴん|「逸品」は、特に優れた品質や価値を持つ一品を指します。美術品や工芸品、料理など、素晴らしいものに対して賞賛の気持ちを込めて使われます。
逸材|いつざい|群を抜いて優れた才能や人材。会社や組織にとって価値のある人材を称賛する言葉で、採用や評価の文脈で使われます。
