亲切|qīnqiè|Warm / Cordial
熟人|shúrén|Acquitance
成语|chéngyǔ|Idiom / Set phrase
风俗|fēngsú|Social custom
生人|shēngrén|A stranger
睁开眼睛|zhēngkāi yǎnjīng|Open eyes
闭上眼睛|bìshàng yǎnjīng|Close eyes
乱七八糟|luànqībāzāo|In a mess
墙角|qiángjiǎo|Corner of the wall
废纸|fèizhǐ|Waste paper
衣柜|yīguì|Wardrobe
辣椒|làjiāo|Hot pepper / Chili
篮子|lánzi|Basket
摇头|yáotóu|Shake ones head
赶紧|gǎnjǐn|Quickly / Immediately
难过|nánguò|To feel bad / be distressed
想不通|xiǎng bu tōng|Cannot understand / be confused about
功夫|gōngfu|Kung fu
学费|xuéfèi|Tuition fee
口水|kǒushuǐ|Saliva / Slobber
导游|dǎoyóu|Tour guide
儿媳妇|Er xífù|Daughter in law / Wife (if no 儿)
饭菜|fàncài|Meal / Food
婆婆|pópo|Mother in law / mother of ones husband
公公|gōnggong|Father in law / father of ones husband
电子邮箱|diànzǐ yóuxiāng|Email address
笑脸|xiàoliǎn|Smiling face
香味|xiāngwèi|Aroma / Sweet smell
轮|lún|Take turns
烧|shāo|Boil / Burn
浴巾|yùjīn|Bath towel
灭|miè|To go out (a light, fire etc)
巴掌|bāzhang|Palm / Slap
明信片|míngxìnpiàn|Postcard
金字塔|jīnzìtǎ|Pyramid
小时候|xiǎoshíhou|Childhood
小子|xiǎozi|Boy / Chap / Guy
难忘|nánwàng|Unforgettable / Memorable
飞吻|fēiwěn|Blow a kiss / kiss ones hand to
一刻|yíkè|A moment / A little while
高考|gāokǎo|College entrance examination
班主任|bānzhǔrèn|Teacher in charge of class
纪念品|jìniànpǐn|Souvenir
微笑|wēixiào|Smile
额头|étóu|Forehead
掌声|zhǎngshēng|Applause
激动|jīdòng|Be excited
眼泪|yǎnlèi|Tear
各种各样|gè zhǒng gè yàng|Various / All kinds of
整天|zhěngtiān|Whole day / All day long
受不了|shòu bu liǎo|Cannot stand or bear
平安|píng'ān|Safe
温柔|wēnróu|Gentle
填|tián|Fill
善良|shànliáng|Kind / Kind-hearted
童年|tóngnián|Childhood
蚂蚁|mǎyǐ|Ant
摘|zhāi|Pick
醒来|xǐng lái|Wake up / Waken / Awaken
从此|cóngcǐ|From then on
有趣|yǒuqù|Interesting
初级|chūjí|Beginner level
借书卡|jièshūkǎ|Library card
延长|yáncháng|To extend
表格|biǎogé|Form / Table
国籍|guójí|Nationality
操场|cāochǎng|Playground
寂寞|jìmò|Lonely
高中|gāozhōng|Senior secondary soon
幽默|yōumò|Humerous
照相|zhàoxiàng|To take a photo
耳机|ěrjī|Earphone
自助餐|zìzhùcān|Buffet
炒饭|chǎofàn|Fried rice
饭卡|fànkǎ|Meal card
麻|má|Numb
搬家|bānjiā|Move house
找钱|zhǎo qián|To give change
说法|shuōfǎ|Expression
农贸市场|nóngmào shìchǎng|Farmers market
睡过头|shuì guòtóu|To oversleep
开机|kāijī|To power on the mobile phone
关机|guānjī|To power off mobile phone
奶奶|nǎinai|Grandmother
放学|fàngxué|To get out of school
打字|dǎzì|To type
想起来|xiǎng qǐlái|To bring something to mind
孙子|sūnzi|Grandson
附件|fùjiàn|Attachment (email)
摔|shuāi|To break / to cause to fall and break
雨伞|yǔsǎn|Umbrella
淋湿|línshī|To be soaked / To get wet
厕所|cèsuǒ|Bathroom / Toilet
倒数|dàoshǔ|Count down
U盘|U pán|USB Disk
期末考试|qīmò kǎoshì|Final examination / End of term examination
期中考试|qīzhōng kǎoshì|Midterm examination
奖学金|jiǎngxuéjīn|Scholarship
笔试|bǐshì|Written examination
口试|kǒushì|Spoken examination
的话|dehuà|Means "If" at end of sentence
充电器|chōngdiànqì|Charger
记住|jìzhù|Remember / Learn by heart
野餐|yěcān|Picnic
优美|yōuměi|Beautiful / Graceful / Fine
零食|língshí|Snack
外衣|wàiyī|Coat / Outer garment
化装|huàzhuāng|Make up
讲座|jiǎngzuò|Lecture
保安|bǎo'ān|Security guard / Security personnel
脸色|liǎnsè|Complexion / Face
夜里|yèlǐ|Night / Nightime
楼上|lóushàng|Upstairs
弹|tán|To play (eg musical instrument)
钢琴|gāngqín|Piano
楼下|lóuxià|Downstairs
师傅|shīfu|Polite title for master workers / Master
社区|shèqū|Community
赶快|gǎnkuài|Quickly / Immediately
撞|zhuàng|Bump against / Crash
豆腐|dòufu|Toufu
随便|suíbiàn|Do as one pleases
看来|kànlái|It seems / It looks (as if)
尽快|jǐnkuài|As soon as possible
五星级|wǔ xīngjí|Five star (hotel, restaurant)
标准间|biāozhǔnjiān|Standard room (in hotel)
收费|shōufèi|Charge / Collect fees
照相馆|zhàoxiàngguǎn|Photo studio
洗发水|xǐfàshuǐ|Shampoo
袋|dài|Packet
洗衣粉|xǐyīfěn|Washing powder
身高|shēngāo|Height
下决心|xià juéxīn|To make up ones mind
镜子|jìngzi|Mirror
里发|lǐfà|To get a haircut
退烧|tuì shāo|To bring down a fever
流鼻涕|liú bíti|To have a running nose
拉肚子|lā duzi|Diarrhea / have loose bowels
化验|huàyàn|To test
得病|débìng|To get sick
外科|wàikē|Surgical department
嗓子|sǎngzi|Throat
打喷嚏|dǎ pēnti|To sneeze
通气|tōngqì|To ventilate
取款机|qǔkuǎnjī|ATM
到期|dàoqī|To become due
乘客|chéngkè|Passenger
动物园|dòngwùyuán|Zoo
播放|bōfàng|To broadcast
本科生|běnkēshēng|Undergraduate student
小伙子|xiǎohuǒzi|Young man
皮鞋|píxié|Leather shoes
原价|yuánjià|Original price
收款台|shōukuǎntái|Cashier
机场大巴|jīchǎng dàbā|Airport bus
起飞|qǐfēi|To take off
往返票|wǎngfǎn piào|Round trip ticket
头等舱|tōuděngcāng|First class cabin
单程票|dānchéng piào|One way ticket
经济舱|jīngjì cāng|Economy cabin
列车|lièchē|Train
发车|fāchē|To dispatch or send off a vehicle
退票|tuì piào|To get a refund for a ticket
来得及|láidejí|To be in time
车厢|chēxiāng|Railway carriage
来不及|lái bu jí|To be too late
售票员|shòupiàoyuán|Ticket seller
开往|kāiwǎng|To leave for / To be bound for
稍等|shāo děng|Wait a moment / Wait a second
单人间|dānrénjiān|Single room
手续|shǒuxù|Procedure / Formalities (hotel checkin)
旅行社|lǚxíngshè|Travel agency
半天|bàntiān|A long time
双人间|shuāngrénjiān|Double room
走道|zǒudào|Pavement / Sidewalk
造句|zàojù|Make a sentence
自然灾害|zìránzāihài|natural disaster
光辉|guānghuī|Radiance / Brilliance&nbsp;
体会|tǐhuì|Realize / Know through experience
家务|jiāwù|Housework
繁琐|fánsuǒ&nbsp;|Tedious / Mired in minor details
细菌|xìjūn|Germ / Bacterium
火柴|huǒchái|Match (to light fires)
体积|tǐjī|Volume / Bulk (ie size of something）
维生素|Wéishēngsù|Vitamin
纤维|xiānwéi|Fiber (in food)
皮肤|pífū|Skin
进攻|jìngōng|Attack (militarily)
击退|jītuì|To beat back / to repel
命运|mìngyùn|Fate / Destiny
读者|dúzhě|Reader
情节|qíngjié|Plot (to a film or book)
外面多舒服|Wàimiàn duō shūfú!|It's so nice outside!
我还好|Wǒ hái hǎo|I'm OK
让我来吧||Let me do it
你来！||You do it!
针头|zhēntóu|Pinhead / Needle head
准|zhǔn|Correct / Accurate
闹笑话|nào xiàohua|To Make a Fool of Oneself / To Cause LaughterNuance闹笑话 is a colloquial verb phrase that describes the act of making a silly mistake, saying something inappropriate, or doing something embarrassing tha
被子|bèizi|Quilt
