期待感|きたいかん|これから良いことが起こるだろうという予想や望みの気持ちを指します。
期日|きじつ|あらかじめ決められた特定の日や期限を指します。ややフォーマルな表現です。
期日までに債務を弁済した|べんさい|あらかじめ決められた特定の日や期限を指します。ややフォーマルな表現です。
期末試験|きまつしけん|学期の終わりに行われる試験のことです。主に学校で使われる表現で、学期末に成績を評価するために実施されます。
期間|きかん|あることが始まってから終わるまでの時間の長さや区切りを指します。契約やイベント、作業など様々な場面で使われます。
期限|きげん|物事を行うための最終的な期日や限界を指します。
朦朧|もうろう|意識や記憶、景色などがぼやけてはっきりしない様子。睡眠不足や酔いなどでも使う。
朧げ|おぼろ|「朧げ」は、物事のはっきりしない、ぼんやりとした様子を表す形容動詞です。記憶や印象が曖昧な時に使われます。
木こり|き|「きこり」と読み、山林で木を伐採する職業の人を指します。童話や昔話にもよく登場する伝統的な職業で、現代では林業従事者と呼ばれることが多いです。
木っ端|こっぱ|木っ端は、元々は木の切れ端や薪の破片を指しますが、転じて取るに足らない小さな存在や端役を比喩的に表します。「木っ端微塵」のような形で粉々になる表現にも使われます。
木っ端微塵|こっぱみじん|物が細かく砕けて粉々になる様子を表す強調表現です。物理的な破壊だけでなく、計画や希望が完全に壊れる比喩的な使い方もされます。
木にとっては枝は人間の手足に相当する。&nbsp;|そうとう|「枝」は、木の幹から分かれて生えている部分を指す基本的な名詞です。物理的な木の枝のほか、比喩的に「枝葉末節」「枝分かれ」「家系の枝」などの複合語でも使われます。鉄道の「支線」や道路の「枝道」も「枝」の概念から来ています。非常に基本的で日常的な語ですが、比喩表現のバリエーションが豊かなのも特徴です。
木の葉がそよ風にゆれている|かぜ|穏やかで優しく吹く風のこと。春夏の爽やかな情景を連想させる、詩的で心地よい響きのある言葉。
木の葉がひらひらと落ちたの。|お|薄いものが風に揺れたり、軽やかに舞い落ちる様子を表す擬態語です。蝶や花びら、紙片などの動きに使われます。同じ形の繰り返しで軽快なリズム感があります。
木偶の坊|でくのぼう|木偶の坊は、木彫りの人形のように、自分で考えて行動できない無能な人を罵る言葉です。人形が動かないことから転じて、主体的な判断ができず、ただ言われるままに動くだけの人を強く批判するときに使われます。かなり強い侮蔑語なので、使用には注意が必要です。現代ではやや古めかしい表現で、冗談めかして使われることもあります。
木剣|ぼっけん|「木剣」は「ぼっけん」と読み、木で作られた日本刀の形をした稽古用の剣。剣道や居合道の稽古で使われる。真剣より安全だが、当たると痛い。木刀ともいう。「ぼけん」とは濁らない。
木彫り|きぼ|「木彫り」は、木を彫って造形する伝統工芸のこと。手作業で細部を丁寧に仕上げるイメージが強い。
木戸|きど|木で作られた門や出入り口を指します。伝統的な日本家屋や神社仏閣などに見られる、やや古風な響きのある言葉です。
木星|もくせい|「木星」は、太陽系で最も大きな惑星を指します。五番目の惑星で、ガス惑星に分類されます。天文や科学の文脈で使われることがほとんどで、日常会話ではあまり出てきませんが、名前自体はよく知られています。
木枯らし|こが|木枯らしは「晩秋から初冬にかけて吹く冷たい強風」を意味します。冬の訪れを知らせる風として、文学や天気予報でよく使われます。風が木々の葉を吹き散らす様子を表し、もの寂しい季節感を伴います。気象用語でもあります。
木槌|きづち|主に木で作られた槌（ハンマー）です。工事、料理（肉を叩く）、彫刻、または木工など様々な用途で使われる道具です。
木漏れ日|び|
木炭|もくたん|「木炭」は、木材を蒸し焼きにして作った炭です。バーベキューや絵画の画材として使われる日常的な言葉です。
木版|もくはん|「木版」は、木の板に文字や絵を彫り、それにインクを付けて紙に刷る印刷技術や、その版そのものを指します。日本の伝統的な浮世絵も木版画です。美術や印刷の分野で使われる専門用語です。
木目|きめ|「木目」は、木材の表面に見える天然の模様を指します。また、比喩的に肌のきめ細かさを表す「肌の木目」という使い方もされます。日本語では「木目が細かい」という表現がよく使われます。
木立|こだち|立ち並んでいる木々の群れ。森より小さく、庭や公園の一画にある木の集まりを指す。
木管楽器|もっかんがっき|木で作られた管楽器の総称です。フルート、クラリネット、オーボエ、ファゴットなどが含まれます。
木箱|きばこ|木材で作られた箱のことで、物を収納したり運搬したりするために使われます。頑丈で実用的な印象があります。
木簡|もっかん|「木簡」は、古代の日本や中国、朝鮮などで使用された木製の細長い札で、墨で文字が書かれているものです。日本では主に奈良時代から平安時代にかけて、役所での荷札や連絡文書、練習用の書き付けなどとして広く使われました。平城京跡やその他の遺跡から数多く出土しており、当時の文字文化や行政システム、生活を知る上で極めて重要な歴史資料です。歴史や考古学に関する文脈で登場する専門用語です。
木綿|もめん|木綿は綿花から作られる天然繊維で、「綿（わた）」とも呼ばれます。衣料品や布製品で最も一般的な素材の一つで、肌触りが良く吸湿性に優れています。「木綿」と書いて「もめん」と読む点に注意が必要です。
木霊|こだま|山や谷で声が反響すること、またその声。古くは樹木の精霊が返す声と信じられていた。文学的で詩的な響きを持つ。
木馬|もくば|「木馬」は、木で作られた馬の形をしたものです。子供のおもちゃの揺り木馬や、トロイの木馬を指すこともあります。
未だしも|ま|「未だしも」は、二つの物事を比較して「Aならまだ許せるが、Bはもっとひどい」という意味を表す文法表現です。Aは理想的ではないがBよりはましだ、という判断を示します。多くの場合「〜ならまだしも」の形で使われ、否定的な評価の文脈で登場します。書き言葉的で、少し硬い印象です。
未だに|いま|
未亡人|みぼうじん|「未亡人」は夫と死別した女性を指します。公式な書類や法律の文脈で使われる正式な表現ですが、日常会話ではやや重い響きがあるため、状況によっては「夫を亡くした女性」と言い換えられることもあります。
未婚|みこん|結婚をしていない状態を指す言葉です。主に公的な書類やフォーマルな場面で使われることが多いです。
未完（の）|みかん|物事が完成していない状態を表します。芸術作品や建築物など、完成が予定されていたものが途中で終わっている場合に使われます。
未定義(動作)|どうさ|言葉や概念の意味を明確に定めること、またはその定められた内容を指します。学術的・技術的な文脈でよく使われます。
未定（の）|みてい|「未定」は、まだ決まっていないことや確定していない状態を指します。スケジュールや計画について話すときによく使われ、日常会話でもビジネスでも頻繁に登場する便利な言葉です。
未成年者|みせいねんしゃ|法律上、成年に達していない人のことを指します。日本では20歳未満が該当します。
未明|みめい|夜明け前のまだ暗い時間帯。だいたい午前零時から明け方までを指すが、特に午前三時から四時頃の最も暗い時間帯をイメージすることが多い。
未曾有|みぞう|
未来について考えると、ありとあらゆる方向で頭が混乱するばかりだ|こんらん|「ありとあらゆる」は存在する全てのもの、考え得る全ての種類を強調する表現です。強調の度合いが強く、完全な網羅性を示します。
未来像|みらいぞう|「未来像」は「みらいぞう」と読み、将来の社会や自分の姿について描くイメージやビジョン。理想的な未来の姿を想像したもの。
未満|みまん|ある数量や基準に達していないことを示す言葉で、含まないという意味があります。法律や規則、数量表現でよく使われます。
