空想|くうそう|Imagination / Fantasy
巻き返す|まき かえす|To rally / comeback
恒例|こうれい|Customary / Established practice /　Usual
街中|まちじゅう|The whole town
はみ出す|はみ だす|To be forced out / To be crowded out / To jut out (of bounds)
ひとしきり|ひとしきり|For a while
聴講|ちょうこう|Lecture attendance
知略|ちりゃく|"strategy," "tactics," or "cunning."Nuance:This term describes intellectual clev
触れ合い|れふれあい|Contact / Touch
食品会社による擬装が問題になっている|しょくひんがいしゃによる ぎそうが もんだいになっている|deception by food companies is becoming a problem
刺青|しせい|Another reading for tattoo / いれずみ
あるまじき|あるまじき|Unworthy / Unbecoming / Unproper
申告漏れ|しんこくもれ|undeclared income; unreported earnings; unreported income
投函|とうかん|To post (a letter); to mail; to drop into a postbox.Nuance:"投函"
 specifically re
御用達|ごようたつ|company (or restaurant, place, etc.) that caters to or is popular with a specifi
一房|ひとふさ|1. one tuft (of hair, threads, etc.)2. one bunch (of grapes, bananas, etc.), one
何糞|なにくそ|damn it!, dang it!
愛想笑い|あいそわらい|愛想笑い（あいそわらい）means a "forced smile," 
"polite laugh," or "socially obligatory chu
出棺|しゅっかん|carrying out a coffin, funeral procession
瞬発|しゅんぱつ|instantaneous
腹ごなし|はらごなし|walking or light activity after a meal; digestion exercise; light exercise to ai
懲らしめる|こらしめる|to chastise, to punish, to discipline
常備|じょうび|To keep around
吹き込む|ふき こむ|Infuse / Plot / Inspire (thoughts)
煎餅布団|せんべいぶとん|A flattened futon (after time. Senbei is that flat food sensei recommends)
消息不明|しょうそくふめい|Go missing / whereabouts unknown (like 行方不明)
たどたどしい|たどたどしい|With difficulty / Awkward
葛藤|かっとう|Conflict / Complication / Troubles / Discord
透過|とうか|Penetration (color!)
手合わせをする|てあわせをする|to have a match, game
過多|かた|Excess / Superabundance
その記事は8回にわたって新聞に連載された。|その きじは  かいにわたって しんぶんに れんさいされた|The articles appeared serially in the newspaper over eight issues (lit., extendi
包囲|ほうい|Encirclement / Siege
退避|たいひ|Evacuation / Refuge
彼はテストで満点を取って有頂天になった|かれはで まんてんを とって うちょうてんになった|He was over the moon when he got a perfect score on the test
地面にぽっかり穴があいていました|じめんにぽっかり あながあいていました|A big hole appeared in the ground
凶悪|きょうあく|Atrocious / Fiendish / Brutal / Villainous
探訪|たんぼう|searching; hunting for news story; journalist
庇護|ひご|patronage; protection
笠に着る|かさに きる|to wear the mantle of (borrowed) authority and misuse it
無分別|むふんべつ|無分別（むふんべつ）means "reckless," 
