肥満|ひまん|Obese / Overweight
漢和|かんわ|Chinese and Japanese
味醂|みりん|mirin; type of sweet rice wine used in cooking
手間取る|てまどる|To meet unexpected difficulties / to take time / to be delayed
流言|りゅうげん|groundless rumor
又もや|またもや|1. once again, yet again2. 再次, 一遍, 再度
門戸開放政策|もんこかいほうせいさく|Open door policy
頻繁に|ひんぱんに|Frequently / Incessantly (tell Japanese girls that they love them!)
源|みなもと|Source / Origin
定評|ていひょう|Established Reputation / Acknowledged authority (on some software etc)
山積み|やまづみ|Huge mound / Heap / Pile
白を切る|しろを きる|To feign ignorance / to pretend to be ignorant of
苦渋|くじゅう|Bitterness / Difficulty in understanding / distress
落とし前|としおとしまえ|money paid to settle a fight
被害妄想|ひがいもうそう|persecution complex; paranoia
紙片|しへん|piece (scrap, bit, strip) of paper
衝動|しょうどう|impulse, impetus, urge
泳がせる|およがせる|to let someone swim, to let someone go free
昼夜|ちゅうや|昼と夜
己|おのれ|One-self, thyself
仕事の見通しがたたない。|しごとの みとおしがたたない|There's no end in sight to my work.
本の|ほんの|Mere / Only / Just
屋根が雨漏りしている|やねが あまもりしている|The roof is leaking
通ずる|つうずる|Lead to
家捜し|やさがし|&nbsp;(1) (esp. やさがし) searching an entire house; (2) (esp. いえさがし) house-hunting
香しい|かぐわしい|sweet-smelling; scentful; fragrant
人知|じんち|human intellect; knowledge
冶金|やきん|metallurgy
ピカイチ||outstanding; standing out above the rest
内政|ないせい|domestic affairs (in politics); internal administration
とげ抜き|とげ ぬき|tweezers, forceps
くさび形|くさび がた|wedge shape
食べ物でむせる|べたべものでむせる|Swallow food the wrong way
暢達|ちょうたつ|Fluency / Facileness
肉をたらふく食う|にくをたらふく くう|to eat heartily of the meat
利権|りけん|interest, rights, concession
ぐにゃり|ぐにゃり|flabbily, softly, limply, easily (bend), effortlessly, flexibly, mushily
雲隠れ|くもがくれ|vanishing behind the clouds (e.g. of the moon), suddenly disappearing, going int
人種主義|じんしゅしゅぎ|Racism
応じる (iknow)|おうじる|Answer / Comply with
突然の質問にどきっとしたよ。|とつぜんの しつもんにどきっとしたよ|I was taken aback by the sudden question.
笑止千万|しょうしせんばん|Highly ridiculous / Quite absurd
題する|だいする|To be titled / To be named
既出|きしゅつ|Something previously covered (eg topic, question)
同業者|どうぎょうしゃ|Person in the same business / the profession / the trade
これは破天荒の快挙である|これは はてんこうの かいきょである|This is an unparallelled undertaking
酔眼朦朧|すいがんもうろう|one's eyes blurred from drinking; with drunken eyes; dazed by wine
一過性|いっかせい|transient (symptom, phenomenon), temporary, passing, fleeting
応じる|おうじる|応ずる相手の働きかけに対応して行動を起こす。こたえる呼びかけに返事をする。応答する物事の変化に合わせて、それにふさわしく対応する。適合するTo adapt
手入れ|ていれ|Care / Repairs
備え|そなえ|Provision / Preparation / Reserve
不意打ち|ふいうち|Suprise attack
歪む|いがむ|Be crooked&nbsp;
集大成|しゅうたいせい|Compilation
三人称|さんにんしょう|Third person (camera etc)
滅相もない|めっそうもない|don't be absurd, that's out of the question, nonsense, don't mention it
徹する|てっする|1. to penetrate, to sink in2. to devote oneself (to), to do intently and exclusi
雑煮|ぞうに|soup containing rice cakes and vegetables (New Year's dish)
門外不出|もんがいふしゅつ|(treasuring something by) never taking (it) off the premises
後塵|こうじん|trailing dust, dust left by someone running ahead
口喧しい|くちやかましい|1. nagging, critical2. talkative, gossipy
個展|こてん|solo exhibition, one-man exhibition, one-woman exhibition
推進 （する）|すいしんする|Promotion (recycling?)
罵る|ののしる|To speak ill of / to abuse / swear / curse / call X names
発足|ほっそく|Starting / Inauguration / Launch (the Asakura naikaku!)
論理積|ろんりせき|AND operation / logical product
敬服|けいふく|great admiration; deep respect
根に持つ|ねに もつ|to hold a grudge; to hold something against somebody
繁吹き|しぶき|splash; spray
ギクシャク||1. awkward (movements, speech, etc.), jerky, stiff, stilted2. strained (relation
外角|がいかく|Outside (Baseball)
憎悪|ぞうお|Hatred
操縦席|そうじゅうせき|Cockpit
夜中に電話がかかってくるのは甚だ迷惑だ|やちゅうに でんわがかかってくるのは はなはだ めいわくだ|It is very annoying when someone calls in the middle of the night
人相書き|にんそうがき|Personal description
課金|かきん|Charges / Billing
多勢に無勢|たぜいに ぶぜい|being outnumbered (e.g. in a military context)
被後見人|ひこうけんにん|ward (of the court)
悩ましい|なやましい|Seductive / Enchanting
逸話|いつわ|Anecdote
咥える|える|To hold in ones mouth ... again! another kanji
提示|ていじ|To present / production
風がぴたりと止んだね。|かぜがぴたりと やんだね|The wind suddenly died down.
鱗|うろこ|Scale (of fish)
放火魔|ほうかま|pyromaniac
勤勉|きんべん|Diligence / hard work (iknow word)
土砂降り|どしゃぶり|Downpour / rained in buckets
安泰に暮らす|あんたいに くらす|Live in security
有り気|りありげ|Appearing like / Seeming to be
熱中している|ねっちゅうしている|Keen / Zealous / Crazy / Absorption / Enthusiasm
託宣|たくせん|oracle
やり込み|やり こみ|self-imposed challenge (e.g. speedrun, 100% completion, no deaths)
遠投|えんとう|long throw
定規|じょうぎ|(measuring) Ruler
退却|たいきゃく|Retreat / Withdrawel / Retirement
先生に怒られたってへっちゃらだい。|せんせいに おこられたってへっちゃらだい|I couldn't care less if the teacher is mad at me.
耳打ち|みみうち|whispering into a person's ear
定命|じょうみょう|{Buddh} (See 寿命) one's predestined length of life; (2) (ていめい only) destiny; fate
居間|いま|Living Room
厚生労働省|こうせいろうどうしょう|Ministry of health, labour and welfare
気を取られる|きを とられる|To have ones attention taken away / To be preoccupied with
門下生|もんかせい|Pupil / Disciple / Follower
純然|じゅんぜん|absolute; complete; utter; pure; sheer
凄み|すごみ|1. ghastliness, dreadfulness, grimness, weirdness2. intimidation, menace, threat
吝か|やぶさか|reluctant, hesitant
情勢|じょうせい|State of things / situation
浴衣|ゆかた|Kanji for Yukata
臨機応変|りんきおうへん|Ad-Hoc / Winging it / Playing it by ear / adapting onself to the requirements of
入り乱れる|りいりみだれる|To be jumbled together
～ともあろう Grammar|ともあろう|Is the same as たる, can think of "so called", or just という
土嚢|どのう|Sandbag
進呈|しんてい|presentation (e.g. of a gift)
往来|おうらい|coming and going; traffic; (n) (2) road; street
如実知見|にょじつちけん|perceiving reality as it is, true awareness of reality
事足りる|ことたりる|to suffice, to serve the purpose, to be satisfied
席順|せきじゅん|Seating order / arrangement
条約|じょうやく|Treaty
思い込む|いおもいこむ|Assume / Believe
文部科学省|もんぶかがくしょう|Ministry of education / culture / sports / science and technology (MEXT)
積乱雲|せきらんうん|Cumulonimbus cloud
