幾日|いくにち|多くの日数、何日も。はっきりとした日数ではなく、かなりの期間を表す。
幾星霜|いくせいそう|
幾重|いくえ|幾重は、何層にも重なっている様子や、何度も繰り返されることを表します。物理的な重なりだけでなく、比喩的にも使われます。
庁舎|ちょうしゃ|
広い土地があるといえども、田舎なので不動産の価値はない。|かち|物の値段や値打ち、あるいは物事の重要さを表す言葉です。「価値」「価格」などの複合語の構成要素としても使われます。
広い平野が一面雪で真っ白でした。|まっしろ|能楽や仮面劇で使う「お面」、または物事の「側面・局面」を指す多義語。ここでは「顔」の意味でも使われる。
広める|ひろ|情報や知識、考えなどを多くの人に知らせることです。
広告|こうこく|「広告」は、商品やサービス、企業の情報を多くの人に知らせるための宣伝活動を指します。テレビCM、新聞広告、インターネット広告など様々な媒体があります。現代社会では欠かせないビジネス手段です。
広告塔|こうこくとう|広告塔は、商工会の宣伝や広告を掲示するための塔や看板を指しますが、比喩的には企業や団体の顔として広告や宣伝活動を行う人（タレントや有名人）を指すことも多いです。特に「宣伝塔」とほぼ同義で、人の「顔」としてのイメージが強い言葉です。
広報|こうほう|組織の情報を外部に公表・宣伝する活動や、その担当部署。「広報誌」「広報課」など自治体や企業で定番の語。
広報係り|かか|組織や団体の中で、外部への情報発信やメディア対応を担当する役職を指します。企業や官公庁、イベントなどで使われる実務的な言葉です。
広報担当者|こうほうたんとうしゃ|「広報担当者」は、企業や組織において、対外的な情報発信やメディア対応、広報活動を担当する人のことです。プレスリリースの作成や記者会見の運営、SNSでの情報発信など、幅広い業務を行います。
広報活動|こうほうかつどう|
広場は興奮でわきたった。|こうふん|感情が高ぶって落ち着かない状態。喜びや驚きなどで心が激しく動くこと。
広大（な）|こうだい|「広大な」は、面積や範囲が非常に広い様子を表す形容動詞です。土地や海、宇宙などの物理的な広がりに使われるほか、「広大な知識」のように比喩的にも使われます。規模の大きさを客観的に表現する語です。
広東語|かんとんご|広東語は、中国広東省や香港などで話されている中国語の方言です。標準語（北京語）とは発音や語彙が大きく異なります。香港映画や音楽を通じて国際的にも知られています。
