斗士|dòushì|NOUN fighter (for a cause); warrior
强制|qiángzhì|VERB force; compel; coerce &#19981;&#33021;&#24378;&#21046;&#20154;&#20204;&#25509;&#21463;&#19968;&#31181;&#33402;&#26415;&#39118;&#26684;&#25110;&#19968;&#31181;&#23398;&#27966;&#12290; B&#249; n&#2
觅食|mìshí|VERB (of birds, beasts, etc.) look (or hunt) for food; feed
人偶|rén'ǒu|Doll; puppet; figurine.Nuance: 人偶 refers to a human-shaped figure, which can be a toy, decorative object, or puppet used for performance. The term emphasizes the human form of the object rather than i
抵挡|dǐdǎng|to resist; to withstand; to hold backNuances:This term describes active, often physical resistance against force, pressure, or influence. It implies a defensive effort to block or endure something inv
虎背熊腰|hǔbèi-xióngyāo|IDIOM have a back like a tiger's and a waist like a bear's&#8212;tough and stocky
尽收眼底|jìnshōu-yǎndǐ|To take in the whole scene at a glance; to have a panoramic view.Nuance尽收眼底 is a vivid four-character idiom that describes a vantage point from which everything in view can be seen clearly and complet
驰骋|chíchěng|VERB gallop &#39536;&#39563;&#25991;&#22363; ch&#237;ch&#283;ngw&#233;nt&#225;n bestride the literary stage; outstanding in the world of letters; a literary giant &#39536;&#39563;&#22312;&#36797;&#384
仰望|yǎngwàng|VERB 1&#9;look up at &#20208;&#26395;&#26143;&#31354; y&#462;ngw&#224;ng x&#299;ngk&#333;ng look up at the starlit sky 2&#9;LITERARY respectfully seek guidance or help from; look up to
本应|běnyīng|should have; ought to have
容身|róng//shēn|to take shelter; to find a place to stay; a place to liveNuances:容身 often implies finding temporary or basic shelter, sometimes with a sense of hardship or barely having enough space to exist. It can 
苍|cāng|ADJECTIVE 1&#9;dark green (or blue) &#33485;&#26494; c&#257;ngs&#333;ng green pines 2&#9;grey; ashen &#33485;&#39663; c&#257;ng r&#225;n a grey beard
虚空|xūkōng|ADJECTIVE hollow; void
扭头|niǔ//tóu|to turn one's headNuances:This term describes the physical act of turning the head, often abruptly or with purpose. It can convey emotions like indifference, defiance, curiosity, or a deliberate avoid
幼儿园|yòu'éryuán|kindergarten; nursery (or infant) school; day-care centre
帮手|bāngshou|NOUN helper; assistant &#38599;&#24110;&#25163; G&#249; b&#257;ngshou engage a helper &#20182;&#26159;&#25105;&#30340;&#24471;&#21147;&#24110;&#25163;&#12290; t&#257; sh&#236; w&#466; de d&#233;l&#236
生机|shēngjī|Vitality; life force; signs of life; opportunity for survivalNuance“生机” refers to vital energy, liveliness, or the possibility of life and renewal. It can describe natural scenes full of growth, a per
重获|chónghuò|To Regain / To Reacquire / To Get BackNuance重获 is a verb that means to obtain something again after having lost it or been without it for a period. The prefix "重" (re-) emphasizes the restoration or r
熏香|xūnxiāng|Incense; aromatic smoke; to burn incenseNuance“熏香” refers to fragrant smoke produced by burning incense, as well as the practice of burning it. The term carries connotations of ritual, purification, s
沉睡|chénshuì|VERB be sunk in sleep; be fast asleep; be sound asleep &#27785;&#30561;&#30340;&#23156;&#20799; ch&#233;nshu&#236; de y&#299;ng'&#233;r slumbering baby
垂钓|chuídiào|VERB LITERARY fish with a hook and line; go angling
前来|qiánlái|To come; to arrive (formal or polite usage).Nuance: 前来 is a formal and somewhat literary term often used in official, written, or polite spoken contexts. It conveys a sense of respect or ceremony, typ
蒙骗|mēngpiàn|VERB deceive; cheat; hoodwink; delude &#33945;&#39575;&#39038;&#23458; M&#275;ngpi&#224;n g&#249;k&#232; cheat customers &#33945;&#39575;&#38065;&#36130; m&#275;ngpi&#224;n qi&#225;nc&#225;i swindle s
鸟瞰|niǎokàn|NOUN general survey of a subject; bird's-eye view &#24066;&#26223;&#40479;&#30640; sh&#236; j&#464;ng ni&#462;ok&#224;n bird&#8217;s-eye view of the city &#21476;&#20195;&#21490;&#40479;&#30640; g&#46
美景|měijǐng|NOUN beautiful scenery (or landscape); fine view &#32654;&#26223;&#33391;&#36784; m&#283;ij&#464;ngli&#225;ngch&#233;n beautiful scenery and a pleasant time; enjoyable situation &#35199;&#28246;&#3265
展望|zhǎnwàng|VERB 1&#9;look into the distance; gaze out &#30331;&#19978;&#23665;&#39030;&#21521;&#22235;&#21608;&#23637;&#26395; D&#275;ng sh&#224;ng sh&#257;nd&#464;ng xi&#224;ng s&#236;zh&#333;u zh&#462;nw&#224;
贯注|guànzhù|To concentrate; to focus; to pour one’s energy into.Nuance: 贯注 refers to directing all attention, energy, or effort toward a particular task, object, or goal. It conveys a strong sense of immersion an
费解|fèijiě|ADJECTIVE hard to understand; obscure; unintelligible &#36825;&#27573;&#25991;&#31456;&#23454;&#22312;&#36153;&#35299;&#12290; Zh&#232; du&#224;n w&#233;nzh&#257;ng sh&#237;z&#224;i f&#232;iji&#283;. 
搭话|dā//huà|VERB 1&#9;make conversation; get a word in &#21313;&#20960;&#20010;&#24180;&#36731;&#20154;&#22260;&#30528;&#20182;, &#25250;&#30528;&#36319;&#20182;&#25645;&#35805;&#12290; Sh&#237;j&#464; ge ni&#225
古话|gǔhuà|NOUN old saying &#21476;&#35805;&#35828;, &#26377;&#24535;&#32773;&#20107;&#31455;&#25104;&#12290; G&#468; hu&#224; shu&#333;, y&#466;uzh&#236;zh&#283; sh&#236; j&#236;ngch&#233;ng. As the old saying 
遵从|zūncóng|to comply with; to obey; to followNuances:This formal term implies willingly adhering to rules, orders, or principles, often out of respect for authority, regulations, or moral codes. It suggests a co
自古|zìgǔ|Since ancient times, from time immemorialNuance自古 is a literary and formal expression used to indicate that something has been the case from the earliest times up until the present. It often appears i
教诲|jiàohuì|VERB LITERARY teach; instruct &#35846;&#35846;&#25945;&#35826; zh&#363;nzh&#363;nji&#224;ohu&#236; earnest teachings
匀称|yúnchen|ADJECTIVE well-proportioned; well-balanced; symmetrical; in good proportion; even &#36523;&#26448;&#21248;&#31216; Sh&#275;nc&#225;i y&#250;nchen of proportional build &#23383;&#20889;&#24471;&#21248;
看呆|kàndāi|1&#9;to gape at 2&#9;to stare blankly 3&#9;to stare in rapture 4&#9;to stare in awe
人情味|rénqíngwèi|Human Touch / Warmth of Human ConnectionNuance人情味 is a noun that describes the quality of warmth, kindness, empathy, and consideration found in human relationships and social interactions. It refers t
忍俊不禁|rěnjùn-bùjīn|IDIOM cannot help laughing; can hardly suppress a smile &#20351;&#21548;&#20247;&#24525;&#20426;&#19981;&#31105; Sh&#464; t&#299;ngzh&#242;ng r&#283;nj&#249;nb&#249;j&#299;n evoke laughter from the li
谢词|xiècí|NOUN thank-you speech
闻名|wénmíng|ADJECTIVE well-known; famous; renowned &#38395;&#21517;&#20840;&#22269; w&#233;nm&#237;ngqu&#225;ngu&#243; well-known throughout the country &#19990;&#30028;&#38395;&#21517; sh&#236;ji&#232; w&#233;nm
冥福|míngfú|afterlife happiness
扫墓|sǎo//mù|VERB sweep a grave&#8212;pay respects to a dead person at his tomb
迷途|mítú|NOUN wrong path &#36208;&#20837;&#36855;&#36884; z&#466;u r&#249; m&#237;t&#250; go astray VERB (-//-) lose one's way &#40657;&#22812;&#20013;&#20182;&#36855;&#36884;&#20102;&#12290; h&#275;iy&#232; z
阁下|géxià|NOUN COURTEOUS Your (or His, Her) Excellency &#22823;&#20351;&#38401;&#19979; D&#224;sh&#464; g&#233;xi&#224; Your Excellency Mr. Ambassador or His Excellency the Ambassador
得力|dé//lì|VERB benefit from; get help from &#24471;&#21147;&#20110;&#21220;&#23398;&#33510;&#32451; d&#233;l&#236; y&#250; q&#237;nxu&#233;k&#468;li&#224;n profit from diligent study and practice &#25105;&#2447
恍然大悟|huǎngrán-dàwù|to suddenly understand; to have a sudden realizationNuances:This vivid idiom describes the moment when confusion clears and truth becomes apparent, like a lightbulb turning on. It emphasizes the abrup
连说带比划|Liánshuōdàibǐhua|talking and gesticulating
拾|shí|VERB 1&#9;pick up (from the ground); collect &#25342;&#26612; sh&#237;ch&#225;i collect firewood &#25342;&#40614;&#31319;&#20799; sh&#237; m&#224;isu&#236;r glean wheat &#25342;&#21040;&#19968;&#20010
拐角|guǎijiǎo|Corner (of a street or building)Nuance拐角 is a noun that refers to the corner of a street, road, or building—the point where two paths or walls meet and change direction. It is a common, everyday term 
邮筒|yóutǒng|pillar-box; postbox; mailbox
心情舒畅|xīnqíngshūchàng|have ease of mind; feel happy
情报网|qíngbàowǎng|intelligence network
曝光|bào//guāng|To Expose / To Reveal / Exposure (in media or photography)Nuance曝光 is a versatile term with meanings in both literal and figurative contexts. In its original, technical sense, it refers to "exposure" 
动用|dòngyòng|To Employ / To Utilize / To Draw Upon (resources)Nuance动用 is a verb that refers to the act of using or mobilizing resources, especially those that are significant, reserved, or not normally used. It i
贺喜|hè//xǐ|To congratulate; to offer congratulations; congratulationsNuance“贺喜” is a warm, celebratory expression used to convey congratulations on a joyful event such as marriage, childbirth, promotion, or succ
支气管炎|zhīqìguǎnyán|MEDICINE bronchitis
倾倒|qīngdǎo|to topple over; to pour out; to be smitten with (emotionally)Nuances:This term has three distinct meanings: physical collapse (like a falling object), literal pouring (of liquids or emotions), and met
喃喃自语|nánnánzìyǔ|mutter (or talk) to oneself
辅助|fǔzhù|VERB assist &#22810;&#21152;&#36741;&#21161; du&#333; ji&#257; f&#468;zh&#249; assist (sb.) as much as possible ADJECTIVE supplementary; auxiliary; subsidiary
以防万一|yǐfáng-wànyī|IDIOM be prepared for all contingencies; be ready for any eventuality &#20063;&#35768;&#19981;&#20250;&#19979;&#38632;, &#19981;&#36807;&#36824;&#26159;&#24102;&#25226;&#20254;, &#20197;&#38450;&#1997
疑惑不解|yíhuòbùjiě|feel puzzled; have doubts
吹拂|chuīfú|"To brush gently (of wind); to caress lightly" (describing a soft, soothing touch, usually by wind or air).Nuances:吹拂 (chuī fú) evokes a gentle, rhythmic motion, like a breeze stroking the skin or rus
小型|xiǎoxíng|ADJECTIVE small-size; small-scale; miniature &#23567;&#22411;(&#35745;&#31639;)&#26426; Xi&#462;ox&#237;ng j&#299; minicomputer &#23567;&#22411;&#30005;&#27744; xi&#462;ox&#237;ng di&#224;nch&#237; co
蔚蓝|wèilán|ADJECTIVE azure; sky-blue &#34074;&#34013;&#30340;&#28023;&#27915; w&#232;il&#225;n de h&#462;iy&#225;ng azure sea &#34074;&#34013;&#30340;&#22825;&#31354; w&#232;il&#225;n de ti&#257;nk&#333;ng brigh
兴致|xìngzhì|interest; enthusiasm; mood to enjoyNuances:This term describes a lively, eager desire to engage in an activity, often for pleasure. It implies a spontaneous or lighthearted willingness rather than ser
不为过|bùwéiguò|not excessive; not an overstatement; reasonableNuances:This phrase is used to justify an action or statement by asserting that it is within acceptable limits, often in defense of a strong opinion or m
俗称|súchēng|NOUN popular name; common name VERB be commonly known (or called) as &#29577;&#34560;&#40653;&#20439;&#31216;&#26834;&#23376;&#12290; Y&#249;sh&#468;sh&#468; s&#250;ch&#275;ng b&#224;ngzi. Corn is com
号称|hàochēng|To Be Reputed As / To Claim to Be / To Boast of BeingNuance号称 is a verb with two distinct nuances depending on context. First, it can be used neutrally or positively to state a widely recognized reput
战战兢兢|zhànzhàn-jīngjīng|IDIOM tremble with fear; with fear and trepidation; gingerly &#25932;&#20891;&#24597;&#36973;&#22475;&#20239;, &#25112;&#25112;&#20834;&#20834;&#22320;&#21521;&#21069;&#31227;&#21160;&#12290; D&#237;j
稀罕|xīhan|ADJECTIVE rare; scarce; uncommon &#39558;&#39548;&#22312;&#21335;&#26041;&#26159;&#31232;&#32597;&#30340;&#19996;&#35199;&#12290; Lu&#242;tuo z&#224;i n&#225;nf&#257;ng sh&#236; x&#299;han de d&#333;n
冷不防|lěngbufáng|ADVERB suddenly; unexpectedly; without warning &#25171;&#20182;&#19968;&#20010;&#20919;&#19981;&#38450; D&#462; t&#257; y&#299; ge l&#283;ngbuf&#225;ng take him unawares; catch him off guard &#20919;&
没头没脑|méitóu-méinǎo|Without head or tail, rashly, thoughtlesslyNuance没头没脑 literally means “without head and without brain,” and figuratively describes actions or speech that are abrupt, careless, or lacking logic and str
无精打采|wújīng-dǎcǎi|IDIOM listless; in low spirits; out of sorts; lackadaisical &#20182;&#19981;&#26102;&#38271;&#21505;&#30701;&#21497;, &#27809;&#31934;&#25171;&#37319;&#30340;&#12290; T&#257; b&#249;sh&#237; ch&#225;n
我行我素|wǒxíng-wǒsù|To follow one's own course regardless of others' opinions; to act independently and stubbornly.Nuance我行我素 is an idiom that describes a person who insists on doing things their own way, completely indi
作鸟兽散|zuòniǎoshòusàn|IDIOM scatter like birds and beasts&#8212;flee helter-skelter; stampede
晃悠|huàngyou|to sway; to wander aimlessly; to loiterNuances:This colloquial term describes slow, unsteady movement without clear purpose—whether physical (e.g., dangling objects) or metaphorical (e.g., idle wander
清爽|qīngshuǎng|ADJECTIVE 1&#9;fresh and cool &#26202;&#39118;&#21561;&#26469;, &#21313;&#20998;&#28165;&#29245;&#12290; W&#462;n f&#275;ng chu&#299; l&#225;i, sh&#237;f&#275;n q&#299;ngshu&#462;ng. The evening breez
胡同|hútong|AlleyNuance胡同 is the term for the narrow traditional alleyways characteristic of old Beijing and other northern Chinese cities. The word itself comes from Mongolian, reflecting its historical origins.
