数目|shùmù|Amount / Number
头晕|tóuyūn|Dizzy
作伴|zuòbàn|To accompany / To keep somebody company
补救|bǔjiù|To remedy
埃及|āijí|Egypt
沮丧|jǔsàng|Dispirited / Dejected
钝|dùn|Blunt / Stupid
削|xiāo|To scrape
碾|niǎn|To crush / roller / stone roller
渣滓|zhāzǐ|Disreputable people / residue / dregs
严加|yánjiā|To increase vigilance / to take more rigorous X
惩处|chéngchǔ|To punish / To administer justice
咒语|zhòuyǔ|Spell / Enchantment / Curse / Incantation
难得|nándé|Hard to come by / Seldom / Rare
蝙蝠|biānfú|Bat
夜间|yèjiān|Nighttime / Evening or night
困境|kùnjìng|Predicament / In difficulty
蚂蚱|màzhà|Grasshopper
轴线|zhóuxiàn|Central axis (line)
决策|juécè|Strategic decision / policy decision
决策者|juécèzhě|Policymaker
归还|guīhuán|To return something / to revert
戳记|chuōjì|Stamp / Seal
胆怯|dǎnqiè|Timid / Cowardly
帐篷|zhàngpeng|Tent
山脚|shānjiǎo|Foot of a mountain
活跃|huóyuè|Active / Vigorous
二进制|èrjìnzhì|Binary system
百般|bǎibān|In every possible way / By every means / in hundred and one ways
头盔|tóukuī|Helmet
空房间|kōngfángjiān|Vacant room
复婚|fùhūn|To remarry (the same person)
逼真|bīzhēn|Lifelike / True to life / realistic
胜任|shèngrèn|Qualified / competent (professionally) / to be up to a task
广播员|guǎngbōyuán|Broadcaster / News reader
枯燥|kūzào|Dry and dull / Uninteresting / Dry as dust
善于|shànyú|To be good at
津津有味|jīnjīnyǒuwèi|With great relish; with keen pleasure; zestfully.Nuance津津有味 is a vivid adverb and adjective used to describe the deep enjoyment and focused interest with which someone does something. The term 津津 orig
喂|wèi|To feed (somebody or some animal)
枪杀|qiāngshā|To shoot dead
潮汐|cháoxī|the tide
吸引力|xīyǐnlì|Attractive force (such as gravity) / sex appeal
读数|dúshù|Reading / Data from meter
倚|yǐ|To lean on
扫帚|sàozhou|Broom
劳资|láozī|Labor and management / Labor and capital
对立|duìlì|Opposing / To oppose / to be antagonistic to / antithetical
宁可|nìngkě|Would prefer to / would rather / would be better to / the lesser of two evils / preferably
移居|yíjū|To migrate / to move to a new place of residence
手杖|shǒuzhàng|Cane
公爵|gōngjué|the Duke
仆人|púrén|Servant
英寸|yīngcùn|Inch (2.54cm!)
咖喱|gālí|Curry
装扮|zhuāngbàn|To dress up / To disguise oneself
好意|hǎoyì|Good intention / Kindness
懦夫|nuòfū|Coward
震撼|zhènhàn|To shake / to shock / shocking / to stun / to vibrate
渊博|yuānbó|Profound / Extremely knowledgeable
蜥蜴|xīyì|Lizard
冷血动物|lěngxuèdòngwù|Cold blooded animal (fig: cold hearted person)
不振|bùzhèn|Lacking in vitality / depressed (market, spirits etc)
匪徒|fěitú|Gangster / Bandit
赃款|zāngkuǎn|Stolen goods / spoils / booty
篝火|gōuhuǒ|Bonfire
陆栖|lùqī|Living on land / Terrestrial
北极熊|běijíxióng|Polar bear
