蓝色|lánsè|Blue colour
传真|chuánzhēn|Fax
顾客|gùkè|A customer
粉红色|fěnhóngsè|Pink
深蓝色|shēn lánsè|Dark blue
浅蓝色|qiǎn lánsè|Light blue
紫色|zǐsè|Purple
棕色|zōngsè|Brown
改天再说吧|gǎitiān zài shuō ba|Lets talk about this another day.... (probably never!)
有名|yǒumíng|Famous
火锅|huǒguō|Hot pot!
小肥羊|xiǎo féi yáng|Little Sheep Restaurant
别望了|bié wàng le|Don't forget!
别担心|bié dānxīn|Don't worry
担心|dānxīn|To worry
没有为什么||No particular reason
邮件|yóujiàn|Email
卡|kǎ|A card
会员卡|huìyuánkǎ|Membership card
慢一点|màn yi dian|Slow down!
请慢一点说|qing màn yidian shuō|Please speak slower
单位|dānwèi|Unit / Organization
那些|nàxiē|Those
这些|zhèxiē|These
考试|kǎoshì|To examine / Test / Examination
家庭|jiātíng|Family / Household
正|zhèng|In the process of / Just / To set right
酸|suān|Sour
一瓶|yī píng|One bottle
瓶子|píngzi|A bottle
虾|xiā|Shrimp
炒|chǎo|To stir fry
寿司|shòusī|Sushi
机票|jīpiào|Plane ticket
还|huán|To return (something to someone)
退步|tuìbù|To get worse at something, opposite of 进步
苦|kǔ|Bitter
甜|tián|Sweet (taste)
很多种|hěn duō zhǒng|Many types
推荐|tuījiàn|To recommend
他有事情|tā yǒu shìqing|She has things to do
别吼我|bié hǒu wǒ|Don't shout at me!
看情况|kàn qíngkuàng|It depends&nbsp;
蚊子|wénzi|Mosquito
我要杀他|wǒ yào shā tā|I'm going to kill him
零钱|língqián|Small change (money)
试一下|shì yīxià|Please try
狗|gǒu|Dog
猫|māo|Cat&nbsp;
老鼠|lǎoshǔ|Mouse
马|mǎ|A Horse
熊猫|xióngmāo|A panda
海豚|hǎitún|Dolphin
兔子|tùzi|A Rabbit
章鱼|zhāngyú|Octopus
增加|zēngjiā|To increase / To improve / To raise
开发|kāifā|To develop / exploit / development
科技|kējì|Science and Technology
政治|zhèngzhì|Politics
发生|fāshēng|To happen / To occur / To take place
技术|jìshù|technology, skill, technique
带|dài|To take / To bring / To carry
环境|huánjìng|Environment / Surroundings
消息|xiāoxi|News / Information
他怎样了？|Tā zěnyàng le?|What happened to him?
历史|lìshǐ|History
进入|jìnrù|To enter / To get into
受|shòu|To accept / To receive / To endure
类|lèi|Kind / Type / Class
着急|zháojí|To worry / Be anxious / Panic / 焦る
厉害|lìhai|すごい ・ ひどい
我先走了|wǒ xiān zǒu le|I'll go first
收拾|shōushi|To tidy up
弄|nòng|To do / make (negative way）
乱|luàn|To be a mess / disordered
擦|cā|To wipe
地板|dìbǎn|Floor
干洗点|gānxǐdiàn|Laundry
提醒|tíxǐng|To remind
睡不着|shuǐbùzháo|Could not sleep / Could not fall asleep
代替|dàitì|Instead
糖|táng|Sugar
巧克力|qiǎokèlì|Chocolate
鹦鹉|yīngwǔ|A parrot
宠物|chǒngwù|A pet
忌妒|jìdu|To be jealous of / envy&nbsp;
金鱼|jīnyú|Goldfish
洗衣机|xǐyījī|Washing Machine
兴奋|xīngfèn first tone should be down?|Excited
借口|jièkǒu|An excuse
事实|shìshí|Truth (noun)
复习|fùxí|To review
错误|cuòwù|A mistake
危险|wēixiǎn|Dangerous
壮|zhuàng|Strong
狗狗|gǒugǒu|A puppy
机会|jīhuì|Chance / Opportunity
提供|tígōng|To provide / To supply / To offer
发展|fāzhǎn|To develop / To expand / To grow / Development
办法|bànfǎ|Way / Means / Measure
秒|miǎo|A second
联系|liánxì|To contact / To relate
利用|lìyòng|To use / To utilize
送|sòng|To deliver / to send / to see off
企业|qǐyè|Enterprise / Company
经济|jīngjì|Economy / Economical
知识|zhīshi|Knowledge
直接|zhíjiē|Direct / Immediate
就是|jiùshì|Only / exactly / quite right / even if
行业|hángyè|Trade / Profession / Industry
结果|jiéguǒ|As a result / Finally / In the end / Result
母亲|mǔqīn|Mother
想要|xiǎng yào|To want to / To feel like
礼物|lǐwù|Gift / Present
价格|jiàgé|Price
包括|bāokuò|To include / To consist of / To comprise
经验|jīngyàn|Experience
产品|chǎnpǐn|Product
父亲|fùqīn|Father
得到|dédào|To get / To obtain / To gain
强|qiáng|Strong / Powerful / Better
记得|jìde|To remember
个人|gèrén|Individual / Personal
好像|hǎoxiàng|To seem / to be like
也许|yěxǔ|Maybe / Perhaps
梦|mèng|Dream
样子|yàngzi|Appearance / Shape / Manner
能力|nénglì|Ability / Capability
吃惊|chījīng|To be suprised / To be startled
忘记|wàngjì|To forget / To overlook
