息災|そくさい|"Good health" or "Well-being"
Nuance
息災 is a somewhat formal or old-fashioned te
足を引っ張る|あしを ひっ ぱる|to hold back others from achieving success; to stand in the way of; to sabotage
すばしっこい|すばしっこい|Translation:すばしっこい (subashikkoi) – Nimble; quick-footed; agile (like a squirrel 
くねる|くねる|to bend loosely back and forth, to wriggle, to be crooked
含羞屋|はにかみや|bashful person, very shy person
百面相|ひゃくめんそう|Making many faces; pulling faces; a variety of facial expressionsNuances:This
 t
強がり|つよがり|show of courage, bluff
ちゃり|ちゃり|bicycle
執行役員|しっこうやくいん|operating officer, company executive
空気力学|くうきりきがく|aerodynamics
掻い摘む|かい つまむ|掻い摘む（かいつまむ）means "to summarize," "to pick out the main points," or "to skim over
すごろく|すごろく|race game (board game played with dice in which the object is to reach the end o
鬼気迫る|きき せまる|to be bloodcurdling, to be ghastly
地の利|ちの り|locational advantage, advantageous position
黄みがかった|きみがかった|yellowish, cream-coloured, cream-colored
優待|ゆうたい|preferential treatment, hospitality, warm reception, cordial welcome
はめる|はめる|To put on / wear (not 着る)
妨害|ぼうがい|Hindrance / Obstruction
年長|ねんちょう|Seniority
恋愛観|れんあいかん|Philosophy of love
しゃっくり|しゃっくり|Hiccup
提言|ていげん|Suggestion / Advance / 提案
其れっきり|それっきり|Ending there / On that note / With that
組み込み|みくみこみ|Inserted / Built in / Embedded (software!)
早熟は大成せず|そうじゅくは たいせいせず|"Early ripe, early rotten"; precociousness rarely leads to great success.Nuances
属す|ぞくす|to belong to; to come under; to be affiliated with; to be subject to / also can 
全員が参加するにしたって、せいぜい２０人だ|ぜんいんが さんかするにしたってせいぜい にんだ|Even if everyone participated, we’d have no more than 20 people
紀行|きこう|traveller's journal; traveler's journal; travelogue
遺児|いじ|orphan; child left by the deceased; (2) abandoned child
濃霧|のうむ|heavy fog; dense fog; thick fog
留め金|とめ がね|clasp, latch, catch, fastener
看取|かんしゅ|seeing through, perceiving, noticing, getting wind of
簀の子|すの こ|drainboard, floor grates, duckboard, slatted wood (e.g. used as a base for stori
三和土|たたき|hard-packed dirt (clay, gravel, etc.) floor, concrete floor
稲刈り|いねかり|rice reaping, rice harvesting
からっきし|からっきし|"Completely (not at all)," "utterly (bad at)," or "totally (hopeless at somethin
そそり勃つ|そそり たつ|to become erect (penis, nipple, etc.), to tower (like an erection)
取っ組み合う|とっ くみ あう|to grapple with (each other), to tussle with, to wrestle with, to scuffle with
恨みっこ|うらみっこ|hard feelings, (mutual) resentment
雲梯|うなて|overhead ladder, horizontal ladder, monkey bars
酢酸|さくさん|acetic acid
凄む|すごむ|"to intimidate," "to threaten fiercely," or "to act menacingly."Nuance:This verb
座面|ざめん|seat (of a chair)
１００均|ひゃっきん|hundred-yen store, 100 yen shop
含み|ふくみ|Hidden meaning / implication (not 含蓄)
移行|いこう|Transition; Shift; Migration (from one state/system/phase to another)Nuance:移行 r
魔除|まよけ|Charm against evil spirits / talisman /　Amulet
纏わる|まつわる|To be associated with, to be connected to, to be related to, to cluster aroundNu
吟味|ぎんみ|Scrutiny / Careful investigation / Testing
建て替える|てたてかえる|建て替える (たてかえる) means "to rebuild," "to reconstruct," or "to replace a building wi
のさばる|のさばる|To act as one pleases / To have everything ones own way / to throw ones weight a
取り越し苦労|りしとりこしぐろう|"unnecessary worry," "fretting over nothing," or anxiety about something that ne
進歩的|しんぽてき|progressive
椰子|やし|palm tree
前祝い|まえいわい|celebration anticipation
コテンパン||"to be thoroughly beaten/defeated," "to be crushed (in a competition or argument
自閉症|じへいしょう|Autism
目に余る|めに あまる|to be intolerable, to be unpardonable
供託|きょうたく|deposit (things, money)
メンテ||maintenance
買い置き|かい おき|stock (of goods), reserve, supply
内勤|ないきん|office or indoor work
作り込み|つくり こみ|"elaborate crafting," "detailed production," or "meticulous execution" (often in
無きにしもあらず|なきにしもあらず|not non-existent, not completely lacking, there is some, certainly existent
手練れ|てだれ|"Expert," "veteran," or "seasoned skill user"

Nuance:
手練れ is a formal, slightly
払暁|ふつぎょう|dawn, daybreak
イチオシ||top recommendation, (something) highly recommended
私憤|しふん|"personal grudge," "private resentment," or "individual anger."Nuance:This
 term
詰め替える|めつめかえる|to repack, to refill
鏃|やじり|1. arrowhead2. 箭頭, 箭头，箭鏃, 箭镞
傷口はもう塞がりました。|きずぐちはもう ふさがりました|The wound has already clotted.
軽視する|けい しする|軽視（けいし）
Translation: Belittlement, making light of, underestimation, or disregar
手はず|てはず|Arrangement / Plan
気に障る|きに さわる|To rub someone the wrong way / To hurt ones feelings
本格派|ほんかくは|Classical school or style / Orthodox
専売|せんばい|Monopoly / Monopolization
聾者|ろうしゃ|deaf person, usually written ろう者
屈曲|くっきょく|Crookedness / Bending / Indentation
敏腕|びんわん|Ability
部材|ぶざい|component; part; member; fitting
丸焼き|まるやき|whole roast (e.g. pig, turkey, etc.)
入り浸る|りいりびたる|to hang out at (a place) constantly; to stay at (someone’s house, shop, etc.) ha
属国|ぞっこく|vassal state; vassal nation; dependency
高ぶる|たかぶる|高ぶる (たかぶる) means "to get excited/worked up," "to be overly agitated," or "to bec
切れ痔|れきれじ|Bleeding hemorrhoids =/
仕向ける|しむける|1. to induce (somebody to do something); to tempt2. to act toward (somebody in a
検める|あらためる|to examine; to check; to inspect
強壮剤|きょうそうざい|Tonic / Pick-me-up
静々|しず しず|quietly, slowly, gracefully
余弦|よげん|cosine
輾転反側|てんてんはんそく|tossing and turning in bed, turning over in bed worrying over something
書き出し|かき だし|"opening lines / beginning (of writing); data export (IT)"Nuances:This term has 
ポカ||blunder, (careless) mistake, error
ネガ||negative
遊園地|ゆうえんち|Theme park
赤十字は災害の被害者を直ちに救援する|せきじゅうじは さいがいの ひがいしゃを ただちに きゅうえんする|The Red Cross gets help to disaster victims without delay
慣用語句|かんようごく|Idiom / Idiomatic phrase
毒男|どくお|Lonely heart / Male virgin / Loser / Geek
姉は明日嫁ぎます|あねは あした とつぎます|My older sister will get married tomorrow
品行|ひんこう|conduct; behavior; moral character; demeanor
Nuance: 品行 focuses on a person’s ou
律儀|りちぎ|Honest; upright; dutiful to a faultNuances:This
 term describes someone almost e
あまつさえ彼は我等を侮辱したり|あまつさえ かれは われらを ぶじょくしたり|And, what is more, he has insulted us
焦げ目|げこげめ|Burn mark
網焼き|あみやき|{food} grilling
苦り切る|にがり きる|苦り切る（にがりきる）means "to look extremely 
displeased," "to scowl bitterly," or "to be
猜疑|さいぎ|suspicion; jealousy
祭典|さいてん|festival
恒常|こうじょう|constancy, permanence
除湿器|じょしつき|dehumidifier, dehumidification machine
気が立つ|きが たつ|to be wrought up, to be on edge, to get irritated, to get excited (about), to be
手回し|てまわし|1. turning by hand, hand-turned, hand-cranked2. preparations, arrangements
上製本|じょうせいほん|hardcover book, hardback book
走査|そうさ|走査（そうさ）means "scanning," "sweeping," or
 "systematic traversal." It refers to th
竹とんぼ|たけとんぼ|small wooden Japanese toy that flies when spun between the palms of one's hands
包括的|ほうかつてき|comprehensive, inclusive, encompassing
流行|りゅうこう|Fashionable / Prevailing
祝祭日|しゅくさいじつ|National holiday
共通化|きょうつうか|Collaboration
弱々しい|よわよわしい|Frail / Weak
気まま|きまま|Selfish / Arbitrary / Abandoned / Carefree / Unrestrained
