兵糧攻め|ひょうろうぜめ|starvation tactics
開封|かいふう|Unseal (food stuffs)
文系|ぶんけい|Liberal arts / humanities
予定が重なる|よていが かさなる|Plans overlap
マゴマゴ||To be at a loss / be confused / be dumbfounded
消滅|しょうめつ|Disappearance / Extinction
使い込む|いつかいこむ|To embezzle / To misappropriate
子守|こもり|Babysitter / Nursemaid / Babysitting
雑（な）|ざつな|Slipshod / Shoddy / Careless
拳骨|げんこつ|Fist
顕現|けんげん|Manifestation
拝命|はいめい|Receiving an official appointment
睦む|むつむ|To be harmonious / to get on well / Be intimate or close
詠唱|えいしょう|Singing / Chanting / Casting FF spells!
庄屋|しょうや|village headman
宙ぶらりん|ちゅうぶらりん|1. dangling, hanging, suspended2. pending, half done, in limbo, indecisive
滾々|こんこん|copious (flowing)
通知表|つうちひょう|report card
機甲|きこう|armour (e.g. tank), armor
母集団|ぼしゅうだん|population, universe, parent setNoun (futsuumeishi), Mathematics term
古名|こめい|old name, former name
三稜鏡|さんりょうきょう|prism
預ける|あづける|To leave / deposit / trust to someone
総務|そうむ|General business (affairs)
教祖|きょうそ|Founder of a religious sect
偏狭な人|へんきょうな ひと|an intolerant person
散策|さんさく|walking; strolling; roaming; wandering; exploring
成り上がり|りなりあがり|upstart; parvenu; jumped-up person
古紙|こし|used paper, paper for recycling
紛い物|まがい もの|imitation, fake, sham
逡巡|しゅんじゅん|hesitation, indecision
一役買う|ひとやく かう|to take on a role, to take part
気が緩む|きが ゆるむ|1. to relax one's mind, to feel relaxed2. to become remiss, to cease paying care
意識|いしき|Awareness
弾|たま|Bullet
鉄鉱|てっこう|Iron Ore
異変|いへん|Accident / Disaster (Cloud freaking out)
付箋|ふせん|Tag / Slip / Label (postit thing?)
贈与|ぞうよ|Donation / Presentation
年数|ねんすう|Number of years
イチコロ||Trouncing / Beating someone hands down
積み込み|みつみこみ|Loading (goods, cargo)
懲戒処分|ちょうかいしょぶん|Disciplinary measures / (Judicial) sanctions
私は黄昏の海が大好きです|わたしは たそがれの うみが だいすきです|I love the sea at dusk
粗皮|あらかわ|Bark / Husk / Untanned pelt
湿り気|りしめりけ|Moisture
剛毛|ごうもう|bristle
幕僚|ばくりょう|staff; staff officer
練り歩く|りねりあるく|To parade (through the streets), to march in a processionNuance練り歩く
 describes t
組んず解れつ|くんず ほぐれつ|locked in a grapple
堆い|うずたかい|piled up high, in a heap
八重|やえ|multilayered, doubled
提灯を持つ|ちょうちんを もつ|To hold a lantern (for someone); to flatter, to praise excessively, to be a yes-
星印|ほしじるし|star, asterisk
地対空|ちたいくう|surface-to-air
塩酸|えんさん|hydrochloric acid
扱く|しごく|1. to draw through one's hand, to stroke (e.g. a beard)2. to work someone hard
商法|しょうほう|Commercial law
確固|かっこ|Unshakeable / Resolute
螺旋状|らせんじょう|Helical / Spiral shaped
～そびれる|そびれる|To miss / Fail / Forget
狼狽える|うろたえる|To be flustered / To lose ones presence of mind / context -&nbsp;思わずうろたえる意外な質問 (
究明|きゅうめい|Investigation / Study
二人の話は辻褄があわない|にんの はなしは つじつまがあわない|The two peoples stories don't add up
閣下|かっか|Your Excellency / his (or her) Excellency
丸一日|まるいちにち|The whole day / All the day
裏目|うらめ|Reverse side / opposite of expected / backfire
鬩ぎ合う|ぎ あう|Fighting each other / Conflict
派兵|はへい|dispatch of troops; despatch of troops
釘をさす|くぎをさす|to give a warning; to remind (a person) of
父祖|ふそ|ancestors
はしゃぎ声|はしゃぎ ごえ|Excited voices; Sounds of joyful chatter or boisterous laughter
Nuance:
はしゃぎ声 is
類する|るいする|to be similar to
ひがみ根性|ひがみ こんじょう|prejudiced mind
野次る|やじる|1. to jeer (at), to hoot, to boo, to catcall, to heckle2. 喝倒彩3. 嘲笑, 嘲弄
銅山|どうざん|Copper Mine
注視する|ちゅう しする|To gaze [at into]
炭素|たんそ|Carbon
添付|てんぷ|Attachment (like on email)
悔しがる|くやしがる|To feel bitter / To resent / To regret / To be vexed
苦味|にがみ|Bitter taste
玄米|げんまい|Unpolished rice / brown rice
砕け散る|くだけ ちる|to be smashed up
心静か|こころしずか|calm; serene; tranquil; peaceful
仰々しい|ぎょうぎょうしい|exaggerated, bombastic, highly colored, highly coloured
吹流し|ふきながし|Windsock / streamer
行雲流水|こううんりゅうすい|(metaphorically) floating with the tide
勢揃い|せいぞろい|"full assembly," "gathering of all members," or "complete lineup"—referring to a
目を回す|めを まわす|1. to faint, to swoon, to lose consciousness2. to be astounded, to astonished3. 
素材|そざい|Raw material (Gon! To make into something..)
さらけ出す|さらけ だす|to expose / to disclose / to confess / to lay bare
管制官|かんせいかん|Controller (usually air traffic control)
交易|こうえき|Trade / Commerce
問い掛ける|いといかける|To ask a question / to begin to ask a question
係わり合う|かかわり あう|To get involved or entangled in / To get mixed up in / To have something to do w
極東|きょくとう|Far east
涼む|すずむ|To cool oneself / to cool off / to enjoy evening cool (putting yourself in refri
退廃的|たいはいてき|Decadent; degenerate; morally corruptNuance:This
 term describes something (or s
狡猾|こうかつ|Sly / Cunning / Crafty
曇らす|くもらす|&nbsp;to encloud; to make dim; to make dull; to tarnish; to obscure; to darken; 
体現|たいげん|personification; impersonation; embodiment
共同住宅|きょうどうじゅうたく|apartment house; residential complex
宝飾品|ほうしょくひん|jewelry; jewellery
刀身|とうしん|knife blade; sword blade
とはいうものの|とはいうものの|That being said, however, having said that, even soNuanceとはいうものの
 is a conjuncti
紺青|こんじょう|Prussian blue, deep blue, dark blue, ultramarine
逆行列|ぎゃくぎょうれつ|inverse matrix
入道雲|にゅうどうぐも|cumulonimbus, gigantic columns of clouds (in summer)
と思しい|と おぼしい|thought to be, seen as
シャム猫|ねこ|Siamese cat
砒素|ひそ|arsenic (As)
添い遂げる|そい とげる|"to stay together for life," "to remain devoted until death," or "to accompany s
言付ける|いいつける|To leave a message
総統|そうとう|Supreme Ruler / Generalissimo
土壌|どじょう|Soil
要項|ようこう|Important points
左右対称|さゆうたいしょう|Symmetry
嗚呼|ああ|Ah!, Oh!, Alas!
収まる|おさまる|To be contained/restored; to settle down; to subside; to fit into; to be satisfi
準備銀行|じゅんびぎんこう|Reserve back
