左拐|zuǒ guǎi|Turn to the left
发票|fāpiào|A Receipt&nbsp;
饺子|jiǎozi|Gyouza!
摩托车|mótuōchē|Motorbike
自行车|zìxíngchē|Bicycle
轮船|lúnchuán|A Steamship
电器店|diànqìdiàn|Appliances Shop
过马路|guòmǎlù|Cross the road
五金店|wǔjīndiàn|Hardware Store
梨|lí|Pear
猕猴桃|míhóutáo|Kiwi
椰子|yēzi|Coconut
黄瓜|huángguā|Cucumber
胡萝卜|húluóbo|Carrots
洋葱|yángcōng|Onion
西蓝花|xīlánhuā|Broccoli
短|duǎn|Short
长|cháng|Long
每个人|měi ge rén|Everyone
从|cóng|From (a place, a time etc)
无聊|wúliáo|Boring
关于|guānyú|About ... (something)
红绿灯|hóng lǜ dēng|Traffic lights
北|běi|North
东|dōng|East
南|nán|South
西|xī|West
一样的|yīyàngde|The same (meaning etc)
掉头|diàotóu|To turn around
词|cí|A Word
开车|kāichē|To drive a car
开飞机|kāifēijī|To fly a plane
南非|nánfēi|South Africa
飞行员|fēixíngyuán|A Pilot
停车|tíngchē|To stop the car
签名|qiānmíng|Signature
和平|hépíng|Peace
桥|qiáo|A Bridge
非常|fēicháng|Very very (easy!?)
简单|jiǎndān|Simple / Easy
下雨|xià yǔ|To rain
下雪|xià xué|To snow
风|fēng|Wind
台风|táifēng|Typhoon
春天|chūntiān|Spring
夏天|xiàtiān|Summer
冬天|dōngtiān|Winter
秋天|qiūtiān|Autumn
口音|kǒuyīn|Accent
外面|wàimian|Outside
里面|lǐmian|Inside
椅子|yǐzi|Chair
懒|lǎn|Lazy
相信|xiāngxìn|To believe / trust
海边|hǎibiān|Seaside
去年|qù nián|Last year
看见|kànjiàn|Place where one can see the X (when giving directions to taxi, turn left when at KFC etc)
斑马线|bānmǎxiàn|White line road crossing
拉面|lāmiàn|Ramen
牛排|niúpái|Steak (food)
牛肉|niúròu|Beef
猪肉|Pork|zhūròu
鸡肉|jīròu|Chicken (food)
羊肉|yángròu|Lamb (food）
辣|là|Spicy
已经|yǐjīng|Already (went, ate, etc)
冰块|bīngkuài|Ice
特别是|tèbié shì|Especially&nbsp;
袋子|dàizi|Plastic Bag
丢|diū|To lose (something)
难听|nántīng|Sounds awful (remember this form, can be tastes awful, looks awful etc)
太难吃了|tài nánchī le|Tastes too bad!
对我来说|duì wǒ lái shuō|For me ... (Chinese is easy! or whatever)
复杂|fùzá|Complicated
巧合|qiǎohé|A Coincidence (less used form I think?)
完全|wánquán|Totally
太巧了|tài qiǎo le|Too much of a coincidence! (use this form!)
继续|jìxù|Continue
差不多|chàbùduō|Close / Nearly / Almost (nearly correct, almost the same, etc)
声调|shēngdiào|The Chinese Tones
第一声|dì yī shēng|The first tone
嘴巴|zuǐbā|Mouth
如果|rúguǒ|If
别的|biéde|Something else
汉堡|hànbǎo|Hamburger
面包|miànbāo|Bread
一分薯条|yī fèn shǔtiáo|One portion of chips
一个鸡蛋|yīgè jīdàn|One egg
一碗米饭|yīwǎn mǐfàn|One bowl of rice
一碗汤|yīwǎn tāng|One bowl of Soup
一双筷子|yìshuāng kuàizǐ|One pair of chopsticks
一个碗|yīgè wǎn|One bowl
一把叉子|yībǎ chāzi|One fork (to eat with)
一个杯子|yīge bēizi|One cup (to drink from)
一个汤匙|yīgè tāngchí|A spoon
一个盘子|yīgè pánzi|One plate
一根牙签|yīgēn yáqiān|One toothpick
一张纸巾|yīzhāng zhǐjīn|One tissue
一把刀|yībǎ dāo|One knife
照片|zhàopiàn|Photograph
我拍照片|wǒ pāi zhàopiàn|I take photographs
国际|guójì|International
他是很老的|tā shì hěn lǎo de|He is very old
订座|dìngzuò|To make a seat reservation
订|dìng|To make a reservation
大堂|dàtáng|Lobby / Hall (food hall, downstairs lobby areas etc)
安静|ānjìng|Quiet
包房|bāofáng|Private room
叫外卖|jiàowàimài|To ask for home delivery
套餐|tàocān|A set meal / 定食
地址|dìzhǐ|Address (home address etc)
麦当劳|màidāngláo|McDonalds
三明治|sānmíngzhì|A Sandwich
冰激凌|bīngjīlíng|An ice cream (cone?)
加班|jiābān|Overtime
假期|jiàqī|Holidays / Day off
短信|duǎnxìn|A text message
发短信|fāduǎnxìn|To send a text message
回短信|huì duǎnxìn|To reply to a text message
及时|jíshí|In time / On time (replying etc)
闭嘴|bìzuǐ|Shut your mouth!
西方人|xīfángrén|Westerners
公寓|gōngyù|Block of flats / apartment house
决定|juédìng|To decide
还没有决定|hái méi yǒu juédìng|Its not decided yet
偷|tōu|To steal
房间|fángjiān|Bedroom
名词|míngcí|Noun
动词|dòngcí|Verb
形容词|xíngróngcí|Adjective
座位|zuòwèi|A seat / place to sit
吵|chǎo|Noisy
薄|báo|Thin
厚|hòu|Thick
告诉|gàosu|To tell / let know
教室|jiàoshì|Classroom
经常|jīngcháng|Often (not 常常, a better one)
台球|táiqiú|Pool / Billiards
惊讶|jīngyà|Suprised / Amazed (at how good Bens Chinese is!)
猜|cāi|To Guess
唱歌|chànggē|To sing a song
笔记本|bǐjìběn|Notebook
旅行|lǚxíng|To travel
旁边|pángbiān|Next to / side of
我打算去|wǒ dǎsuàn qù|I'm planning to go
北京烤鸭|běijīng kǎoyā|Peking Duck!
信用卡|xìnyòngkǎ|Credit card
过一会儿|guòyīhuìer|Later
大使馆|dàshǐguǎn|Embassy
上车|shàngchē|To get onto (car / bus)
下车|xiàchē|To get off (car / bus)
散步|sǎnbù|To go for a walk
凉快|liángquài|Cool / Nice and cool / pleasantly cool
留言|liúyán|To leave a message
能|néng|Can / Be able / Be allowed
高|gāo|Tall / High
我比他高|Wǒ bǐ tā gāo|I am taller than him
但是|dànshì|But / However
怎么|zěnme|How / How come
她怎么了？|Tā zěnme le?|What happened to her?
全|quán|Whole / Full / Entire
他们全走了|Tāmen quán zǒu le|They all left
跟|gēn|And / To follow / With
我跟着他走|Wǒ gēnzhe tā zǒu|I followed him around
穿|chuān|To wear / to put on
他写字很快|Tā xiě zì hěn kuài|He writes very quickly
各|gè|Each / Every / Different
事|shì|Matter / Thing / Work
世界|shìjiè|The World
活动|huódòng|Another word for exercise / to activity
分钟|fēnzhōng|Minute
服务|fúwù|To serve / service
些|xiē|Some
参加|cānjiā|To participate / take part in
生活|shēnghuó|To live / life
就|jiù|Then / At once / As soon as
真|zhēn|True / Really / Truly
我比你胖|Wǒ bǐ nǐ pàng.|I'm fatter than you.
向|xiàng|To face / to turn toward
主要|zhǔyào|Main / Major
新闻|xīnwén|News
爱|ài|To love / be fond of
文化|wénhuà|Culture / Civilization
他很有文化|Tā hěn yǒu wénhuà.|He's very well-cultured.
孩子|háizi|Child / Son / Daughter
自己|zìjǐ|Oneself
合作|hézuò|To cooperate / to work together
帮助|bāngzhù|To help / to assist
介绍|jièshào|To introduce
没希望了|Méi xīwàng le.|All hope is gone.
会议|huìyì|Meeting / Conference
了解|liǎojiě|To understand / to know / to find out
我让给你。|Wǒ rànggěi nǐ.|I concede to you.
情况|qíngkuàng|Circumstances / Situation
