宝|たから|Treasure
簡体字|かんたいじ|Simplified Chinese Characters
教師たる者、学生に対して常に公平であるべきだ|きょうしたる しゃ がくせいに たいして つねに こうへいであるべきだ|Those who are teachers should always be fair to the students
騎士|きし|Knight / Horseman (Dantares / Campbell)
地域|ちいき|Area / Place
雑貨店を経営するには資金が不十分だ。|ざっかてんを けいえいするには しきんが ふじゅうぶんだ|The funds are not sufficient for running a General store / Grocery
その国の政治は退廃している|その くにの せいじは たいはいしている|Politics in that country are corrupt
血まみれ|ちまみれ|Covered in blood
散在|さんざい|to be scattered; to straggle; to be found here and there
今、論文の下書きをしているところです。|いま ろんぶんの したがきをしているところです|I am in the middle of the thesis draft now.
挟み撃ち|みはさみうち|Pincer attack / attack on both sides
悩み|なやみ|Worry
誓う|ちかう|To swear / To promise (wedding)
表面|ひょうめん|Surface / Face / Top
日本語は下手ばかりに、いいアルバイトが探せません|にほんごは へたばかりにいいが さがせません|Because I'm bad at Japanese, I can't look for a good part time job
光源|こうげん|Light source (for graphics programming!)
生理的|せいりてき|Physiological&nbsp;
朝市|あさいち|Morning Market
受験する|じゅけんする|To take an examination
泡を立てないでください|あわを たてないでください|No head on my beer please
〜気味 - Condition Based|きみ|〜気味 - Condition Based
仕上げ|しあげ|Completion / Finishing
彼は中国の内陸を旅行しました。|かれは ちゅうごくの ないりくを りょこうしました|He traveled through inland China.
浮気相手|うわきあいて|The other woman / man (cheating with)
ほこりを吸い込んじゃった。|ほこりを いすいこんじゃった|I have inhaled some dust.
前科|ぜんか|Record / Previous conviction
独学|どくがく|Self study / Self instruction
彼は遠くをぼんやり見ていたの。|かれは とおくをぼんやり みていたの|He stared vacantly into the distance.
収入と支出が釣り合っていない。|しゅうにゅうと ししゅつが りつりあっていない|The income and expenses don't balance.
今学期は成績ががくんと落ちてしまった。|こん がっきは せいせきががくんと おちてしまった|My grades fell sharply this semester.
病弱な|びょうじゃくな|Unhealthy / Sickly / Invalid
私の一日の勤務時間は8時間です。|わたしの にちの きんむじかんは  じかんです|I work 8 hours a day.
天気図|てんきず|Weather map
来週、課長の送別会を開きます。|らいしゅう かちょうの そうべつかいを ひらきます|The section chief's farewell party will be held next week.
年を取るにつれて、昔のことがなつかしく思い出される|としを とるにつれて むかしのことがなつかしく いおもいだされる|As one gets older, one recalls things from the past nostalgically
尿の色は澄んでいます。|にょうの いろは すんでいます|My urine is clear
この単語の綴りは間違っています|この たんごの つづりは まちがっています|This world is spelt wrong
あの時、「愛している」と言えばよかった|あの とき あいしていると いえばよかった|I wish I had told her that I loved her
見当|けんとう|Estimate / Aim
派遣社員|はけんしゃいん|Temporary staff
彼は私より一学年上です。|かれは わたしより がくねん じょうです|He's one year above me in school.
いまさら担当者を責めてもはじまらない|いまさら たんとうしゃを せめてもはじまらない|It’s no use blaming the person in charge now
進出|しんしゅつ|Advancement (again..)
コンピューターの使用は急速に増加しつつある。|の しようは きゅうそくに ぞうかしつつある|The use of electronic computers is growing rapidly.（つつある）
人種|じんしゅ|Race
反応|はんのう|Reaction / Response
聞き手|きききて|Listener
貧乏人|びんぼうにん|poor person; pauper; the poor; the indigent
仕事をこなす|しごとをこなす|To do the work thoroughly
あなたはもう用済みだ|あなたはもう ようずみだ|You have already served your purpose (総理!)
この方法だと能率がいいですね。|この ほうほうだと のうりつがいいですね|Using this method is more efficient.
突然の悲しみが一家を襲いました。|とつぜんの かなしみが いっかを おそいました|Sudden grief fell upon the whole family.
俳句|はいく|Haiku
付与|ふよ|Grant / Allowance / Endowment / Bestowal (of some magic in ff14)
神対応|かみ たいおう|incredible response (company dealing with a complaint, celebrity dealing with fa
家業|かぎょう|Family Business
彼は世界で最も早い男です。|かれは せかいで もっとも はやい おとこです|He's the fastest man in the world.
当て字|てあてじ|Kanji used as a phonetic symbol instead of the meaning
返品（する）|へんぴんする|To return (merchandise)
確かめる|たしかめる|To make sure
彼女は似顔絵を描くのが得意です|かのじょは にがおえを えがくのが とくいです|She is good at painting portraits
愛す|あいす|To love
静的|せいてき|Static
世間知らず|せけんしらず|Ignorant to the ways of the world
史上|しじょう|In the history of
満足（する）|まんぞくする|To Satisfy / be content
この土地は傾斜が大きい|この とちは けいしゃが おおきい|The slope on this land is steep
もしも彼女と結婚できたらどんなに嬉しいだろう。|もしも かのじょと けっこんできたらどんなに うれしいだろう|If I could ever marry her, how happy I would be!
暗号化|あんごうか|Encryption
肩書|かたがき|title (e.g. Doctor, Professor, Lord); job title; position (in a company); degree
潜る|もぐる|To dive
駆け下りる|かけ おりる|To run down (the stairs)
主張|しゅちょう|Insistance / Assertion
明暗|めいあん|Light and darkness
パスポートを申請する際に必要なものを教えてください|を しんせいする さいに ひつようなものを おしえてください|When applying for a passport please tell me what I need
目撃する|もくげきする|To witness something / be a witness to
陰鬱な空|いんうつな そら|a gloomy sky
待合室|まちあいしつ|Waiting Room
大統領は強硬路線をとった。|だいとうりょうは きょうこうろせんをとった|The President took a hard line
先生のご恩に報いたいです|せんせいのご おんに むくいたいです|I want to repay the teachers kindness
コンピュータの電子回路が故障した。|の でんしかいろが こしょうした|The computer's electric circuits have broken down.
天職|てんしょく|Vocation / Calling / Mission (job one was destined for)
家に帰るやいなや、電話が鳴った|いえに かえるやいなや でんわが なった|Just as I entered my house, the telephone rang
まずは障害を取り除いてから計画を進めよう。|まずは しょうがいを りとりのぞいてから けいかくを すすめよう|Let's get rid of the problem and then proceed with the plan
こは職員専用の出入り口です。|こは しょくいん せんようの りでいりぐちです|This is an entrance for staff only.
見張り台|りみはりだい|Lookout (spot)
鳴き声|きなきごえ|Cry / Sob / Bawl
説得 する|せっとくする|Persuasion
谷間|たにま|Valley
ごとき、ごとく、ごとし　Grammar|ごときごとくごとし|Like, as if, shows similarity. Very formal written grammar.&nbsp;
生徒たちががやがやと騒いでいますね。|せいとたちががやがやと さわいでいますね|Students are making a lot of noise.
けんさんが来てから、食べよう|けんさんが きてから たべよう|Lets start eating after Ken has arrived
明け方|けあけがた|Dawn / Near daybreak
祖父は市外の病院に通っているの。|そふは しがいの びょういんに かよっているの|My grandfather goes to a hospital outside the city.
経済情勢は悪化しているとの見方が優勢だ。|けいざいじょうせいは あっかしているとの みかたが ゆうせいだ|The view that the economic situation is worsening is dominant.
仕事が忙しくて、最近少し疲れ気味だ|しごとが いそがしくて さいきん すこし つかれ ぎみだ|Being busy with work, I've been feeling a little tired recently
初夏の高原は気持ちがいいですね。|しょかの こうげんは きもちがいいですね|Being up on the high plateaus in early summer feels good.
現れる|あらわれる|To appear
小川がさらさら流れています。|おがわがさらさら ながれています|The stream flows smoothly.
過ぎ去った|ぎすぎさった|Past
お金がないと言っているわりに、よく買い物をするね。|お かねがないと いっているわりによく いかいものをするね|Even though you say you have no money, you go shopping a lot, don't you?
彼は彼女に好意をもっています。|かれは かのじょに こういをもっています|He has affections for her.
無関心|む かんしん|indifferent
死す|しす|To die
解雇|かいこ|Dismissal / Discharge / Lay-off
ミイラ||Mummy (Scary nightmare one)
十月の末なのに、夏のように暑いです|じゅうがつの すえなのに なつのように あついです|Although its at the end of October, its hot like a summer day
募集|ぼしゅう|Recruitment
彼のヘッドフォンから音が漏れているね|かれのから おとが もれているね|Sound is leaking from his headphones.
私はいつも音楽を聞きながら日本語を勉強する|わたしはいつも おんがくを ききながら にほんごを べんきょうする|I always study Japanese while listening to music
入門|にゅうもん|Initiation
北半球|きたはんきゅう|Northern hemisphere
男子校|だんしこう|Boys high school
鳥肌が立つ|とりはだが たつ|To get goosebumps
ひどい仕打ちを受けた|ひどい しうちを うけた|I was treated horribly
ひらがなをカタカナに変換しました。|ひらがなをに へんかんしました|I converted hiragana into katakana.
使い果たす|いつかいはたす|To use up / to squander
私たちは共通の趣味を持っています。|わたしたちは きょうつうの しゅみを もっています|We have a common hobby.
まず第一に、しっかり下調べをしなさい。|まず だいにしっかり したしらべをしなさい|First of all, be sure to make a careful preliminary investigation.
日程表|にっていひょう|Schedule (Document)
