貯蔵|ちょぞう|Storage / Preservation
境涯|きょうがい|Circumstances / Ones situation or lot in life
知的|ちてき|Intellectual / Mental
道連れにする|みちづれにする|To (make) someone take part in some activity (negatively, ie, Kuja making Zitane
満ち溢れる|みち あふれる|To be full of (confidence?) / To be overflowing with
身を固める|みを かためる|To settle down / To get a steady job / To marry and raise a family
農耕|のうこう|Farming
ザック||rucksack, sack
マグロ||Tuna
堅苦しい|かたくるしい|堅苦しい (かたくるしい) means "stiff," "overly formal," or "rigidly proper." It describes 
身に余る|みに あまる|To be more than one deserves
波長|はちょう|Wavelength （光．音などの）
彼は吹奏楽団に所属しています。|かれは すいそうがくだんに しょぞくしています|He belongs to the brass band
症候群|しょうこうぐん|Syndrome
これからは経営の合理化を図りたいと思います。|これからは けいえいの ごうりかを はかりたいと おもいます|From now on I want to attempt to streamline management.
対等|たいとう|equal (AGAIN)
盛況|せいきょう|Success / Prosperity (seems the play was a success)
処理能力|しょりのうりょく|Throughput
対岸|たいがん|Opposite shore
外気|がいき|Open air
彼女は時機を逸する前に、選挙からおりました。|かのじょは じきを いっする まえに せんきょからおりました|She bowed out of the race before it was too late
マルチ商法|まるちしょうほう|multi-level marketing; MLM; network marketing; pyramid selling
個体|こたい|Solid / Solid Matter
獣|しし|Beast / Animal / Brute
満開|まんかい|Full bloom (sakura)
消耗品|しょうもうひん|Consumable goods
地水火風|じすいかふう|earth, water, fire, and wind (the four elements)
さん付け|さん づけ|attaching the polite suffix "-san" to somebody's name
弱虫|よわむし|Weakling
同一視|どういつし|Put on par with / Regard in the same light as
彼の欠点を数えればきりがない。|かれの けってんを かぞえればきりがない|There are no bounds to his shortcomings
去勢手術|きょせいしゅじゅつ|Castration (operation)
わたしもその方法を踏襲するつもりである|わたしもその かた ほうを とうしゅうするつもりである|I also intend to follow that method
市場占有率|しじょうせんゆうりつ|Market share (long word, not シェア)
砲門|ほうもん|Gunport / Embrasure / Muzzle
彼の言っていることの大方に私は同感である。|かれの いっていることの おおかたに わたしは どうかんである|I am in agreement with most of what he says
活動|かつどう|Action / Activity
料金を前払いする|りょうきんを まえばらいする|Pay a fee in advance
靴擦れ|くつづれ|Shoe sore
換算|かんさん|Conversion (currency) / exchange / translation (numerical)
より良い|より よい|Superior / Better
折り畳み|りおりたたみ|Collapsible
忌む|いむ|to avoid; to refrain from; to shun
神秘|しんぴ|mystery; mysteriousness; secret
目ざとい|めざとい|sharp sighted
乱す|みだす|To disturb / disrupt
ややこしい|ややこしい|Winding / Complicated
滾る|たぎる|To boil / To seethe
規格外品|きかくがいひん|non-standard product; non-standard goods
けりをつける|けりをつける|To bring to an end / To finish / To settle
遺憾|いかん|Regrettable / Unsatisfactory
豆知識|まめちしき|trivia; snippet of knowledge
~てはいられない grammar|てはいられない|can’t afford to; unable to
原動力|げんどうりょく|Driving force (behind a change?) / Motive power
祖母が臨終を迎えた|そぼが りんじゅうを むかえた|My grandmother breathed her last
波型|なみがた|Wavy form / Ripply shape
税別価格|ぜいべつかかく|price without tax included
