口语|kǒuyǔ|Spoken language
礼貌|lǐmào|Polite
慢走！|mǎnzǒu!|Take care
毛巾|mǎojīn|Towel
跟我走|gēn wǒ zǒu|Follow me
跟我读|gēn wǒ dú|Read after me
湿|shī|Wet
干|gān|Dry
忽然|hūrán|Suddenly
合格|Hégé|to pass / succeed
约|yuē|About / Around / To make an appointment / to invite
公里|gōnglǐ|Kilometer
困难|kùnnan|Difficulty / trouble
办公室|bàngōngshì|Office
数据|shùjù|Data / Numbers
拉|lā|To pull / To drag / To draw
确定|quèdìng|Certain / Definite / To make sure
产业|chǎnyè|Industry / Property / Industrial
谈|tán|To talk / discuss (AGAIN)
状态|zhuàngtài|State / Condition
广告|guǎnggào|Advertisement / Ad
良好|liánghǎo|Good / Well / Desireable
公布|gōngbù|To announce / to publish
连|lián|To link / To join / Even / One after another
事件|shìjiàn|Incident / Event
派|pài|Faction / School / To send / To dispatch
随着|suízhe|Along with / in pace with
调整|tiáozhěng|To adjust / to regulate / to revise
产生|chǎnshēng|To produce / to emerge / to generate
尤其|yóuqí|Especially / Particularly
火|huǒ|Fire / anger / to get angry
金融|jīnróng|Finance / Banking
无|wú|To not have / not / without
室内无人。|Shìnèi wú rén.|There is nobody in the room.
边|biān|Margin / Edge / Rim
引起|yǐnqǐ|To give rise to / to lead to / to draw
展览|zhǎnlǎn|Exhibition / Show / To exhibit / to put on display
演出|yǎnchū|Performance / To perform
学院|xuéyuàn|College / Academy / Institute
宣传|xuānchuán|To promote / Propaganda / Publicity
目录|mùlù|Catalog / Table of contents / list
设施|shèshī|Facilities / Installation
关闭|guānbì|To close / to shut
保险|bǎoxiǎn|Insurance / Guarantee / Safe / To insure
期间|qījiān|Time / Period / Duration
效果|xiàoguǒ|Effect / Result
文件|wénjiàn|Document / File
维护|wéihù|To safeguard / to defend
明显|míngxiǎn|Obvious / Clear / Evident
娱乐|yúlè|Entertainment / Amusement / To amuse
首都|shǒudū|The capital
权利|quánlì|Right / Privilege / Power
世纪|shìjì|Century
搞|gǎo|To do / to carry on / to be engaged in
生意|shēngyi|Business / Trade
另外|lìngwài|Other / Another / Specially / Besides
蛋糕|dàngāo|cake
调皮|tiáopí|Naughty
我陪你|wǒ péi nǐ|I'll accompany you
我不信神。|<div>Wǒ bú xìnshén.</div>|I don't believe in God.
正确|zhèngquè|Correct / Right / Proper
党|děng|Political Party
其实|qíshí|Actually / in fact
表演|biǎoyǎn|Performance / To perform / To play
方案|fāng'àn|Plan / Program / Proposal
压力|yālì|Pressure / Tension
减少|jiǎnshǎo|To reduce / To decrease
录音|lùyīn|To record / sound recording
他在录音。|Tā zài lùyīn|He is recording
消费|xiāofèi|To consume / Consumption
精彩|jīngcǎi|Wonderful / Brilliant / Splendid
数量|shùliàng|Quantity / Amount
代|dài|To substitute / to take place of
职业|zhíyè|Occupation / Profession
