抑郁症|yìyùzhèng|Clinical depression
嫌|xián|To dislike / suspicion / resenment
顺心|shùnxīn|Happy / Satisfactory
街坊|jiēfāng|Neighborhood
麻将|májiàng|Mahjong game
癌症|áizhèng|Cancer
晚期|wǎnqī|Later period / End stage / Terminal
尽心|jìnxīn|With all of ones heart
拐杖|guǎizhàng|Crutches / Walking stick
非要|fēiyào|To want absolutely / To insist on
没用|méiyòng|Useless
血压|xuèyā|Blood pressure
闹脾气|nào pí qi|To get angry
吵闹|chǎonào|Noisy
无名|wúmíng|Nameless / Obscure
难受|nánshòu|Difficult to bear / suffer pain / feel unwell
去死|qùsǐ|Go to hell! Drop dead!
找不到|zhǎo bù dào|Cant find
茶叶|cháyè|Tea leaves
同龄|tónglíng|Of the same age
坐下|zuò xià|Sit down
笑容|xiàoróng|Ones smile / Smiling expression
灿烂|cànlàn|To glitter / Brilliant / Splendid
睡醒|shuìxǐng|To wake up / Awake / Conscious
争取|zhēngqǔ|To fight for / To strive for / To win over
上床|shàngchuáng|To go to bed
心软|xīnruǎn|To be softhearted / to be kind hearted / tender hearted
不知不觉|bùzhībùjué|Unconsciously / Unwittingly
外表|wàibiǎo|External / Outward appearance
上帝|shàngdì|God
叔叔|shūshu|Uncle / Fathers younger brother
局限|júxiàn|To limit / To confine
局限于|júxiànyú|To be limited to
无意识|wúyìshí|Unconscious / Involuntary
在意|zàiyì|To care about / To mind
县城|xiànchéng|County town
来源|láiyuán|Source (of information etc) / Origin
反过来|fǎnguolái|Conversely / In reverse order / In an opposite direction
挑剔|tiāoti|Picky / Fussy
狠心|hěnxīn|to harden one’s heart; to be ruthlessNuances:Describes deliberate severity, often in emotionally difficult decisions (e.g., cutting ties, imposing discipline).Example Sentences:她狠心离开酗酒的丈夫，独自抚养孩子。(She 
辞职|cízhí|To resign
异地|yìdì|Different place / Abroad
女生|nǖshēng|Schoolgirl / Female student
转弯|zhuǎnwān|To turn / To go around a corner
焦急|jiāojí|Anxious; worried; extremely impatient.Nuance焦急 is an adjective that describes a state of intense anxiety, worry, or agitated impatience. It combines 焦 (burning, scorched) and 急 (urgent, impatient), ev
偏心|piānxīn|Biased / Prejudiced / Eccentric / Partial
宠|chǒng|To love / To pamper / To spoil
怨恨|yuànhèn|Grudge / To hate
全无|quánwú|None / Completely without
顾虑|gùlǖ|Misgivings / Apprehensions
种种|zhǒngzhǒng|All kinds of
无论能否|wúlùn néngfǒu|Regardless of whether can or cannot, is possible
内疚|nèijiù|Guilty conscience / Feel a twinge of guilt
承诺|chéngnuò|To promise / To undertake to do something / Commitment
不当|bùdàng|improper; inappropriate; unsuitableNuances:This term describes actions, behaviors, or decisions that are ill-advised or violate norms, often with consequences. It implies a lapse in judgment or ethics
冷落|lěngluò|To treat somebody coldly / to snub / to cold shoulder
撒娇|sājiāo|To act like a spoiled child / To throw a tantrum
姿态|zītài|Attitude / Posture / Stance
毫不|háobù|Hardly / Not in the least / Not at all
毫不犹豫|háobùyóuyù|Without the slighest hesitation
失眠|shīmián|To suffer from insomnia
补偿|bǔcháng|To compensate / To make up (to someone)
刚好|gānghǎo|Just / Exactly / Happen to be (ie just half a year ago)
再婚|zàihūn|To remarry
干活|gànhuó|To work / To be employed
胡话|húhuà|Nonsense / Ridiculous talk / Hogwash
迟早|chízǎo|Sooner or later
存活|cúnhuó|To survive (a serious accident) / survival
人工流产|rén gōng líu chǎn|Abortion !!
做主|zuòzhǔ|Make the decision / Take charge of
注定|zhùdìng|To be doomed / To be destined to failure
家长|jiāzhǎng|Head of a household / Family head
婚纱|hūnshā|Wedding dress
硬是|yìngshì|Really (didnt want to choose) / Just / Stubbornly
