挡风玻璃|dǎngfēngbōli|Wind screen / Windshield
霜|shuāng|Frost
庆祝会|qìngzhùhuì|Celebration
燃放|ránfàng|To light / To set off (fireworks etc)
欣欣向荣|xīnxīnxiàngróng|Luxuriant growth (idiom) / Booming / Thriving / Flourishing
粗暴|cūbào|Rough / Cruel
缓缓|huǎnhuǎn|Slowly / Little by little
倾斜|qīngxié|To incline / To slope / To tilt / To lean
地面|dìmiàn|Ground / Floor
拼成|pīnchéng|To put something together from component parts
帘子|liánzi|Curtain
弓|A bow (weapon)|gōng
进度|jìndù|Pace / Tempo / Degree of progress
姿色|zīsè|(A woman's) good looks; beauty; charm.Nuance姿色 is a noun that refers to a woman's physical beauty and charm. It carries a nuanced connotation that is neither purely complimentary nor neutral. While it
迷人|mírén|Fascinating / Enchanting / Charming / Tempting
因而|yīnér|Therefore / As a result .. / And as a result ....
评委|píngwěi|Evaluation committee / Judging panel
偏向|piānxiàng|Partial towards something / To prefer
带有|dàiyǒu|To have / To involve
阻塞|zǔsè|To block / To clog
交通阻塞|jiāotōngzǔsè|Traffic jam
珍惜|zhēnxī|To treasure / To cherish / To value
暴乱|bàoluàn|Riot / Rebellion / Revolt
溶解|róngjiě|To dissolve
手电筒|shǒudiàntǒng|Flashlight / Hand torch
轻蔑|qīngmiè|To contempt / To disdain / Scorn
成群|chéngqún|In groups / Large numbers of / grouping
筋疲力尽|jīnpílìjìn|Strength exhausted (idiom) / extremely tired / spent
摧残|cuīcán|To ravage / To ruin
争辩|zhēngbiàn|To dispute / quibble / wrangle
逗号|dòuhào|Comma (punctuation), ,
用法|yòngfǎ|Usage
氧化|yǎnghuà|To oxidise
裂开|lièkāi|To split open
撒|sā|To scatter / To spill / To let go / To let loose / To discharge
聚集|jùjí|To assemble / To gather
出事|chūshì|To have an accident / To meet with a mishap
侧面|cèmiàn|Lateral side / Profile / From the side
入侵|rùqīn|To invade
城镇|chéngzhèn|Town / Cities and towns
掠夺|lüèduó|To plunder / To rob
一空|yīkōng|(sold etc) out
弯|wān|To bend / bent / turn
治愈|zhìyù|To cure
良药|liángyào|Good medicine / Panacea / A good remedy
矿井|kuàngjǐng|A mine / A mine shaft
死气沉沉|sǐqìchénchén|Dead atmosphere / Lifeless / Spiritless
训斥|xùnchì|To reprimand / To rebuke / to berate
结尾|jiéwěi|Ending / To wind [something] up [to end]
寓意|yùyì|Moral of a story / Lesson to be learned / Message
溅|jiàn|To splash
步兵|bùbīng|Infantry / Foot soldier
佳|jiā|Beautiful / Fine / Good
生锈|shēngxiù|To rust / To grow rusty / To corrode
波浪|bōlàng|Wave (sea)
冲击|chōngjī|An attack / Under attack / A shock
岩石|yánshí|Rock
现身|xiànshēn|To show oneself / To appear
孤独|gūdú|Solitary / Lonely
关键词|guan1jian4ci2|Keyword
露珠|<span class="tone4">lù</span> <span class="tone1">zhū</span><!--lu zhu-->|dew
率直|shuàizhí|Frank / Straightforwardness / Blunt
黄蜂|huángfēng|Wasp
群居|qúnjū|To live together (in a large group or flock)
不明|bùmíng|Not clear / Unknown
粗大|cūdà|Thick / Bulky
