母校|mǔxiào|NOUN one's old school; alma mater
止步|zhǐ//bù|VERB halt; stop; go no further &#27490;&#27493;&#19981;&#21069; zh&#464;b&#249;b&#249;qi&#225;n halt; stand still &#28216;&#20154;&#27490;&#27493; Y&#243;ur&#233;n zh&#464;b&#249; no visitors; out of 
圣母|shèngmǔ|NOUN 1&#9;female deity; goddess 2&#9;CHRISTIANITY the (Blessed) Virgin Mary; the Madonna
逃离|táolí|VERB escape; flee &#36867;&#31163;&#21361;&#38505;&#21306; t&#225;ol&#237; w&#275;ixi&#462;nq&#363; flee from a dangerous zone
矜持|jīnchí|Reserved; self-restraint; modest.Nuance: 矜持 describes a person’s behavior that is careful, composed, and moderate, often reflecting dignity, self-respect, or social propriety. It can apply to speech, 
保住|bǎo//zhù|VERB keep; retain; hold on to &#20182;&#27424;&#20538;&#22826;&#22810;, &#25151;&#23376;&#24656;&#24597;&#20445;&#19981;&#20303;&#20102;&#12290; t&#257; qi&#224;nzh&#224;i t&#224;i du&#333;, f&#225;ng
杀进|shājìn|1&#9;to storm (a city etc) 2&#9;to raid
作威作福|zuòwēi-zuòfú|To wield power oppressively; to lord it over others; to act with arbitrary authority.Nuance: 作威作福 describes the behavior of someone who abuses their position of power or authority to intimidate, contr
为所欲为|wéisuǒyùwéi|to do whatever one wants; to act wilfullyNuances:Carries a negative connotation, implying reckless or arrogant behavior without regard for rules or consequences.Example Sentences:他倚仗权势为所欲为，最终受到法律制裁。(H
示弱|shì//ruò|VERB give the impression of weakness; take sth. lying down
吾等|wúděng|we; us (archaic or formal)Nuances:A classical first-person plural pronoun, now used in historical contexts, literature, or to convey solemnity.Example Sentences:吾等誓死效忠陛下。(We pledge undying loyalty to 
天下大乱|tiānxià-dàluàn|IDIOM go disorder under heaven&#8212;a state of great confusion
心态|xīntài|NOUN psychology; mentality &#24515;&#24577;&#33391;&#22909; x&#299;nt&#224;i li&#225;ngh&#462;o have a healthy mind
迎来|yínglái|Welcome; usher in; greet (a new period, event, or development)Nuance: 迎来 describes the act of arriving at or encountering a new stage, event, or situation, often with an undertone of anticipation or s
卧底|wòdǐ|Undercover agent; to go undercover; infiltratorNuance“卧底” refers to someone who secretly infiltrates a group or organization to gather information, expose wrongdoing, or carry out a covert mission. It
慌张|huāngzhang|ADJECTIVE agitated; flurried; flustered; confused; in a dither (opp. &#38215;&#23450;) &#31070;&#33394;&#24908;&#24352; sh&#233;ns&#232; hu&#257;ngzhang look flurried (or flustered) &#20026;&#20160;&#
映入眼帘|yìngrùyǎnlián|To Meet the Eye / To Come into ViewNuance映入眼帘 is a vivid, literary idiom that describes the moment something visually appears before one's eyes, often with a sense of suddenness or striking impact. It
戒严|jiè//yán|to impose martial law; to enforce a curfew or emergency measuresNuances:A government action during crises (riots, wars) involving military/police control, suspending normal civil rights. Often implies
改掉|gǎi//diào|to get rid of; to break (a habit)Nuances:This term describes consciously abandoning a negative habit, behavior, or trait through effort and discipline. It implies a proactive and often challenging pro
布偶|bù'ǒu|Cloth doll; stuffed toy; plush dollNuance:布偶 refers to dolls or stuffed toys made primarily from cloth or fabric, often stuffed with soft filling. The term evokes warmth, comfort, and childhood nostal
